handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSherrill,Rep. Mikie Sherrill,1605770342294728706,1080569698536878081,en,1605770342294728706,2022-12-22T03:40:58.000Z,"By successfully passing this bill, we are sending a message to every young girl who dreams of playing professional sports when they grow up. It is now on its way to the finish line to become law!",False,1605770337475362816,1,48,48,2
RepSherrill,Rep. Mikie Sherrill,1605770337475362816,1080569698536878081,en,1605770337475362816,2022-12-22T03:40:56.000Z,"Equal Pay for Team USA 🇺🇸⚽

I teamed up with a bipartisan group members to urge House leadership to consider legislation that will guarantee equal compensation for the women who compete globally for Team USA. https://t.co/gM8Q9IsgC5",False,1605770337475362816,30,572,572,34
RepSherrill,Rep. Mikie Sherrill,1605717967253258242,1080569698536878081,en,1605717967253258242,2022-12-22T00:12:50.000Z,I am proud to have played my part in inviting Ukrainian President Zelenskyy to address a joint session of Congress this evening. I look forward to hearing more from President Zelenskyy about how we can continue to #StandwithUkraine. https://t.co/Lia8M8nQ2j,False,1605717967253258242,24,40,40,2
RepSherrill,Rep. Mikie Sherrill,1605702755812777985,1080569698536878081,en,1605702755812777985,2022-12-21T23:12:24.000Z,Learn more about my visit to Finland and Norway on an official Congressional Delegation trip with @HASCDemocrats ⬇️ 3/3 https://t.co/vTGUJTwKv4,False,1605702748288057344,4,2,2,0
RepSherrill,Rep. Mikie Sherrill,1605702752096595968,1080569698536878081,en,1605702752096595968,2022-12-21T23:12:23.000Z,These nations face a physical threat like few of our allies and it is critical that we support them as we work to ensure peace and protect democracy across Europe. 2/3,False,1605702748288057344,4,3,3,0
RepSherrill,Rep. Mikie Sherrill,1605702748288057344,1080569698536878081,en,1605702748288057344,2022-12-21T23:12:22.000Z,"Given Russia’s announcement that they will send troops near Sweden and Finland, my recent official congressional visit to the Arctic region was particularly timely. 1/3 https://t.co/HwQKtsQ8zc",False,1605702748288057344,7,6,6,0
RepSherrill,Rep. Mikie Sherrill,1605216347419353088,1080569698536878081,en,1605216347419353088,2022-12-20T14:59:35.000Z,RT @commercedems: Congress needs to pass the #EqualPayforTeamUSA Act to ensure our women athletes competing for Team USA receive equal pay.…,False,1605216347419353088,14,0,0,0
RepSherrill,Rep. Mikie Sherrill,1604927640279957505,1080569698536878081,en,1604927640279957505,2022-12-19T19:52:22.000Z,"📬@RepNancyMace &amp; I are calling on leadership to bring the Equal Pay for Team USA Act to the floor for a vote before the end of the year.
We are putting the ball in their court. It’s time that all athletes who represent the US receive equal pay &amp; benefits in global competition. https://t.co/vCda4Bjh7O",False,1604927640279957505,13,41,41,1
RepSherrill,Rep. Mikie Sherrill,1604599417272672256,1080569698536878081,en,1604599417272672256,2022-12-18T22:08:07.000Z,"Happy Chanukah, #NJ11! I hope that this year’s festival of lights brings joy to all who celebrate. https://t.co/vgbg0b1Nyp",False,1604599417272672256,6,0,0,0
RepSherrill,Rep. Mikie Sherrill,1604203942208049157,1080569698536878081,en,1604203942208049157,2022-12-17T19:56:39.000Z,"As a former federal prosecutor, I will keep working hard to bring community leaders and law enforcement together to improve security in our neighborhoods.",False,1604203938286538752,10,3,3,0
