handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepShontelBrown,Rep. Shontel Brown,1601294877568163843,1456381091598700556,en,1601294877568163843,2022-12-09T19:17:04.000Z,"The most significant risk factor for COVID complications is age, with people 50 and older at a much higher risk than people under 30.
 
An updated COVID vaccine could save your life. #VaxUpAmerica https://t.co/cIg0n4YmDb",False,1601294877568163843,9,1,1,0
RepShontelBrown,Rep. Shontel Brown,1601268912494034944,1456381091598700556,en,1601268912494034944,2022-12-09T17:33:53.000Z,"@USCensusBureau reports that child poverty fell to 5.2% in 2021–its lowest level ever.
 
This progress is largely attributed to the expansion of the Child Tax Credit in @POTUS’ American Rescue Plan. @WhiteHouse continues to deliver meaningful results for American families.",False,1601268912494034944,0,0,0,0
RepShontelBrown,Rep. Shontel Brown,1601225376772272129,1456381091598700556,en,1601225376772272129,2022-12-09T14:40:53.000Z,"RT @RepShontelBrown: Thanks to the #BipartisanInfrastructureLaw, Cleveland Water is set to receive around $19 million in grants to replace…",False,1601225376772272129,106,0,0,0
RepShontelBrown,Rep. Shontel Brown,1601213707412914176,1456381091598700556,en,1601213707412914176,2022-12-09T13:54:31.000Z,"Thanks to the #InflationReductionAct, an #OH11 household of two adults over 60 with a joint income of $70,000 could save $10,584 on their healthcare premiums next year.

This is a huge boost that our seniors deserve.",False,1601213707412914176,25,4,4,1
RepShontelBrown,Rep. Shontel Brown,1600986170745552896,1456381091598700556,en,1600986170745552896,2022-12-08T22:50:22.000Z,".@HouseDemocrats' work during the 117th Congress has proven our commitment to fighting for the people's voices. 

We’ll keep fighting the good fight next Congress to deliver meaningful results for the American people. #PeopleOverPolitics https://t.co/aTJYNq6wpa",False,1600986170745552896,13,3,3,0
RepShontelBrown,Rep. Shontel Brown,1600970310454427649,1456381091598700556,en,1600970310454427649,2022-12-08T21:47:21.000Z,"RT @HouseDPCC: Democrats have been hard at work the last two years, putting #PeopleOverPolitics to lower costs, create better paying jobs,…",False,1600970310454427649,108,0,0,0
RepShontelBrown,Rep. Shontel Brown,1600961080486170625,1456381091598700556,en,1600961080486170625,2022-12-08T21:10:40.000Z,"Today, Congress reaffirmed that #loveislove by passing the Respect for Marriage Act.

Thanks to bipartisan efforts, we have finally achieved marriage equality and have proven that love transcends political party lines.

Read my full statement here: https://t.co/l8skQEJaim https://t.co/wedgkOqFzx",False,1600961080486170625,13,1,1,0
RepShontelBrown,Rep. Shontel Brown,1600941628486582272,1456381091598700556,en,1600941628486582272,2022-12-08T19:53:22.000Z,"Today, I voted in support of the National Defense Authorization Act (NDAA).
 
This bill supports our servicemembers by:
✅Bringing down kitchen-table costs for military families
✅Investing in diversity &amp; inclusion programs
✅Promoting #cleanenergy technology in @DeptofDefense",False,1600941628486582272,6,0,0,2
RepShontelBrown,Rep. Shontel Brown,1600932206054375425,1456381091598700556,en,1600932206054375425,2022-12-08T19:15:56.000Z,"#Trabajadoras earn only 54¢ on the dollar compared to the $1 white, non-Hispanic men earn. 

On #LatinaEqualPay Day and year-round in the fight for pay equity, we must center Afro-Latinas, LGBTQ+ Latinx workers, Latinas with disabilities, and undocumented Latinas. https://t.co/P8LJRCycfa",False,1600932206054375425,9,0,0,1
RepShontelBrown,Rep. Shontel Brown,1600886733003837440,1456381091598700556,en,1600886733003837440,2022-12-08T16:15:14.000Z,"The ability to devote ourselves to whom we love through the sacred institution of marriage is a right—not a privilege.

I proudly voted to safeguard marriage equality because it is our duty as Members of Congress to convey the people's will &amp; protect our liberties. #LoveWins https://t.co/FYMaGrZ8e6",False,1600886733003837440,22,1,1,1
