handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSmucker,Rep. Lloyd Smucker,1605642263173812224,41417564,en,1605642263173812224,2022-12-21T19:12:01.000Z,Canada needs to live up to its end of the USMCA bargain on dairy provisions. Pleased to see the @USTradeRep take further enforcement action to support American dairy producers. https://t.co/6CTfOAKS8R,False,1605642263173812224,5,6,6,0
RepSmucker,Rep. Lloyd Smucker,1605333473312575491,41417564,en,1605333473312575491,2022-12-20T22:45:00.000Z,"I’ve heard similar stories of countless seniors across PA-11. Biden’s inflation is impacting seniors, forcing many back into employment, and forcing all to make difficult financial decisions or cut back during the holidays. https://t.co/CNOhLlGAp7",False,1605333473312575491,1,12,12,0
RepSmucker,Rep. Lloyd Smucker,1605269511137296384,41417564,en,1605269511137296384,2022-12-20T18:30:50.000Z,Happy birthday to the United States Space Force! https://t.co/X3YsL0o026,False,1605269511137296384,0,2,2,0
RepSmucker,Rep. Lloyd Smucker,1604961193105543182,41417564,en,1604961193105543182,2022-12-19T22:05:41.000Z,"The American people elected Republicans to the House majority to move our country in the right direction, not to waste time fighting amongst ourselves. Kevin McCarthy did more than anyone else to win the majority. He deserves to be Speaker and will be a great Speaker. https://t.co/J5ZYa0ZMkL",False,1604961193105543182,3,16,16,0
RepSmucker,Rep. Lloyd Smucker,1604916883655983121,41417564,en,1604916883655983121,2022-12-19T19:09:37.000Z,Miss the latest edition of my e-newsletter? Read it here and be sure to sign up to receive the next one! https://t.co/4fKEPsuMPN,False,1604916883655983121,0,2,2,0
RepSmucker,Rep. Lloyd Smucker,1604642680281083905,41417564,en,1604642680281083905,2022-12-19T01:00:02.000Z,Chag Sameach to our friends and neighbors celebrating Hanukkah! https://t.co/DtJ7b7gEVI,False,1604642680281083905,0,3,3,0
RepSmucker,Rep. Lloyd Smucker,1604499226569818114,41417564,en,1604499226569818114,2022-12-18T15:30:00.000Z,Sign up now! The next edition of my e-newsletter will be sent later today. Subscribe to get the latest news from Washington and across the district. https://t.co/Bi079Zuk9t,False,1604499226569818114,0,0,0,0
RepSmucker,Rep. Lloyd Smucker,1604189688813666304,41417564,en,1604189688813666304,2022-12-17T19:00:00.000Z,This week I joined WDAC to discuss legislation I’ve recently introduced to support retirement security and discuss how my new Lancaster district office will serve constituents of Pennsylvania’s 11th District. Listen in! https://t.co/LafhhRY8f7,False,1604189688813666304,0,3,3,0
RepSmucker,Rep. Lloyd Smucker,1603555511592288257,41417564,en,1603555511592288257,2022-12-16T01:00:01.000Z,"Biden’s inflation continues to rage, making life less affordable as families struggle to make ends meet. @HouseGOP has a plan to build an economy that’s strong, to fight inflation, and lower the cost of living. It’s our Commitment to America. Learn more: https://t.co/9n92z2a3pX",False,1603555511592288257,30,66,66,4
RepSmucker,Rep. Lloyd Smucker,1603532858127253505,41417564,en,1603532858127253505,2022-12-15T23:30:00.000Z,"Today is Bill of Rights Day, which marks the anniversary of the ratification of the first ten amendments to our Constitution. https://t.co/M7hMF4HK7Z",False,1603532858127253505,9,10,10,0
