handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSpartz,Rep. Victoria Spartz,1606038502969180160,1344845201479663621,en,1606038502969180160,2022-12-22T21:26:32.000Z,"This week I published an op-ed @thehill: Hospital monopolies are destroying health care value. 

91% of the hospital market in Indiana is controlled by the largest hospitals. As a result, Indiana has the 4th highest hospital facility prices in the country.
https://t.co/WGaeWwPt0d",False,1606038502969180160,4,6,6,0
RepSpartz,Rep. Victoria Spartz,1605981026970238976,1344845201479663621,en,1605981026970238976,2022-12-22T17:38:09.000Z,"Joined @CNNThisMorning w/ @kaitlancollins to discuss @ZelenskyyUa's visit. 
Last night, Congress sent a bipartisan bicameral message to our allies and adversaries around the world that the American people will stand with the Ukrainian people in their historic battle for freedom. https://t.co/BXkUMq145l",False,1605981026970238976,30,35,35,8
RepSpartz,Rep. Victoria Spartz,1605031480333258754,1344845201479663621,en,1605031480333258754,2022-12-20T02:44:59.000Z,"Wishing my fellow Hoosiers many blessings this holiday season. 
May each of us be a resilient light in the darkness. #IN05 #happyhanukkah https://t.co/2ZTPfjnqcd",False,1605031480333258754,9,37,37,0
RepSpartz,Rep. Victoria Spartz,1604960777105965056,1344845201479663621,en,1604960777105965056,2022-12-19T22:04:02.000Z,"Today, I sent a letter to @FBI Director Wray formally requesting an investigation into potential attempts to interfere with my election and threats against a U.S. government official in the course of performing my constitutional duties.

See letter below.

https://t.co/AyF6I5s5jj",False,1604960777105965056,35,39,39,8
RepSpartz,Rep. Victoria Spartz,1604308692307886081,1344845201479663621,en,1604308692307886081,2022-12-18T02:52:53.000Z,"As always, an intellectually engaging and fun holiday event hosted by the First Principles Forum @ForumPrinciples with @MattWalshBlog https://t.co/sSjyNHgm9z",False,1604308692307886081,4,31,31,0
RepSpartz,Rep. Victoria Spartz,1604286970523291648,1344845201479663621,en,1604286970523291648,2022-12-18T01:26:34.000Z,"Good article by @rebeccadrobbins @nytimes exposing the hypocrisy of ‘community benefit’. 

That’s why I introduced the Non-Profit Hospital Tax Exemption Transparency Act to require more accountability from non-profit hospitals to qualify for this status.

https://t.co/qKIpNKAsZI https://t.co/mUI2f2AGxi",False,1604286970523291648,3,12,12,0
RepSpartz,Rep. Victoria Spartz,1603502459728834560,1344845201479663621,en,1603502459728834560,2022-12-15T21:29:12.000Z,"This week I joined RM @virginiafoxx &amp; other colleagues in sending a letter to the Biden Admin expressing concerns with the proposed rule to change independent contractor classification. 

This rule would be disruptive to our economy &amp; small businesses.
👉 https://t.co/9tItn2WrO3",False,1603502459728834560,2,8,8,0
RepSpartz,Rep. Victoria Spartz,1603452386298806272,1344845201479663621,en,1603452386298806272,2022-12-15T18:10:14.000Z,"Glad to see HR6720 I am sponsoring passed the House Natural Resources Committee. This bill recognizes Thomas Paine, “The Father of the American Revolution” &amp; author of the “Common Sense” pamphlet.

We definitely could use more common sense in DC 😊 

https://t.co/RaZyzlwfPD",False,1603452386298806272,2,4,4,0
RepSpartz,Rep. Victoria Spartz,1603161274157875205,1344845201479663621,en,1603161274157875205,2022-12-14T22:53:27.000Z,"I am honored to be named to the @AFPhq’s “Pioneers for Prosperity” list of policy champions in the 117th Congress and I’m committed to delivering free enterprise policy solutions benefiting all Americans!

https://t.co/gz0eA6fviw https://t.co/T80i40KO8s",False,1603161274157875205,4,6,6,0
RepSpartz,Rep. Victoria Spartz,1602842973095530497,1344845201479663621,en,1602842973095530497,2022-12-14T01:48:38.000Z,"Today, I introduced the Stop Anticompetitive Healthcare Act with @RepJayapal to expand antitrust enforcement to non-profit hospitals

Lack of competition is a major factor driving unsustainable healthcare prices &amp; non-profit status should not be a loophole https://t.co/XMW1d7EawM",False,1602842973095530497,37,18,18,7
