handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSusanWild,Rep. Susan Wild,1605734034469961730,1069636653353000962,en,1605734034469961730,2022-12-22T01:16:41.000Z,"“We stand, we fight, and we will win because we are united: Ukraine, America, and the entire free world.”

Honored to hear these words from President Zelenskyy in the House Chamber tonight. Ukraine will prevail &amp; we will support their fight for freedom until victory is won. 🇺🇸🇺🇦 https://t.co/Fu09h0vZlW",False,1605734034469961730,119,24,24,2
RepSusanWild,Rep. Susan Wild,1604567173338320896,1069636653353000962,en,1604567173338320896,2022-12-18T20:00:00.000Z,"Tonight, Jews around the world will gather to light the first candle of the Festival of Lights. May the glow of the menorah brighten your home and remind us all of miracles past and present. From my family to yours, Chag Sameach. https://t.co/eg4dv7ahC6",False,1604567173338320896,12,3,3,0
RepSusanWild,Rep. Susan Wild,1603492668499189782,1069636653353000962,en,1603492668499189782,2022-12-15T20:50:18.000Z,"RT @SenDuckworth: NEWS: With Roe thrown out by the Supreme Court, I’m proud to introduce the Right to Build Families Act with @PattyMurray…",False,1603492668499189782,66,0,0,0
RepSusanWild,Rep. Susan Wild,1603460911578374144,1069636653353000962,en,1603460911578374144,2022-12-15T18:44:06.000Z,"As both the daughter of a career Air Force servicemember and strong advocate for labor rights, I'm proud to vote ‘yes’ to allow the VA to provide better health care and benefits to our veterans by recognizing health care workers’ rights.",False,1603460911578374144,4,2,2,1
RepSusanWild,Rep. Susan Wild,1603456604917362688,1069636653353000962,en,1603456604917362688,2022-12-15T18:27:00.000Z,Proud to take a historic vote in advancing the rights of the people of Puerto Rico and ensuring that they can freely and fully shape their own future. It’s long past time to end the political limbo in which Puerto Rico has hung.,False,1603456604917362688,4,10,10,0
RepSusanWild,Rep. Susan Wild,1603078067953569794,1069636653353000962,zxx,1603078067953569794,2022-12-14T17:22:49.000Z,https://t.co/on0CygcVov,False,1603078065344724992,2,1,1,0
RepSusanWild,Rep. Susan Wild,1603078065344724992,1069636653353000962,en,1603078065344724992,2022-12-14T17:22:49.000Z,"The horrific murders of 20 children &amp; 6 teachers at Sandy Hook Elementary 10 years ago was a dark, devastating day in our nation. Since then, hundreds more families &amp; communities have been shattered by the same violence.
I will never give up the fight to end gun violence.",False,1603078065344724992,4,7,7,0
RepSusanWild,Rep. Susan Wild,1602353458748821505,1069636653353000962,en,1602353458748821505,2022-12-12T17:23:29.000Z,I will never back down from standing with workers across our country. Proud to join 70+ colleagues calling on @POTUS to take executive action to guarantee 7 days of paid sick leave to rail workers. We're going to continue this fight until we win. https://t.co/7VBYTzdCU6,False,1602353458748821505,5,12,12,0
RepSusanWild,Rep. Susan Wild,1600968097380597761,1069636653353000962,en,1600968097380597761,2022-12-08T21:38:33.000Z,"Central States retirees no longer have to fear losing the pensions they worked a lifetime for. Thanks to the American Rescue Plan, we've averted a multiemployer pension crisis, kept businesses in business, and saved $8 million in at-risk pensions in PA-07.
https://t.co/rXVtXS26Ao",False,1600968097380597761,6,15,15,1
RepSusanWild,Rep. Susan Wild,1600898507199561730,1069636653353000962,en,1600898507199561730,2022-12-08T17:02:02.000Z,"I'm heartbroken over the passing of First Assistant Chief Zachary Paris and Firefighter Marvin Gruber during their heroic service. Sending my deepest condolences to their families, friends, colleagues, and the New Tripoli community. https://t.co/vL6TUjQIKT",False,1600898507199561730,4,3,3,0
RepSusanWild,Rep. Susan Wild,1600886861698052099,1069636653353000962,en,1600886861698052099,2022-12-08T16:15:45.000Z,"We cannot allow families who depend on the rights and privileges guaranteed by marriage equality to wonder if one day they will wake up in a nation that no longer recognizes their marriage.

The #RespectForMarriageAct takes away that worry, and I was proud to vote for it today.",False,1600886861698052099,11,7,7,1
RepSusanWild,Rep. Susan Wild,1600873244726370304,1069636653353000962,en,1600873244726370304,2022-12-08T15:21:38.000Z,"A right is not a right unless it can be equally exercised by all.

I look forward to voting to send the #RespectForMarriageAct to President Biden’s desk, so we can protect the universal right to marriage equality.",False,1600873244726370304,6,1,1,0
RepSusanWild,Rep. Susan Wild,1600611111329443840,1069636653353000962,en,1600611111329443840,2022-12-07T22:00:01.000Z,Congratulations to Easton's Ja'Siah Young for his show's Emmy nomination! Wishing you the best of luck at the awards ceremony! https://t.co/LdNxqPexei,False,1600611111329443840,3,3,3,0
RepSusanWild,Rep. Susan Wild,1600565814549090304,1069636653353000962,en,1600565814549090304,2022-12-07T19:00:01.000Z,"As rural hospitals face staffing shortages, @RepMeuser and I introduced the Fairness for Rural Teaching Hospitals Act to ensure hospitals can teach and train the next generation of rural health care workers while maintaining high-quality patient care.
https://t.co/Oh98GS5zsD",False,1600565814549090304,2,4,4,0
RepSusanWild,Rep. Susan Wild,1600540329643577344,1069636653353000962,en,1600540329643577344,2022-12-07T17:18:45.000Z,"Today, we remember the 2,403 Americans killed in the attacks on Pearl Harbor and O'ahu. As we honor their service and sacrifice, may we never forget their fearlessness in the defense of our nation. https://t.co/aYPsDoZBuP",False,1600540329643577344,3,3,3,0
RepSusanWild,Rep. Susan Wild,1598352112089530368,1069636653353000962,en,1598352112089530368,2022-12-01T16:23:34.000Z,"Congratulations to Coplay native Dana Fritz for being selected as Gov.-elect @JoshShapiroPA's new Chief of Staff! 
https://t.co/Pw6cafMFPt",False,1598352112089530368,8,13,13,0
RepSusanWild,Rep. Susan Wild,1598059293068038144,1069636653353000962,en,1598059293068038144,2022-11-30T21:00:00.000Z,"I'm proud my Dr. Lorna Breen Act was signed into law this year, providing our health care heroes with the mental health resources they deserve—but there's more work to be done to ensure they can access critical care for their health and well-being.
https://t.co/wpJI3XDCWo",False,1598059293068038144,4,9,9,0
RepSusanWild,Rep. Susan Wild,1598033388350607360,1069636653353000962,en,1598033388350607360,2022-11-30T19:17:04.000Z,"I JUST voted to add 7 days of paid sick leave for railroad workers. Not only does this vote ensure workers can take care of their health, it also averts a crisis that would have devastated working families, erased countless jobs, and left grocery store and pharmacy shelves empty. https://t.co/Dwb0Pf6MiE",False,1598033388350607360,19,12,12,0
RepSusanWild,Rep. Susan Wild,1597984345125683201,1069636653353000962,en,1597984345125683201,2022-11-30T16:02:11.000Z,"Yesterday, @RepLarson, @RepDannyDavis, @RepSchakowsky, @DorisMatsui, and I led 70 of our colleagues urging House appropriators to support increased funding for Social Security to improve customer service and reduce delays for Americans trying to access their benefits. https://t.co/vXV4WmUSLb",False,1597984345125683201,5,3,3,2
