handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSusieLee,Rep. Susie Lee,1601395205789605888,1079061579973439488,en,1601395205789605888,2022-12-10T01:55:44.000Z,"I also want to recognize 2nd place winner, Nir Pechuk, for his app Sock Match, and 3rd place winner is Samuel Kyong, for his app https://t.co/bHRnexrcfy. Congratulations to all of you and I cannot wait to see where your incredible tech talents take you! https://t.co/C8hNVztqSM",False,1601395194632769536,1,4,4,0
RepSusieLee,Rep. Susie Lee,1601395194632769536,1079061579973439488,en,1601395194632769536,2022-12-10T01:55:41.000Z,"Congratulations to Ryan Cortenbach, our 1st place winner in #NV03's Congressional App Competition. Ryan’s app, SchedU, is a simplified scheduler designed primarily for high school and college students. https://t.co/1DfBlOhNaG",False,1601395194632769536,2,6,6,0
RepSusieLee,Rep. Susie Lee,1601331749094842368,1079061579973439488,en,1601331749094842368,2022-12-09T21:43:34.000Z,"Thanks for having us, @KNPRnews.

Nevadans are tough. We've been through tough times these past few years, but we've always come together to get back up. I'm glad to serve in a delegation that shares that optimism and strives to grow the spirit of bipartisanship in Washington. https://t.co/d9vj6t5vbh",False,1601331749094842368,1,3,3,0
RepSusieLee,Rep. Susie Lee,1601231484568096769,1079061579973439488,en,1601231484568096769,2022-12-09T15:05:10.000Z,"RT @RepMarkTakano: As a Co-Chair of the @LGBTEqCaucus, I am proud that our work to ensure protections for same-sex and interracial marriage…",False,1601231484568096769,60,0,0,0
RepSusieLee,Rep. Susie Lee,1600891891511431168,1079061579973439488,en,1600891891511431168,2022-12-08T16:35:44.000Z,"Marriage equality is the law of the land.

Now, it's just one signature away from being protected that way. Love always wins. 🏳️‍🌈 https://t.co/MWedAhqwRU",False,1600891891511431168,14,11,11,0
RepSusieLee,Rep. Susie Lee,1600629290948763648,1079061579973439488,en,1600629290948763648,2022-12-07T23:12:15.000Z,"Let's not forget why we must vote to protect marriage equality.

Extremist Republicans stacked the court in their favor to overturn #Roe. Now, they've issued their threat to marriage equality too.

We must pass the #RespectForMarriageAct now.",False,1600629290948763648,12,12,12,0
RepSusieLee,Rep. Susie Lee,1600574713591382047,1079061579973439488,en,1600574713591382047,2022-12-07T19:35:23.000Z,"A day that will live in infamy.

As we mark the 81st anniversary of the attack on Pearl Harbor, please take a moment today to reflect upon and remember the thousands of American lives lost on that day.",False,1600574713591382047,2,2,2,0
RepSusieLee,Rep. Susie Lee,1600255831429509121,1079061579973439488,en,1600255831429509121,2022-12-06T22:28:16.000Z,RT @NewDemCoalition: New Dems congratulate @RepSpanberger on her election to serve as Battleground Leadership Representative in the 118th C…,False,1600255831429509121,27,0,0,0
RepSusieLee,Rep. Susie Lee,1600253523932811264,1079061579973439488,en,1600253523932811264,2022-12-06T22:19:06.000Z,"I am so proud to have a strong, common-sense, battleground voice at the table. @RepSpanberger has shown her ability to bring our parties together in Washington and deliver real results for our constituents. That's exactly where she will continue lead our party. https://t.co/QP0VoCiQXT",False,1600253523932811264,8,8,8,0
RepSusieLee,Rep. Susie Lee,1600172522351333376,1079061579973439488,en,1600172522351333376,2022-12-06T16:57:13.000Z,"I was proud to be in the rotunda to recognize @CapitolPolice, @DCPoliceDept, and the heroes who defended our democracy on January 6th.

Thank you all for your brave service. https://t.co/6H3NBEI4Kg",False,1600172522351333376,12,14,14,1
RepSusieLee,Rep. Susie Lee,1598497317967040519,1079061579973439488,en,1598497317967040519,2022-12-02T02:00:33.000Z,Congratulations to my friend @RepAnnieKuster and all of the *new* New Dem leadership team! https://t.co/xoaPaQHMm8,False,1598497317967040519,4,9,9,0
RepSusieLee,Rep. Susie Lee,1598450997948567580,1079061579973439488,en,1598450997948567580,2022-12-01T22:56:30.000Z,I am so proud of my friend &amp; fellow Nevadan @RepHorsford on his election to chair of the Congressional Black Caucus. Congratulations! https://t.co/Bcgk7PE3SN https://t.co/oFh68wKDG3,False,1598450997948567580,14,8,8,1
RepSusieLee,Rep. Susie Lee,1598372418388693014,1079061579973439488,en,1598372418388693014,2022-12-01T17:44:15.000Z,"This is not about politics.

Every single Member of Congress should be unified in denouncing the words and acts of anti-Semitism we see rising across the news.

Hateful rhetoric fans the flames of violence. I will always stand strongly against it.",False,1598372418388693014,17,14,14,3
RepSusieLee,Rep. Susie Lee,1598040438631718912,1079061579973439488,en,1598040438631718912,2022-11-30T19:45:05.000Z,"Signed, sealed, delivered #ForThePeople. #SpotifyWrapped https://t.co/JMAP42OoJL",False,1598040438631718912,8,20,20,1
RepSusieLee,Rep. Susie Lee,1598014870192291842,1079061579973439488,en,1598014870192291842,2022-11-30T18:03:29.000Z,"Thank you @POTUS.

Sacred lands require historic action.

Today, with the President's commitment, we are one step closer to protecting Avi Kwa Ame as a national monument. I look forward to continuing to work with this administration to make this happen.
https://t.co/nGlSM4LrC7",False,1598014870192291842,18,4,4,6
RepSusieLee,Rep. Susie Lee,1598013440697991169,1079061579973439488,en,1598013440697991169,2022-11-30T17:57:48.000Z,RT @RepKClark: The Team. https://t.co/bCVOQAk8P6,False,1598013440697991169,5065,0,0,0
