handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepTeresaLF,Rep. Teresa Leger Fernández,1601335820526682113,1345147845926670337,en,1601335820526682113,2022-12-09T21:59:45.000Z,"Hiring Fair dates:

December 14, 9AM-3PM at Santa Fe Community Convention Center, 201 W Marcy St, Santa Fe 87501

December 15, 10AM-4PM at 947 Legion Drive, Las Vegas 87701 https://t.co/EDOtszFpnd",False,1601335813664837634,1,1,1,0
RepTeresaLF,Rep. Teresa Leger Fernández,1601335813664837634,1345147845926670337,en,1601335813664837634,2022-12-09T21:59:44.000Z,Do you want to help your fellow New Mexicans recover from the Hermit’s Peak/Calf Canyon Fire? @FEMA is hiring for multiple jobs to help distribute $2.5 billion in recovery funding. Read the fact sheet below - job fairs are December 14 and 15! https://t.co/kUqHrWCQyM,False,1601335813664837634,9,3,3,0
RepTeresaLF,Rep. Teresa Leger Fernández,1601269025547292673,1345147845926670337,en,1601269025547292673,2022-12-09T17:34:20.000Z,"Felicidades to Cotillion Sneddy! She will serve as the new assistant secretary of Native American Education for the the NM Early Childhood Education and Care Department. It brings me joy that our beautiful state does the work to care for all our students.
https://t.co/wIfsRYi18U",False,1601269025547292673,4,1,1,0
RepTeresaLF,Rep. Teresa Leger Fernández,1601237238268166144,1345147845926670337,en,1601237238268166144,2022-12-09T15:28:01.000Z,"For centuries, cultural artifacts and heritage were stolen from our Tribal nations and sold to the highest bidder. Pueblos and tribes should never have to buy back their own culture. That’s why we passed the #STOPAct. Let’s return these items to their rightful owners.",False,1601237238268166144,16,1,1,2
RepTeresaLF,Rep. Teresa Leger Fernández,1600988093040889856,1345147845926670337,en,1600988093040889856,2022-12-08T22:58:00.000Z,"Today, I voted to protect everyone’s right to marry who they love, because who you marry is up to your heart. I couldn’t be happier to send the #RespectForMarriageAct to @POTUS’s desk. Love must always be equal, and today, love won. https://t.co/86od0sESIc",False,1600988093040889856,4,5,5,1
RepTeresaLF,Rep. Teresa Leger Fernández,1600942362582081537,1345147845926670337,es,1600942362582081537,2022-12-08T19:56:17.000Z,"Mil gracias también a @RepEscobar, @RepSylviaGarcia, @gracenapolitano, @RepRoybalAllard, @RepLindaSanchez, @NormaJTorres, y @NydiaVelazquez! ✊🏽",False,1600942357876473856,1,4,4,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600942357876473856,1345147845926670337,en,1600942357876473856,2022-12-08T19:56:16.000Z,Mis hermanas in Congress agree - Latinas deserve equal pay NOW. That's why I introduced the #LatinaEqualPayDay Resolution with @SenCortezMasto and @RepBarragan. ❤️👇🏽 https://t.co/jkRn62diqe,False,1600942357876473856,46,13,13,18
RepTeresaLF,Rep. Teresa Leger Fernández,1600643318161018881,1345147845926670337,en,1600643318161018881,2022-12-08T00:08:00.000Z,"NEWSFLASH: As members of Congress we swore an oath to uphold the Constitution, not to terminate it. 

That’s it. That’s the tweet.",False,1600643318161018881,83,42,42,8
RepTeresaLF,Rep. Teresa Leger Fernández,1600626768054026240,1345147845926670337,en,1600626768054026240,2022-12-07T23:02:14.000Z,"81 years ago, Pearl Harbor was attacked. 2,403 Americans died, and another 1,178 were wounded. Today, we honor and remember their sacrifice to protect our democracy. https://t.co/hbTiT6q7xD",False,1600626768054026240,2,1,1,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600584315007422466,1345147845926670337,en,1600584315007422466,2022-12-07T20:13:32.000Z,"The holidays are a time for togetherness, familia, friendship, and love. I always love to celebrate bi-party-san-ship! 😉🎄 Gracias to the @WhiteHouse for a beautiful evening. https://t.co/C8MfsGtFnt",False,1600584315007422466,3,0,0,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600525255830814721,1345147845926670337,en,1600525255830814721,2022-12-07T16:18:51.000Z,New Mexico’s universal childcare will make a real difference for moms like Alicia. 70 percent of Nuevo Mexicanos voted to amend our state constitution and make childcare free. It’s time for Congress to approve their decision. https://t.co/jVgrJtkrgV,False,1600525255830814721,3,1,1,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600269494840356864,1345147845926670337,en,1600269494840356864,2022-12-06T23:22:33.000Z,"Hugo is a beautiful dancer who soars from New Mexico and graces America with his stunning performances.

Like so many others, his story inspires me, gives me hope, and is why I stood to #ProtectDACA today. https://t.co/S9l3BQfF1l",False,1600269008531755008,4,2,2,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600269490054307840,1345147845926670337,en,1600269490054307840,2022-12-06T23:22:32.000Z,"Hugo's story reminds us of the inspiring stories of thousands of dreamers across our country. His family brought him to the United States in search of a better life, and he found his American dream. For him, #HomeIsHere. https://t.co/G8SWPPJ8aP",False,1600269008531755008,5,2,2,0
RepTeresaLF,Rep. Teresa Leger Fernández,1600269008531755008,1345147845926670337,en,1600269008531755008,2022-12-06T23:20:37.000Z,"Today, I rose to tell the story of Hugo Pizano Orozco, a DACA recipient from my district. Hugo came to Española from Mexico as a child, and went on to graduate from Juilliard. Now, he performs onstage with Ballet Hispánico. https://t.co/UW4iqNr2zz",False,1600269008531755008,34,8,8,3
