handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepTerriSewell,Rep. Terri A. Sewell,1604888158700572672,381152398,en,1604888158700572672,2022-12-19T17:15:29.000Z,BIG NEWS! Last week my staff joined @RD_Alabama to celebrate @USDA’s transformative $13.6 million investment in clean drinking water for residents in Wilcox County! Access to clean drinking water is a basic human right and this investment will make a big difference for rural AL! https://t.co/s5VRil1dx8,False,1604888158700572672,6,2,2,0
RepTerriSewell,Rep. Terri A. Sewell,1604654742826848257,381152398,en,1604654742826848257,2022-12-19T01:47:58.000Z,"Wishing a #HappyHanukkah to all those who observe! May your celebrations be filled with joy, peace and happiness with loved ones! 🕎 https://t.co/trsBFaqLSO",False,1604654742826848257,2,1,1,0
RepTerriSewell,Rep. Terri A. Sewell,1603846280119083008,381152398,en,1603846280119083008,2022-12-16T20:15:25.000Z,RT @ALReporter: Rep. Sewell votes for the Puerto Rico Status Act https://t.co/d86SerE7rX,False,1603846280119083008,3,0,0,0
RepTerriSewell,Rep. Terri A. Sewell,1603845864526446592,381152398,en,1603845864526446592,2022-12-16T20:13:46.000Z,Team Sewell was well represented at the premiere screening of @APTV’s Shuttlesworth Documentary at the historic Carver Theatre. A powerful tribute to a true Civil Rights icon! https://t.co/zGiZe7M3QG,False,1603845864526446592,5,1,1,0
RepTerriSewell,Rep. Terri A. Sewell,1603500108284305418,381152398,en,1603500108284305418,2022-12-15T21:19:52.000Z,"Proud to stand in support of self-determination for the people of #PuertoRico in voting YES on the Puerto Rico Status Act.

This bill is about placing the future of Puerto Rico’s political status back into the hands of Puerto Ricans where it belongs.",False,1603500108284305418,4,3,3,0
RepTerriSewell,Rep. Terri A. Sewell,1603234834188582912,381152398,en,1603234834188582912,2022-12-15T03:45:45.000Z,"Praying for safety in light of the severe storms impacting the 7th District and surrounding communities. 🙏🏾

Stay safe, Alabama!",False,1603234834188582912,3,8,8,1
RepTerriSewell,Rep. Terri A. Sewell,1603153000498925570,381152398,en,1603153000498925570,2022-12-14T22:20:35.000Z,"10 years ago, the lives of 20 precious children and 6 educators were taken at #SandyHook. Since then, the scourge of gun violence has continued to ravage our nation.

As we honor their memories, we must commit to ending this senseless violence.

Words without action are hollow.",False,1603153000498925570,7,0,0,0
RepTerriSewell,Rep. Terri A. Sewell,1602361706679865367,381152398,en,1602361706679865367,2022-12-12T17:56:15.000Z,"Honored to attend the swearing in of Karen Bass by @VP Harris as the first woman and first Black woman to ever serve as Mayor of Los Angeles!

She is a dear friend, former classmate, and inspiration to women everywhere. Wishing her much success in this new role! 👏🏾✨ https://t.co/SjD0IaUrbJ",False,1602361706679865367,7,2,2,0
RepTerriSewell,Rep. Terri A. Sewell,1601263835138076673,381152398,en,1601263835138076673,2022-12-09T17:13:42.000Z,"Great morning with the @MGMChamber discussing the latest in Congress and our ongoing efforts to support students, small businesses, HBCUs and so much more!

Thrilled to see so many new and familiar faces. Our work continues! https://t.co/UYMdvXGwCH",False,1601263835138076673,2,1,1,0
RepTerriSewell,Rep. Terri A. Sewell,1601239462629216256,381152398,en,1601239462629216256,2022-12-09T15:36:52.000Z,"RT @WaysMeansCmte: Allowing #MIECHV funding to expire is 👏 not 👏 an 👏 option.

Last week, the House passed critical legislation to ensure M…",False,1601239462629216256,9,0,0,0
