handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepThompson,Rep. Mike Thompson,1605987840453742592,303861808,en,1605987840453742592,2022-12-22T18:05:13.000Z,"The Presidential Tax Filings and Audit Transparency Act will ensure that the IRS conducts annual examinations of the president’s tax records.

My colleagues and I on the @WaysMeansCmte introduced this bill to ensure oversight and transparency for the highest office in the land.",False,1605987840453742592,8,7,7,0
RepThompson,Rep. Mike Thompson,1605951959504134145,303861808,en,1605951959504134145,2022-12-22T15:42:38.000Z,"GDP growth for the third quarter of this year has been revised from 2.9 percent to 3.2 percent. This is great news, as it shows that the economy is continuing to grow and recover from the impacts of the COVID-19 pandemic.",False,1605951959504134145,1,1,1,1
RepThompson,Rep. Mike Thompson,1605762715468922883,303861808,en,1605762715468922883,2022-12-22T03:10:39.000Z,"Truly an honor to listen to Ukrainian President Zelensky address Congress &amp; the American people. 

His remarks demonstrated the importance of a continued partnership between 🇺🇸 and 🇺🇦, and we must stand together to ensure the beacon of democracy lives on in the face of tyranny. https://t.co/MkUALRXBZJ",False,1605762715468922883,9,8,8,0
RepThompson,Rep. Mike Thompson,1605690355491508225,303861808,en,1605690355491508225,2022-12-21T22:23:07.000Z,These investments will further strengthen the sustainability of the Postal Service and help us reduce our government’s emissions. Proud to have voted for this vital law. 2/2,False,1605690353704738840,1,1,1,0
RepThompson,Rep. Mike Thompson,1605690353704738840,303861808,en,1605690353704738840,2022-12-21T22:23:07.000Z,"The decision by the @USPS to electrify its fleet is a great step toward modernizing the Postal Service. 

Provisions from the Inflation Reduction Act will help install modern charging infrastructure at USPS facilities, electrify 66,000 vehicles, and modernize mail delivery. 1/2",False,1605690353704738840,0,1,1,0
RepThompson,Rep. Mike Thompson,1605635383588446208,303861808,en,1605635383588446208,2022-12-21T18:44:41.000Z,"The reports released by the committee and the Joint Committee on Taxation demonstrate the importance of ensuring no one is above the law, and I look forward to supporting @RepRichardNeal’s legislation requiring an annual audit of the President’s finances. 2/2",False,1605635378639142918,3,1,1,1
RepThompson,Rep. Mike Thompson,1605635378639142918,303861808,en,1605635378639142918,2022-12-21T18:44:40.000Z,"Last night, I voted with my colleagues on the @WaysMeansCmte for increased accountability and transparency of a sitting president’s tax returns. 1/2 https://t.co/xYIDiB7ydf",False,1605635378639142918,14,21,21,1
RepThompson,Rep. Mike Thompson,1605614694689013760,303861808,en,1605614694689013760,2022-12-21T17:22:28.000Z,"NEWS: @POTUS signed the FIRE Act into law!
 
I worked with @SenAlexPadilla, @SenFeinstein, @RepZoeLofgren, @RepHuffman, and @RepJimmyPanetta on this to help provide an efficient response to wildfires and ensure that FEMA can pre-deploy resources and help protect our communities.",False,1605614694689013760,12,1,1,0
RepThompson,Rep. Mike Thompson,1605404000274288643,303861808,en,1605404000274288643,2022-12-21T03:25:15.000Z,"Congratulations to the 801st Army Corps of Engineers on being presented with the United States Army Achievement Medal.

This is a well-deserved recognition and speaks to the quality of the servicemembers in the 801st. https://t.co/PM8Bp0R4bf",False,1605404000274288643,3,1,1,0
RepThompson,Rep. Mike Thompson,1605261250681774100,303861808,en,1605261250681774100,2022-12-20T17:58:01.000Z,"This is terrible for fire survivors throughout California. There are several tax bills that must be considered next year, and I will continue to push that relief for fire survivors be included. 2/2",False,1605261249121423360,2,1,1,1
RepThompson,Rep. Mike Thompson,1605261249121423360,303861808,en,1605261249121423360,2022-12-20T17:58:00.000Z,"It is a sad day when a bipartisan bill that helps people and has broad support in both chambers of Congress can’t get through the Senate. 

Senate Republicans blocked our efforts to add any tax provisions to the government funding bill, which means HR 7305 was not included. 1/2",False,1605261249121423360,9,3,3,2
RepThompson,Rep. Mike Thompson,1605232713258106881,303861808,en,1605232713258106881,2022-12-20T16:04:37.000Z,"My thoughts are with my friends &amp; former constituents in Humboldt County as they respond to the magnitude 6.4 earthquake.
 
CalTrans is on scene evaluating damages to roads &amp; @HumCoOES is advising to check gas &amp; water lines for damages or leaks &amp; to exercise caution if traveling.",False,1605232713258106881,3,3,3,0
RepThompson,Rep. Mike Thompson,1605044115007209472,303861808,en,1605044115007209472,2022-12-20T03:35:11.000Z,Congrats to Napa County Supervisor @B_Wagenknecht on his retirement. Brad has been a consistent advocate for our community &amp; his accomplishments will be remembered for years. Proud to recognize him w/ a Congressional Record Stmt &amp; I wish him the best of luck in his next chapter. https://t.co/dcy0x9BQcv,False,1605044115007209472,1,1,1,0
RepThompson,Rep. Mike Thompson,1604930230086508544,303861808,en,1604930230086508544,2022-12-19T20:02:39.000Z,"Thank you to the Vallejo Council of the Navy League and the City of Vallejo for hosting one of 3,400 Wreaths Across America ceremonies honoring our veterans at the Mare Island Cemetery. https://t.co/wyfirVZLa2",False,1604930230086508544,2,0,0,0
RepThompson,Rep. Mike Thompson,1604870349547622402,303861808,en,1604870349547622402,2022-12-19T16:04:43.000Z,"Congratulations to Penngrove on their annual Holiday Parade of Lights!

This fantastic event provides our community with a sense of holiday cheer and joy. Thanks to Penngrove Social Firemen for helping organize this great occasion. https://t.co/mYIodIZpiy",False,1604870349547622402,4,1,1,0
RepThompson,Rep. Mike Thompson,1604677947486572544,303861808,en,1604677947486572544,2022-12-19T03:20:10.000Z,"Happy Hanukkah to all those celebrating! May this be a time of joy, for you and your family. 
 
Jan and I hope this festival of lights is a time for loved ones and friends to come together. https://t.co/TqWdsya6qe",False,1604677947486572544,3,4,4,0
RepThompson,Rep. Mike Thompson,1604644431445069826,303861808,en,1604644431445069826,2022-12-19T01:06:59.000Z,"Proud to have been invited to the Eagle Court of Honor for Thomas Rist.
 
Thomas is an incredible young man who earned Eagle Scout by rebuilding part of the Napa Police Shooting Range. His efforts are emblematic of an exemplary citizen &amp; I know he has many successes ahead. https://t.co/FMRhMEowKB",False,1604644431445069826,1,3,3,1
RepThompson,Rep. Mike Thompson,1604477109329661953,303861808,en,1604477109329661953,2022-12-18T14:02:07.000Z,"ICYMI: I’m working to include HR7305 in any end-of-year legislation to ensure Fire Victims Trust settlements are not taxed.

I am committed to getting this law enacted into law to help our communities recover.  

https://t.co/poagvbCiJa",False,1604477109329661953,5,5,5,1
RepThompson,Rep. Mike Thompson,1604235209704198152,303861808,en,1604235209704198152,2022-12-17T22:00:53.000Z,"Congrats to Cotati Mayor Mark Landman &amp; Councilmember John Moore on their retirement from serving the people of Cotati.

Proud to surprise them with Congressional Record Statements to commemorate their service and the work they accomplished. Best of luck in their next chapters! https://t.co/PolYNcxyug",False,1604235209704198152,0,1,1,1
RepThompson,Rep. Mike Thompson,1604178054552911873,303861808,en,1604178054552911873,2022-12-17T18:13:47.000Z,"Honored to attend the North Bay Labor Council’s COPE Banquet. Working with our labor leaders to uplift every worker is essential to the well-being of our economy, and as we face down an anti-worker GOP majority, we must continue to stand together in support of labor. https://t.co/pRG7Sh8jiy",False,1604178054552911873,1,1,1,0
RepThompson,Rep. Mike Thompson,1603934295000846336,303861808,en,1603934295000846336,2022-12-17T02:05:10.000Z,"Proud to have secured the inclusion of the Conn Creek Dam Safety Project study &amp; the Napa River Dredging study in the 2023 NDAA.

These studies will help our community maintain our waterways &amp; protect us against the impacts of flooding and climate change.

https://t.co/eS9lw1nKCw",False,1603934295000846336,0,6,6,0
RepThompson,Rep. Mike Thompson,1603877676510576640,303861808,en,1603877676510576640,2022-12-16T22:20:11.000Z,"This weekend, Wreaths Across America is holding several events throughout our communities to honor those who served our nation.

The events will begin on Saturday at cemeteries in our district. Come to recognize the life &amp; service of our fallen heroes.

https://t.co/t6I8JlSAIu",False,1603877676510576640,0,3,3,0
RepThompson,Rep. Mike Thompson,1603834114897068033,303861808,en,1603834114897068033,2022-12-16T19:27:05.000Z,"Did you know that the Honoring our PACT Act, which was recently signed into law, is the largest expansion of veterans' benefits in generations?

I was proud to vote for this bill in the House and to see @POTUS sign this law to help toxic-exposed veterans.

https://t.co/U11WhVVKQm",False,1603834114897068033,0,1,1,0
