handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepTiffany,Rep. Tom Tiffany,1606006895751221248,1267841066335682562,en,1606006895751221248,2022-12-22T19:20:56.000Z,"Stay safe, stay warm, and be sure to call your loved ones to check in during this winter storm. https://t.co/I0P5wAjUNF",False,1606006895751221248,1,5,5,0
RepTiffany,Rep. Tom Tiffany,1605994325371801600,1267841066335682562,en,1605994325371801600,2022-12-22T18:30:59.000Z,"Biden, Schumer, Pelosi, and Democrat-run sanctuary cities have rolled out the welcome mat for illegal aliens. 

Now they want you to pick up the tab.
https://t.co/6sbJ4LdnMX",False,1605994325371801600,29,24,24,4
RepTiffany,Rep. Tom Tiffany,1605940246323019784,1267841066335682562,en,1605940246323019784,2022-12-22T14:56:06.000Z,"The cost of human smuggling is enriching the cartels while stressing our public services.
https://t.co/EvhsEPvIKC",False,1605940246323019784,36,26,26,4
RepTiffany,Rep. Tom Tiffany,1605919089192361984,1267841066335682562,en,1605919089192361984,2022-12-22T13:32:02.000Z,"RT @jdtcnt: Last show before Christmas vacation!

@RepTiffany 815a

We talk border, Zelensky, Omnibus bill, the Rand Paul Christmas song, t…",False,1605919089192361984,3,0,0,0
RepTiffany,Rep. Tom Tiffany,1605734902011293701,1267841066335682562,en,1605734902011293701,2022-12-22T01:20:08.000Z,"RT @wistatepatrol: In the upcoming days of holiday travel, plan for the ""what ifs."" 

✅ Dress warm 
✅ Have plenty of fuel 
✅ Charge your ce…",False,1605734902011293701,9,0,0,0
RepTiffany,Rep. Tom Tiffany,1605619276731121664,1267841066335682562,en,1605619276731121664,2022-12-21T17:40:41.000Z,"$1,700,000,000,000 paid for by YOUR tax dollars. 

I’m voting n,ooo,ooo,ooo,ooo. https://t.co/MJybLvuiIP",False,1605619276731121664,612,212,212,39
RepTiffany,Rep. Tom Tiffany,1605342955648479234,1267841066335682562,en,1605342955648479234,2022-12-20T23:22:41.000Z,"RT @RepBrianBabin: Take note of the Left’s priorities.

America = last.",False,1605342955648479234,7,0,0,0
RepTiffany,Rep. Tom Tiffany,1605282716022460439,1267841066335682562,en,1605282716022460439,2022-12-20T19:23:18.000Z,"$44.9 billion for Ukraine in the Omnibus.

$16.7 billion for U.S. Customs and Border Protection.

Democrats continue to protect a foreign country’s border over our OWN.",False,1605282716022460439,1778,427,427,108
RepTiffany,Rep. Tom Tiffany,1604876191718150147,1267841066335682562,en,1604876191718150147,2022-12-19T16:27:55.000Z,RT @AFPWI: @RepTiffany was also awarded with a Pioneer for Prosperity award last week! Congressman Tiffany consistently stands up for princ…,False,1604876191718150147,1,0,0,0
RepTiffany,Rep. Tom Tiffany,1604614695834492928,1267841066335682562,en,1604614695834492928,2022-12-18T23:08:50.000Z,"Love, light, and joy to all who are celebrating the first night of Hanukkah.

Chag Sameach! https://t.co/0GDbtJG2TS",False,1604614695834492928,15,9,9,2
RepTiffany,Rep. Tom Tiffany,1604174514866094080,1267841066335682562,en,1604174514866094080,2022-12-17T17:59:43.000Z,"Biden's dangerous decision to recklessly release thousands of unvetted Afghans into our country first and ask questions later has already put Americans at risk. 

Doubling down is the last thing we should be doing.
https://t.co/fC5LMU2RKL",False,1604174514866094080,6,21,21,1
RepTiffany,Rep. Tom Tiffany,1603755302792445952,1267841066335682562,en,1603755302792445952,2022-12-16T14:13:55.000Z,"Congratulations to Wausau’s very own Grace Stanke on being crowned Miss America 2023! 🇺🇸👍
https://t.co/Tslnl1yVoN",False,1603755302792445952,6,6,6,0
RepTiffany,Rep. Tom Tiffany,1603503340733734917,1267841066335682562,en,1603503340733734917,2022-12-15T21:32:42.000Z,"RT @DrydenWire: .@RepTiffany: 'Justice for a murder victim should not be negatively determined by an arbitrary period of time, and this bip…",False,1603503340733734917,4,0,0,0
RepTiffany,Rep. Tom Tiffany,1603484349587939348,1267841066335682562,en,1603484349587939348,2022-12-15T20:17:14.000Z,"If you think the #BidenBorderCrisis only impacts border states, think again.

@Heritage has tracked illegals who have made their way all the way up to Wisconsin’s 7th District.

Joe Biden, Secretary Mayorkas, and NGOs must be held responsible for facilitating this invasion. https://t.co/ZaFxDtjp19",False,1603484349587939348,141,56,56,11
RepTiffany,Rep. Tom Tiffany,1603057967871524865,1267841066335682562,en,1603057967871524865,2022-12-14T16:02:57.000Z,"RT @NatResources: Democrats' energy crisis is causing heating prices to soar. Here's how much your bill is projected to increase: 

🔴 Natur…",False,1603057967871524865,45,0,0,0
RepTiffany,Rep. Tom Tiffany,1603055478866841600,1267841066335682562,en,1603055478866841600,2022-12-14T15:53:04.000Z,This may be the first person in history that Bidenworld has ever wanted to deport. https://t.co/c3ngmu87oW,False,1603055478866841600,59,83,83,8
RepTiffany,Rep. Tom Tiffany,1602724846433173508,1267841066335682562,en,1602724846433173508,2022-12-13T17:59:15.000Z,"Despite promises by @POTUS that manufacturing jobs wouldn't be impacted by his green fantasy, reality has set in for 1,350 workers.

Perhaps a better name for Joe Biden’s so-called Inflation Reduction Act was the Jobs Destruction Act.
https://t.co/WrPPnY6jud",False,1602724846433173508,52,45,45,2
RepTiffany,Rep. Tom Tiffany,1602703179946364930,1267841066335682562,en,1602703179946364930,2022-12-13T16:33:09.000Z,"RT @EmpowerWi: Schumer warned senators on Monday to be prepared to pass a one-week funding stopgap bill to avert a government shutdown.

@R…",False,1602703179946364930,5,0,0,0
RepTiffany,Rep. Tom Tiffany,1602358861209505809,1267841066335682562,en,1602358861209505809,2022-12-12T17:44:57.000Z,"Long before Democrats sought to create a Ministry of Truth for ALL social media, they had their own Ministry of Tweet.

@JudiciaryGOP will be ready to expose Twitter’s lies next year. https://t.co/IxC20CiW7e",False,1602358861209505809,86,46,46,5
RepTiffany,Rep. Tom Tiffany,1602335595447156739,1267841066335682562,en,1602335595447156739,2022-12-12T16:12:30.000Z,"This is no longer just a border crisis. It is a full-blown invasion. 

And President Biden isn't lifting a finger to stop it. https://t.co/cv7d9qHhjy",False,1602335595447156739,281,142,142,28
RepTiffany,Rep. Tom Tiffany,1601204707762274304,1267841066335682562,en,1601204707762274304,2022-12-09T13:18:45.000Z,"RT @DrydenWire: This week, @RepTiffany (WI-07) introduced H.R. 9445, the ACCESS Rural America Act, to ensure rural telecommunication provid…",False,1601204707762274304,3,0,0,0
