handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepTonyGonzales,Rep. Tony Gonzales,1601346116469288960,1343627416120532992,en,1601346116469288960,2022-12-09T22:40:40.000Z,Great visit @TecdeMonterrey with President @david_garza and his team. Groundbreaking work is being done at this top university. Look forward to seeing continued and new partnerships with the U.S. https://t.co/8QDJ3YNOWu,False,1601346116469288960,0,4,4,0
RepTonyGonzales,Rep. Tony Gonzales,1601314867461619712,1343627416120532992,es,1601314867461619712,2022-12-09T20:36:30.000Z,Met Secretary of Economy of Nuevo León @ivanrivasrdz. Looking forward to continued discussions on improving the economic environment between Texas and Nuevo León. https://t.co/qmvRBn3QU8,False,1601314867461619712,6,5,5,0
RepTonyGonzales,Rep. Tony Gonzales,1601305686561812482,1343627416120532992,en,1601305686561812482,2022-12-09T20:00:01.000Z,"Be sure to subscribe to my weekly e-newsletter to never miss an update on my work serving you here in D.C. and back home in #TX23!
 
https://t.co/jt0TEHgSMp https://t.co/wmo7zgeD5n",False,1601305686561812482,0,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1601304614024118272,1343627416120532992,en,1601304614024118272,2022-12-09T19:55:45.000Z,Productive meeting today with the Mayor of Monterrey @colosioriojas. We must strive to follow the good neighbor principle and find ways to advance regional projects that benefit both countries. https://t.co/GXajrk7Nrq,False,1601304614024118272,0,2,2,0
RepTonyGonzales,Rep. Tony Gonzales,1601285327590920192,1343627416120532992,en,1601285327590920192,2022-12-09T18:39:07.000Z,"Visiting Mexico to celebrate 200 years of bilateral relations with the U.S. Started off the morning with the Howard Energy team in Monterrey, touring an expansion of their San Antonio plant. They are doing good work to expand natural gas availability across North America. https://t.co/rSOoMYha1t",False,1601285327590920192,0,1,1,0
RepTonyGonzales,Rep. Tony Gonzales,1601259729409671169,1343627416120532992,en,1601259729409671169,2022-12-09T16:57:24.000Z,"As a veteran, I’ve lived the daily struggles facing military families. It’s our responsibility to provide these brave men and women with the resources they need. The For Country Caucus works across party lines to do just that.

https://t.co/xMogmumiXy",False,1601259729409671169,0,3,3,0
RepTonyGonzales,Rep. Tony Gonzales,1601215096654626816,1343627416120532992,en,1601215096654626816,2022-12-09T14:00:02.000Z,"Change is coming January 3rd. House Republicans have a plan to:

✅Fight Inflation

✅Reduce Gas Prices

✅Secure the Supply Chain",False,1601215096654626816,50,203,203,10
RepTonyGonzales,Rep. Tony Gonzales,1600949915454124032,1343627416120532992,en,1600949915454124032,2022-12-08T20:26:18.000Z,"The 14 federal agents who have taken their lives this year aren't just numbers on a paper. These are real people with families who are forever impacted. This is an epidemic, and I am thankful that members from both sides of the aisle are able to come together on this issue. https://t.co/UaFkliLCWv",False,1600949915454124032,9,7,7,1
RepTonyGonzales,Rep. Tony Gonzales,1600928380211580928,1343627416120532992,en,1600928380211580928,2022-12-08T19:00:44.000Z,"As a 20-year Navy veteran, I was proud to vote for this year’s NDAA that rescinds the military’s COVID-19 vaccine mandate while strengthening national security priorities. 

Read my full statement below ⬇️ https://t.co/JoOYHinbWM",False,1600928380211580928,1,9,9,0
RepTonyGonzales,Rep. Tony Gonzales,1600865778986733568,1343627416120532992,en,1600865778986733568,2022-12-08T14:51:59.000Z,"#TX23 is a blue-collar district filled with hardworking Texans. On #BlueCollarDay, we celebrate the contributions of the men and women who work to keep our communities thriving. https://t.co/n9Iz1Y5Mp6",False,1600865778986733568,1,3,3,0
RepTonyGonzales,Rep. Tony Gonzales,1600848533149700096,1343627416120532992,en,1600848533149700096,2022-12-08T13:43:27.000Z,"RT @HouseGOP: “When House Republicans take over, you’re going to see a lot more effort put on holding these people accountable.” - @RepTony…",False,1600848533149700096,73,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1600624318052028416,1343627416120532992,en,1600624318052028416,2022-12-07T22:52:30.000Z,"RT @AmericaNewsroom: (1/2) CAN'T BE BOTHERED: @POTUS occupied w/ ""more important things"" than the border during AZ trip yesterday. @RepTony…",False,1600624318052028416,16,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1600617705920692224,1343627416120532992,en,1600617705920692224,2022-12-07T22:26:13.000Z,Today I had the opportunity to meet with leaders from @umcelpaso. We discussed the importance of healthcare workers and their role in providing essential resources to hospitals caring for our nation’s most vulnerable populations. https://t.co/RzpYdBQr3e,False,1600617705920692224,0,2,2,0
RepTonyGonzales,Rep. Tony Gonzales,1600582338924417024,1343627416120532992,en,1600582338924417024,2022-12-07T20:05:41.000Z,"RT @RepSlotkin: Border security shouldn’t be a partisan issue, and supporting the hardworking folks at @CBP shouldn’t be either. Today I jo…",False,1600582338924417024,10,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1600581772919668736,1343627416120532992,en,1600581772919668736,2022-12-07T20:03:26.000Z,"During a high-speed chase this morning we lost the life of a BP agent in Texas. 

This serves as a reminder that our men &amp; women in green put themselves in danger every day to protect our communities and secure our nation. Please join me in praying for his family and loved ones. https://t.co/5J3ZpIAQCM",False,1600581772919668736,6,2,2,0
RepTonyGonzales,Rep. Tony Gonzales,1600554807848321028,1343627416120532992,en,1600554807848321028,2022-12-07T18:16:17.000Z,RT @monica4congress: Today I joined a bipartisan group of members of Congress to draw awareness to the mental health crisis our Border Patr…,False,1600554807848321028,36,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1600526284404031488,1343627416120532992,en,1600526284404031488,2022-12-07T16:22:57.000Z,RT @Julio_Rosas11: Bipartisan press conference led by @RepTonyGonzales talking about the 14 suicides within Customs and Border Protection t…,False,1600526284404031488,58,0,0,0
RepTonyGonzales,Rep. Tony Gonzales,1600525174050377729,1343627416120532992,qam,1600525174050377729,2022-12-07T16:18:32.000Z,"@RepCuellar, @RepMalliotakis, @RepSlotkin, @repmayraflores, @RepSusieLee, @RepDarrenSoto, @monica4congress",False,1600525170921324545,0,0,0,0
