handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepTroyCarter,Congressman Troy A. Carter,1601350990824935425,1352760304271241218,en,1601350990824935425,2022-12-09T23:00:02.000Z,"PUBLIC SERVICE ANNOUNCEMENT📢

Today is the LAST day to submit your application for a Military Service Academy nomination! 

Apply here➡️ https://t.co/uljTvDOOjW https://t.co/kFjEEXm1tk",False,1601350990824935425,5,1,1,0
RepTroyCarter,Congressman Troy A. Carter,1601320789583740931,1352760304271241218,en,1601320789583740931,2022-12-09T21:00:01.000Z,"Congratulations to the #LA02's 2022 Congressional App Challenge winner, Srija Tamidela! WesIgn, gives users the opportunity to explore and embrace their cultural identity through art.

Srija will have the opportunity to come to Capitol Hill to demonstrate her app at #HouseOfCode! https://t.co/czGkNLqS3I",False,1601320789583740931,1,1,1,0
RepTroyCarter,Congressman Troy A. Carter,1600996144108081152,1352760304271241218,en,1600996144108081152,2022-12-08T23:30:00.000Z,"I’m honored to take on this role and add our voice, Louisiana’s voice, to the Democratic leadership team. https://t.co/8mPSQY1cOg",False,1600996144108081152,8,6,6,0
RepTroyCarter,Congressman Troy A. Carter,1600986247006412800,1352760304271241218,en,1600986247006412800,2022-12-08T22:50:40.000Z,RT @HASCDemocrats: This year’s defense bill will strengthen our national security by investing in the rich diversity of the people who work…,False,1600986247006412800,4,0,0,0
RepTroyCarter,Congressman Troy A. Carter,1600959809876299777,1352760304271241218,en,1600959809876299777,2022-12-08T21:05:37.000Z,"It’s always an honor to preside over the House chamber, but to be at the dais on the day that we protected same-sex marriage, passed pay raises for service members, aid for Ukraine, and my amendment to improve safety along the Mississippi in LA, and MORE is an enormous privilege. https://t.co/Jyt4PUs5EW",False,1600959809876299777,15,2,2,1
RepTroyCarter,Congressman Troy A. Carter,1600905337816887296,1352760304271241218,en,1600905337816887296,2022-12-08T17:29:10.000Z,My full statement ⤵️ https://t.co/50Tt0Jwh2v,False,1600905334943457280,1,0,0,0
RepTroyCarter,Congressman Troy A. Carter,1600905334943457280,1352760304271241218,en,1600905334943457280,2022-12-08T17:29:09.000Z,"For our LGBTQ+ brothers, sisters, and siblings.

For our neighbors, friends, and family.

For people in interracial marriages.

For everyone who loves and believes in its undying power, I am so proud that Congress has passed the #RespectforMarriageAct. #LoveWins https://t.co/VcyNKQJyi3",False,1600905334943457280,2,2,2,0
RepTroyCarter,Congressman Troy A. Carter,1600868553049214978,1352760304271241218,en,1600868553049214978,2022-12-08T15:03:00.000Z,"As I vote for the Respect for Marriage Act today, I'm thinking of the words of Louis Armstrong:

""See what a wonderful world it would be if only we'd give it a chance. Love, baby - love. That's the secret.” 

So proud to protect same-sex &amp; interracial marriages today. #LoveWins🏳️‍🌈",False,1600868553049214978,16,5,5,1
RepTroyCarter,Congressman Troy A. Carter,1600851940493381633,1352760304271241218,en,1600851940493381633,2022-12-08T13:56:59.000Z,"Incredible news! Thank you, @POTUS! https://t.co/l4Tf2zdJ8Y",False,1600851940493381633,1,3,3,0
RepTroyCarter,Congressman Troy A. Carter,1600590973406527489,1352760304271241218,en,1600590973406527489,2022-12-07T20:40:00.000Z,"Our country was forever changed when 2,300 servicemembers lost their lives in the 1941 attack on Pearl Harbor.

One of those brave Americans was Seaman 1st Class Houston Temples, a Louisianian who will, 81 yrs after his death, finally be laid to rest.
https://t.co/hmqNThUkCG",False,1600590973406527489,2,2,2,0
RepTroyCarter,Congressman Troy A. Carter,1600573357212188673,1352760304271241218,en,1600573357212188673,2022-12-07T19:30:00.000Z,"While the Biden Administration fights to provide debt relief for tens of millions of Americans, the @usdoegov has extended the pause on student loan payments until June 30, 2023!

This will give borrowers some breathing room as we await the SCOTUS decision.",False,1600573357212188673,3,2,2,0
RepTroyCarter,Congressman Troy A. Carter,1600543162044497924,1352760304271241218,en,1600543162044497924,2022-12-07T17:30:01.000Z,"In the midst of flu season and the rise of Covid-19 variants, make sure you're staying protected! Doctors say it is safe and effective to get your flu shot AND newly-updated Covid-19 booster at the same time! Find both at https://t.co/dXELhmYueB #GenVaxxed @YoungInvincible",False,1600543162044497924,5,1,1,0
RepTroyCarter,Congressman Troy A. Carter,1600525439348494342,1352760304271241218,en,1600525439348494342,2022-12-07T16:19:35.000Z,"RT @TruckinginLA: Starting our 2023 Call on Washington with @RepTroyCarter’s Office discussing workforce, TWIC certification and truck park…",False,1600525439348494342,3,0,0,0
