handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepValDemings,Rep. Val Demings,1601335271764566017,798973032362606600,en,1601335271764566017,2022-12-09T21:57:34.000Z,"The NDAA included provisions which I led to combat Russian and Chinese influence and misinformation in Latin America. 

America must continue to stand for democracy and freedom.",False,1601335271764566017,24,3,3,2
RepValDemings,Rep. Val Demings,1601304309056303106,798973032362606600,en,1601304309056303106,2022-12-09T19:54:32.000Z,"I’m proud to have cosponsored the PROTECT Our Children Act, which we passed. 

It is our number one duty to protect our children from abuse and exploitation.",False,1601304309056303106,66,10,10,1
RepValDemings,Rep. Val Demings,1601259411045232642,798973032362606600,en,1601259411045232642,2022-12-09T16:56:08.000Z,"The House passed my bill to support a critical anti-terror program that I used as Orlando’s police chief. 

This bill will help ensure stable funding levels that communities can rely on.",False,1601259411045232642,93,11,11,1
RepValDemings,Rep. Val Demings,1601229433570234368,798973032362606600,en,1601229433570234368,2022-12-09T14:57:01.000Z,"Over 100,000 of our sons, daughters, brothers, sisters, mothers, and fathers lost their lives last year to drug overdoses. 

We passed the Rural Opioid Abuse Prevention Act to protect families from this epidemic.",False,1601229433570234368,152,18,18,4
RepValDemings,Rep. Val Demings,1601012540464824320,798973032362606600,en,1601012540464824320,2022-12-09T00:35:09.000Z,"The corrupt Haitian officials and elites funding gang violence are a direct threat to the safety and stability of Haiti.

That's why I introduced legislation to investigate and crack down on these individuals. These new sanctions are an important step. https://t.co/D16kw7hNUx",False,1601012540464824320,54,10,10,0
RepValDemings,Rep. Val Demings,1600929327230889984,798973032362606600,en,1600929327230889984,2022-12-08T19:04:30.000Z,"Earlier this year were grateful for the release of seven Americans wrongfully detained in Venezuela. Today we celebrate the release of Brittney Griner.

Make no mistake, we will not stop until we bring home Paul Whelan and all other Americans who have been unjustly detained.",False,1600929327230889984,148,18,18,4
RepValDemings,Rep. Val Demings,1600868705394913282,798973032362606600,en,1600868705394913282,2022-12-08T15:03:36.000Z,"Today we remember Orange County Deputy Brandon L. Coates, who tragically lost his life to an act of violence at a traffic stop. 

I offer my condolences to his family on this day of remembrance.",False,1600868705394913282,52,2,2,0
RepValDemings,Rep. Val Demings,1600531656007352320,798973032362606600,en,1600531656007352320,2022-12-07T16:44:17.000Z,"81 years ago marked a day that would live in infamy. 

Today we remember the bravery and service of all who lost their lives at Pearl Harbor and in the years that followed.",False,1600531656007352320,133,17,17,0
RepValDemings,Rep. Val Demings,1600219832527429632,798973032362606600,en,1600219832527429632,2022-12-06T20:05:13.000Z,"This morning the Mayor offered a vision for Orange County with strong public safety, more housing, better wages, and a growing economy that lifts up all people. I can't wait to see all that he will continue to accomplish. https://t.co/fz5EdK948s",False,1600219826680537088,27,5,5,1
RepValDemings,Rep. Val Demings,1600219826680537088,798973032362606600,en,1600219826680537088,2022-12-06T20:05:11.000Z,"I am so proud of all our Orange County officials sworn in this morning, most especially @OCFLMayor.

I know that the future of our county is bright. We can all be thankful for those public servants who put our community first.",False,1600219826680537088,88,13,13,1
RepValDemings,Rep. Val Demings,1600120618434777089,798973032362606600,en,1600120618434777089,2022-12-06T13:30:58.000Z,"I am grateful to hear the Biden admin will extend and redesignate Haiti for TPS, protecting Haitians in Florida and nationwide.

We must continue to protect Haitians seeking refuge in the United States as we work to help stabilize and restore Haiti's democracy and safety.",False,1600120618434777089,145,19,19,3
RepValDemings,Rep. Val Demings,1599836651093520385,798973032362606600,en,1599836651093520385,2022-12-05T18:42:35.000Z,"Supporting Florida farmers has been a longstanding bipartisan priority in Congress. My hope is that the work to support our farm families continues, because it is critical to feeding America's families.",False,1599836651093520385,121,15,15,1
RepValDemings,Rep. Val Demings,1599449701513773056,798973032362606600,en,1599449701513773056,2022-12-04T17:04:59.000Z,"Keeping our communities safe has been a top priority for me during my time in Congress. 

It is why i introduced bills like the VICTIM Act, to help keep dangerous criminals off our streets. Although we have made great progress we still have a long way to go.",False,1599449701513773056,184,30,30,4
RepValDemings,Rep. Val Demings,1598322143321890816,798973032362606600,en,1598322143321890816,2022-12-01T14:24:29.000Z,"Thank you to our 28 candidates and 9 Service Academy Board Members for a great round of U.S. service academy nomination interviews. 

Our country depends on those who put service before self. https://t.co/Zh41mfB2vp",False,1598322143321890816,55,9,9,1
RepValDemings,Rep. Val Demings,1597741486602616832,798973032362606600,en,1597741486602616832,2022-11-29T23:57:09.000Z,"Equality under the law is an American value and this vote should have been 100 to zero. 

Nevertheless, I am glad the Senate has moved to protect the rights of all Americans to have their marriage treated with equality and respect.

This vote is a step in the right direction.",False,1597741486602616832,182,34,34,3
RepValDemings,Rep. Val Demings,1597620718337896448,798973032362606600,en,1597620718337896448,2022-11-29T15:57:16.000Z,My prayers are with his wife Colette and his family.,False,1597620713074331648,11,2,2,1
RepValDemings,Rep. Val Demings,1597620715829985281,798973032362606600,en,1597620715829985281,2022-11-29T15:57:15.000Z,"Despite his personal health challenges he was devoted to his constituents and he showed up to do the work. He was a tireless fighter for health care, gun safety, civil rights, and environmental justice. His commitment and that legacy will live on, but I will miss him.",False,1597620713074331648,22,3,3,0
RepValDemings,Rep. Val Demings,1597620713074331648,798973032362606600,en,1597620713074331648,2022-11-29T15:57:15.000Z,"I am deeply saddened by the passing of my colleague Donald McEachin. We came to Congress together, where he was a leader and a friend. He was a man of faith and conviction who truly understood what it meant to stand up for the ‘least of these.’",False,1597620713074331648,144,16,16,4
RepValDemings,Rep. Val Demings,1595769154963132417,798973032362606600,en,1595769154963132417,2022-11-24T13:19:49.000Z,"Happy Thanksgiving everyone!
On this day of thanks I pray that you are surrounded by the warmth and love of family and friends.",False,1595769154963132417,475,143,143,14
RepValDemings,Rep. Val Demings,1594352520989736960,798973032362606600,en,1594352520989736960,2022-11-20T15:30:37.000Z,"There is nothing like the Florida Classic to celebrate reunions and friendly rivalries between @FAMU_1887 and @bethunecookman. 

I enjoyed seeing you all so much. https://t.co/D1Fd2Vo3d2",False,1594352520989736960,29,12,12,1
RepValDemings,Rep. Val Demings,1594338894429855744,798973032362606600,en,1594338894429855744,2022-11-20T14:36:28.000Z,"We must demand more from politicians who want power but not accountability. After the thoughts and prayers, we must do more to protect America’s families.",False,1594338878604730368,119,27,27,3
RepValDemings,Rep. Val Demings,1594338878604730368,798973032362606600,en,1594338878604730368,2022-11-20T14:36:24.000Z,"I am praying for the Colorado Springs community and all victims of last night's LGBTQ club shooting.

For us here in Orlando, this is so painfully reminiscent of Pulse. We are with you.",False,1594338878604730368,865,126,126,20
RepValDemings,Rep. Val Demings,1593326621460729859,798973032362606600,en,1593326621460729859,2022-11-17T19:34:03.000Z,"Her unwavering love of country has resulted in a lifetime of fighting for the people.

America is changed for the better due to this true servant leader. 

Thank you, Madam Speaker.",False,1593326618470129664,121,17,17,4
