handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepVanTaylor,Rep Van Taylor,1496938064475680768,1075040139351597056,en,1496938064475680768,2022-02-24T20:00:20.000Z,Biden's irresponsible actions and foreign policy disasters embolden our adversaries. Praying for the people of Ukraine. https://t.co/LZUBMqQcRp,False,1496938064475680768,14,562,562,28
RepVanTaylor,Rep Van Taylor,1496559486827380746,1075040139351597056,en,1496559486827380746,2022-02-23T18:56:01.000Z,Excited to announce the 2022 Congressional Art Competition for high school students in Texas’ Third Congressional District is now underway! You can learn more by visiting https://t.co/PS2Une2TpI. https://t.co/tSSdOrfmt2,False,1496559486827380746,5,43,43,2
RepVanTaylor,Rep Van Taylor,1495810799486574594,1075040139351597056,en,1495810799486574594,2022-02-21T17:21:00.000Z,Wishing everyone a happy #PresidentsDay as we reflect on the leaders who’ve shaped the best country in the world. https://t.co/57CrLoHZGL,False,1495810799486574594,4,31,31,3
RepVanTaylor,Rep Van Taylor,1494798982723383298,1075040139351597056,en,1494798982723383298,2022-02-18T22:20:24.000Z,"Here in North Texas, our business friendly policies have attracted outstanding companies to our region like Samsung and I’m happy to welcome their new Experience Store to Frisco! https://t.co/1VJfr1PgdK",False,1494798982723383298,3,18,18,1
RepVanTaylor,Rep Van Taylor,1494390248956215302,1075040139351597056,en,1494390248956215302,2022-02-17T19:16:14.000Z,My office is now accepting U.S. Service Academy nomination applications! Learn More: https://t.co/CgH5vArv14 https://t.co/yI2HQcWlbI,False,1494390248956215302,3,12,12,1
RepVanTaylor,Rep Van Taylor,1493966695693799429,1075040139351597056,en,1493966695693799429,2022-02-16T15:13:11.000Z,"As we observe National Salute to Veteran Patients week, I was honored to deliver nearly 4,000 valentines handcrafted by over 30 schools &amp; organizations in Collin County! The @VANorthTexas &amp; other veterans organizations were thankful for the community's outpouring of appreciation. https://t.co/FaCYODvpfH",False,1493966695693799429,2,12,12,0
RepVanTaylor,Rep Van Taylor,1493666829084106759,1075040139351597056,en,1493666829084106759,2022-02-15T19:21:37.000Z,"The #DurhamReport is very disturbing and I’m glad the @WSJ is covering this story unlike the far left mainstream media who act as gatekeepers to disinformation.

https://t.co/odxHkXaB9y",False,1493666829084106759,4,34,34,0
RepVanTaylor,Rep Van Taylor,1491809333532930048,1075040139351597056,en,1491809333532930048,2022-02-10T16:20:36.000Z,"Texans are bearing the brunt of the left’s out of control socialist spending every time they go to the grocery store, put gas in their car, or run their electricity. Biden &amp; Pelosi’s radical spending caused the worst inflation we’ve seen in 40 years. Reckless spending must stop. https://t.co/jbM3O30jb4",False,1491809333532930048,4,38,38,0
RepVanTaylor,Rep Van Taylor,1491534597636730885,1075040139351597056,en,1491534597636730885,2022-02-09T22:08:54.000Z,"Met with members of our Taiwanese American community in North TX &amp; discussed the importance of strengthening US – Taiwan relations. As a member of the Taiwan Caucus, I believe we must continue to stand by Taiwan in the face of Communist China’s threats &amp; aggression. https://t.co/L1nkH3Yhch",False,1491534597636730885,46,15,15,3
RepVanTaylor,Rep Van Taylor,1491172405338804224,1075040139351597056,en,1491172405338804224,2022-02-08T22:09:40.000Z,"RT @Logan_Ratick: NEW: Rep. Chip Roy (R-TX) introduces bill to reinstate troops discharged over vaccine mandate. 

GOP Co-sponsors: Reps. G…",False,1491172405338804224,33,0,0,0
RepVanTaylor,Rep Van Taylor,1491169638725476353,1075040139351597056,en,1491169638725476353,2022-02-08T21:58:41.000Z,Don’t forget: There are only 2 days left to turn in cards for my annual Valentines for Veterans Program! Learn More: https://t.co/0lWP20kv96 https://t.co/hDIOlvlR0K,False,1491169638725476353,1,8,8,0
RepVanTaylor,Rep Van Taylor,1491154129720266752,1075040139351597056,en,1491154129720266752,2022-02-08T20:57:03.000Z,Joined Rep. Roy in working to reinstate our service members who were discharged over Biden’s COVID19 vaccine mandates. We must stand with those who answered the call to defend our nation &amp; not allow politicians to disrespect their sacrifices with politically motivated mandates. https://t.co/KAiIY40Uil,False,1491154129720266752,3,20,20,0
RepVanTaylor,Rep Van Taylor,1488949376663891975,1075040139351597056,en,1488949376663891975,2022-02-02T18:56:09.000Z,Biden abandoned hundreds of Americans and our allies in Afghanistan behind enemy lines. He violated one of our most strongly held principles - leave no man behind. The complete lack of leadership is disgraceful and dangerous. https://t.co/SS4CB5V2Wh,False,1488949376663891975,2,33,33,0
RepVanTaylor,Rep Van Taylor,1488916186838487049,1075040139351597056,en,1488916186838487049,2022-02-02T16:44:16.000Z,"Stay safe North Texas! If you have to travel, don’t forget to monitor the road conditions first ⬇️ https://t.co/E5KgtdX58h",False,1488916186838487049,1,8,8,0
RepVanTaylor,Rep Van Taylor,1488654376591925255,1075040139351597056,en,1488654376591925255,2022-02-01T23:23:55.000Z,"When it comes to supporting pro-business and pro-freedom policies, Texas knows best. Happy #NationalTexasDay! https://t.co/t0e6Mvuz9t",False,1488654376591925255,1,6,6,0
RepVanTaylor,Rep Van Taylor,1488555772066041862,1075040139351597056,en,1488555772066041862,2022-02-01T16:52:06.000Z,"Recently, my Congressional Youth Advisory Council was joined by special guest, State Rep. Candy Noble, &amp; had the opportunity to participate in an interactive discussion about the ways federal &amp; state issues often intersect as we serve our constituents. https://t.co/XZ0Q4QHWeb",False,1488555772066041862,1,1,1,0
RepVanTaylor,Rep Van Taylor,1488172604452081668,1075040139351597056,en,1488172604452081668,2022-01-31T15:29:32.000Z,"The young patriots &amp; staff at @HMECardinals in Melissa went above &amp; beyond as we prepare to celebrate veterans with handmade greetings during National Salute to Veteran Patients week. Much like their school's namesake, these students are making plans to change the world! https://t.co/G0U7JHa99g",False,1488172604452081668,4,3,3,0
RepVanTaylor,Rep Van Taylor,1486796643160711177,1075040139351597056,en,1486796643160711177,2022-01-27T20:21:57.000Z,"RT @TechNetUpdate: Thank you, @RepVanTaylor for joining us last week to talk about ways we can work together to address the global semicond…",False,1486796643160711177,1,0,0,0
RepVanTaylor,Rep Van Taylor,1486494987407745028,1075040139351597056,en,1486494987407745028,2022-01-27T00:23:17.000Z,@UPS plays a vital role in supporting our domestic supply chain &amp; we’re proud to have a regional hub in McKinney providing hundreds of jobs across North TX. Enjoyed touring their facility alongside local leaders &amp; learning about their many efforts to strengthen our communities. https://t.co/MSfbIQ9NeN,False,1486494987407745028,2,0,0,0
RepVanTaylor,Rep Van Taylor,1485705429040738309,1075040139351597056,en,1485705429040738309,2022-01-24T20:05:52.000Z,Congratulations to @PlanoEastHockey for winning the 2022 State High School Division 2A Championship! https://t.co/zvhhFOCwtf,False,1485705429040738309,4,0,0,0
RepVanTaylor,Rep Van Taylor,1484597597264359427,1075040139351597056,en,1484597597264359427,2022-01-21T18:43:44.000Z,Met with @WatermarkChurch in my D.C. office yesterday to discuss the importance of pro-life policies and how we can work together in the fight to protect the unborn. https://t.co/F0IgO87sTH,False,1484597597264359427,2,24,24,0
RepVanTaylor,Rep Van Taylor,1483960340002095104,1075040139351597056,en,1483960340002095104,2022-01-20T00:31:30.000Z,100% agree. https://t.co/mjXB0JJ1nd,False,1483960340002095104,2,17,17,1
RepVanTaylor,Rep Van Taylor,1483520701709570056,1075040139351597056,en,1483520701709570056,2022-01-18T19:24:32.000Z,"The @TechnicBots based in Plano recently won one of the most prestigious international competitions in Robotics, the @F1RSTglobal Challenge, while competing as Team USA. With over 190 nations participating, I’m proud that Collin County is home to this #STEM powerhouse. https://t.co/kDJl9rf04r",False,1483520701709570056,4,2,2,0
RepVanTaylor,Rep Van Taylor,1483142363828658177,1075040139351597056,en,1483142363828658177,2022-01-17T18:21:09.000Z,"This #MLKDay as we celebrate the life and legacy of Rev. Dr. Martin Luther King Jr., let us reflect on the importance of equality, justice, and loving one another. https://t.co/CUVQKWMbZS",False,1483142363828658177,1,28,28,1
RepVanTaylor,Rep Van Taylor,1482073105317122053,1075040139351597056,en,1482073105317122053,2022-01-14T19:32:18.000Z,Recently hosted a reception in Plano for the 2021 Congressional App Challenge winners and honorable mentions from TX-03. Really impressed with these students and enjoyed learning more about their apps and how they are making a difference in their communities! https://t.co/W3RBEzXMdW,False,1482073105317122053,4,4,4,0
RepVanTaylor,Rep Van Taylor,1482043580546002947,1075040139351597056,en,1482043580546002947,2022-01-14T17:34:59.000Z,Excited to kick off my annual Valentines for Veterans program! Click to learn more about how you can show gratitude to our local veterans 👉🏻 https://t.co/0lWP20C6xG https://t.co/af8LAzqgxp,False,1482043580546002947,2,4,4,0
RepVanTaylor,Rep Van Taylor,1481763180523266050,1075040139351597056,en,1481763180523266050,2022-01-13T23:00:46.000Z,A victory for freedom loving Americans 🇺🇸⬇️ https://t.co/wclLXzTa0m,False,1481763180523266050,2,30,30,1
