handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepWalberg,Rep. Tim Walberg,1605999839602479136,237862972,en,1605999839602479136,2022-12-22T18:52:54.000Z,"Please stay safe, take necessary precautions, and check on any neighbors in need this holiday season.

https://t.co/AXxV1LBZh6",False,1605999839602479136,0,1,1,0
RepWalberg,Rep. Tim Walberg,1605977613658374144,237862972,en,1605977613658374144,2022-12-22T17:24:35.000Z,RT @davidshepardson: Seven House Republicans from Michigan led by @RepWalberg ask @GovWhitmer to join other states in banning @tiktok_us fr…,False,1605977613658374144,1,0,0,0
RepWalberg,Rep. Tim Walberg,1605954179666743297,237862972,en,1605954179666743297,2022-12-22T15:51:28.000Z,"The 4,155-page omnibus bill is a far-left boondoggle with a $1.7 trillion price tag.
 
It fails to meaningfully address the border crisis, unleash American energy, or put a check on wasteful spending.
 
I will be voting NO on this reckless spending spree.",False,1605954179666743297,5,11,11,3
RepWalberg,Rep. Tim Walberg,1605628097184792588,237862972,en,1605628097184792588,2022-12-21T18:15:44.000Z,"As we enter the winter months, Americans are bracing for soaring home heating bills. 

It's past time to flip the switch on American energy. https://t.co/J5xGa4XIOS",False,1605628097184792588,2,5,5,1
RepWalberg,Rep. Tim Walberg,1605314994396172290,237862972,en,1605314994396172290,2022-12-20T21:31:34.000Z,"The Supreme Court’s decision to temporarily block the expiration of Title 42 is welcome news. 

But in the midst of this historic crisis, the Biden admin needs to stop ignoring the problem and finally get serious about border security.

https://t.co/MUxrup31cm",False,1605314994396172290,2,11,11,2
RepWalberg,Rep. Tim Walberg,1603459411862855681,237862972,en,1603459411862855681,2022-12-15T18:38:09.000Z,"On this day in 1791, the Bill of Rights was ratified. May we continue to uphold and defend these foundational freedoms that we hold dear as Americans. https://t.co/QBwsNsCxB2",False,1603459411862855681,8,17,17,3
RepWalberg,Rep. Tim Walberg,1603082991932170243,237862972,en,1603082991932170243,2022-12-14T17:42:23.000Z,"In Congress, I continue to fight for freedom and commonsense conservative policies.

Thank you @AFPhq for recognizing me with a Pioneers for Prosperity award for my work on behalf of the American people! https://t.co/AXmNjTBgSG",False,1603082991932170243,4,15,15,0
RepWalberg,Rep. Tim Walberg,1602744368787603458,237862972,en,1602744368787603458,2022-12-13T19:16:49.000Z,"CPI was just 1.4% when President Biden took office. Now it has ticked up again to 7.1%.

Americans are paying the exorbitant price of the Democrats’ reckless spending agenda. 

Thankfully, one-party rule in Washington ends January 3 when @HouseGOP regains control. https://t.co/M1TzxocacA",False,1602744368787603458,6,13,13,1
RepWalberg,Rep. Tim Walberg,1602453999495561216,237862972,en,1602453999495561216,2022-12-13T00:03:00.000Z,Good luck to Grass Lake's own @Brayden_Lape24 tonight on The Voice. We're cheering for you! https://t.co/gVXA0xJ8CW,False,1602453999495561216,0,2,2,0
RepWalberg,Rep. Tim Walberg,1602395763090157569,237862972,en,1602395763090157569,2022-12-12T20:11:35.000Z,"Many parents still struggle to find baby formula. It’s been months since @HouseCommerce unanimously advanced my resolution demanding the Biden admin release documents on the infant formula crisis.

Parents deserve answers. No reason for Speaker Pelosi to hold this up any longer! https://t.co/0HGxPOJGow",False,1602395763090157569,15,22,22,0
RepWalberg,Rep. Tim Walberg,1601295522090094592,237862972,en,1601295522090094592,2022-12-09T19:19:37.000Z,"Proud to support our defense bill which both increased troop pay, and rescinded the COVID-19 vaccine mandate for active and reserve servicemembers. This bill will soon become law. 

We’re so grateful for the service of our brave military members and their families!",False,1601295522090094592,3,22,22,2
RepWalberg,Rep. Tim Walberg,1600948791531929601,237862972,en,1600948791531929601,2022-12-08T20:21:50.000Z,"For years now, I have spoken about Paul Whelan's wrongful imprisonment on the House floor.

I was hoping the next time would be to celebrate his release. Sadly, it is not. https://t.co/PgFAv5XsCm",False,1600948791531929601,2,17,17,2
RepWalberg,Rep. Tim Walberg,1600864948116070400,237862972,en,1600864948116070400,2022-12-08T14:48:40.000Z,"This is now the second prisoner exchange where President Biden has left Paul Whelan behind. A Marine and Michigan native, Paul has been wrongly imprisoned for nearly 4 years.

Absolutely heartbroken for the Whelan family. They deserve better.",False,1600864948116070400,9,40,40,6
RepWalberg,Rep. Tim Walberg,1600523873480581121,237862972,en,1600523873480581121,2022-12-07T16:13:22.000Z,"Heroes like Herb Elfring, a Pearl Harbor survivor from Jackson, represent the very best of America. I spoke about his distinguished service on the House floor earlier this year. https://t.co/zsYt6bDxEP",False,1600523873480581121,1,4,4,0
RepWalberg,Rep. Tim Walberg,1600491352055324673,237862972,en,1600491352055324673,2022-12-07T14:04:08.000Z,"December 7, 1941—a day we will never forget. On the 81th anniversary of the attack on Pearl Harbor, we pause to pay tribute to the brave heroes who gave their lives in service to our country. https://t.co/HDIossyt0G",False,1600491352055324673,7,8,8,0
RepWalberg,Rep. Tim Walberg,1600195970960064522,237862972,en,1600195970960064522,2022-12-06T18:30:24.000Z,Congrats to @springarboru on winning another national championship in women's soccer! https://t.co/34FuhduknX,False,1600195970960064522,1,4,4,0
RepWalberg,Rep. Tim Walberg,1600167231752650754,237862972,en,1600167231752650754,2022-12-06T16:36:12.000Z,"Time after time, President Biden has proven how deeply unserious he is about securing the border. https://t.co/qpyCwtiTeP",False,1600167231752650754,3,24,24,3
RepWalberg,Rep. Tim Walberg,1598797830818340876,237862972,en,1598797830818340876,2022-12-02T21:54:41.000Z,"With inflation at a 40-year high, Michigan families are preparing for yet another expensive holiday season.

We need to stop the reckless spending and bring costs down.

https://t.co/g4AcY8dYff",False,1598797830818340876,4,15,15,1
RepWalberg,Rep. Tim Walberg,1598417057367965696,237862972,en,1598417057367965696,2022-12-01T20:41:38.000Z,RT @HouseCommerce: Leader @cathymcmorris to @FoxNews: “The nation’s biggest technology companies are in for a rude awakening when the GOP-l…,False,1598417057367965696,16,0,0,0
RepWalberg,Rep. Tim Walberg,1597709318140338176,237862972,en,1597709318140338176,2022-11-29T21:49:20.000Z,"Already overwhelmed, Border Patrol agents are sounding the alarm that the crisis is about to get even worse.

The Biden admin's inaction and failure to secure the border is unacceptable.

https://t.co/LHgpnno754",False,1597709318140338176,3,11,11,0
RepWalberg,Rep. Tim Walberg,1597698645117308928,237862972,art,1597698645117308928,2022-11-29T21:06:55.000Z,RT @HouseGOP: 🇺🇸🇺🇸🇺🇸,False,1597698645117308928,29,0,0,0
RepWalberg,Rep. Tim Walberg,1597293211470499840,237862972,en,1597293211470499840,2022-11-28T18:15:52.000Z,President Biden's America last energy policy strikes again. https://t.co/4kghviKZqv,False,1597293211470499840,3,8,8,1
