handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepWesterman,Rep. Bruce Westerman,1605976934629793793,2852998461,en,1605976934629793793,2022-12-22T17:21:53.000Z,"This omnibus is the product of a failed process. Yet again, this massive annual gov't funding bill is months late, thousands of pages long, full of unvetted policy issues, and greased with special interest deals. 

I consider it an honor to vote against such garbage.",False,1605976934629793793,1,13,13,2
RepWesterman,Rep. Bruce Westerman,1605976552532955137,2852998461,en,1605976552532955137,2022-12-22T17:20:22.000Z,RT @JohnBoozman: Today the House passed and sent to the president's desk my bill to designate the Butterfield Trail as a National Historic…,False,1605976552532955137,2,0,0,0
RepWesterman,Rep. Bruce Westerman,1605295464563081217,2852998461,en,1605295464563081217,2022-12-20T20:13:58.000Z,"It was great to join the first annual Arkansas Harvest Recap in Keo last week.

I discussed my efforts in Congress to prevent Chinese control of US farmland, the upcoming Farm Bill, and worker shortages. https://t.co/ncfWuopKLb",False,1605295464563081217,0,5,5,1
RepWesterman,Rep. Bruce Westerman,1603827166277312512,2852998461,en,1603827166277312512,2022-12-16T18:59:28.000Z,RT @NatResources: 🚨Read Ranking Member @RepWesterman's full statement on today's Puerto Rico Status vote here: https://t.co/kuYfuMie9W http…,False,1603827166277312512,6,0,0,0
RepWesterman,Rep. Bruce Westerman,1603821527660625925,2852998461,en,1603821527660625925,2022-12-16T18:37:04.000Z,"Mr. Joe Liles has faithfully served Arkansas as a law enforcement officer with Ouachita National Forest Service for 30 years. 

It was a pleasure to honor his work and upcoming retirement on the House floor this week. https://t.co/avgwqdiXNc",False,1603821527660625925,1,0,0,0
RepWesterman,Rep. Bruce Westerman,1603459409946066944,2852998461,en,1603459409946066944,2022-12-15T18:38:08.000Z,RT @NatResources: LISTEN NOW → Ranking Member @RepWesterman on the Puerto Rico Status Act https://t.co/dgRtmDEAFA,False,1603459409946066944,1,0,0,0
RepWesterman,Rep. Bruce Westerman,1603420581436825601,2852998461,en,1603420581436825601,2022-12-15T16:03:51.000Z,RT @westerncaucus: Vice Chair @RepWesterman joined @BIOBY_Official Executive Director Ryan Sistad to discuss what a Republican majority wil…,False,1603420581436825601,2,0,0,0
RepWesterman,Rep. Bruce Westerman,1603164463296913408,2852998461,en,1603164463296913408,2022-12-14T23:06:08.000Z,"Thank you to @ArFB's Young Farmers &amp; Ranchers for coming to DC to speak with the AR House delegation and for joining me on a night tour of the Capitol! 

I always enjoy hearing directly from our ag workers on what challenges they face &amp; how I can help at the federal level. https://t.co/EBoMT54XHr",False,1603164463296913408,0,6,6,0
RepWesterman,Rep. Bruce Westerman,1602734657996562432,2852998461,en,1602734657996562432,2022-12-13T18:38:14.000Z,"Did you know that if every single car in the US was magically transformed into an electric vehicle, global carbon emissions would be lowered by less than 1%? 

We do not need to kill our economy by forcing a green transition in order to protect the environment. https://t.co/4qZdFZTdYM",False,1602734657996562432,2,4,4,0
RepWesterman,Rep. Bruce Westerman,1602726736923426816,2852998461,en,1602726736923426816,2022-12-13T18:06:45.000Z,"In the US, fentanyl kills more people than car accidents, gun violence, and suicide.

This poison is largely funneled into our country through our southern border, but our President refuses to staunch the flow. 

Instead, he says there are “more important things going on.”",False,1602726736923426816,3,10,10,0
