handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepYvetteClarke,Yvette D. Clarke,1601588188992049154,240812994,en,1601588188992049154,2022-12-10T14:42:34.000Z,"RT @RepSwalwell: Today’s rescue mission: saving GOP @RepBrianMast from humiliating himself further. Brian, now that the Architect of the Ca…",False,1601588188992049154,860,0,0,0
RepYvetteClarke,Yvette D. Clarke,1601236711534911488,240812994,en,1601236711534911488,2022-12-09T15:25:56.000Z,RT @kylegriffin1: Brittney Griner has landed on U.S. soil.,False,1601236711534911488,484,0,0,0
RepYvetteClarke,Yvette D. Clarke,1600909088900415488,240812994,en,1600909088900415488,2022-12-08T17:44:04.000Z,"RT @WhipClyburn: .@HouseDemocrats just sent the Respect for Marriage Act to the President's desk, which repeals the discriminatory Defense…",False,1600909088900415488,312,0,0,0
RepYvetteClarke,Yvette D. Clarke,1600863312853356544,240812994,en,1600863312853356544,2022-12-08T14:42:11.000Z,"Hearing so many Republicans this morning argue against gay marriage on the floor of the House of Representatives with tears in their eyes and hate in their hearts has me speechless. 

This is 2022. Be better than your bigotry.",False,1600863312853356544,200,25,25,10
RepYvetteClarke,Yvette D. Clarke,1600852431624994816,240812994,en,1600852431624994816,2022-12-08T13:58:56.000Z,"At long last, Brittney’s coming home!

Thank you to every individual who never stopped fighting for this day. And here’s to Ms. Griner for her profound courage in the face of impossible pain and hardship. 

Folks, my heart is full.❤️ https://t.co/VCTDc4K81Y",False,1600852431624994816,15,9,9,2
RepYvetteClarke,Yvette D. Clarke,1600573902836613150,240812994,en,1600573902836613150,2022-12-07T19:32:10.000Z,"RT @JohnFetterman: If you're trying to score political points by singling out LGBTQIA+ people, then you need to find a different line of wo…",False,1600573902836613150,956,0,0,0
RepYvetteClarke,Yvette D. Clarke,1600504702671757313,240812994,en,1600504702671757313,2022-12-07T14:57:11.000Z,"A well-deserved distinction for a great man and his heroic people. 

Congratulations, @ZelenskyyUa. We're with you. https://t.co/05uyiySLiL",False,1600504702671757313,13,11,11,1
RepYvetteClarke,Yvette D. Clarke,1600258631273828353,240812994,en,1600258631273828353,2022-12-06T22:39:23.000Z,RT @HomelandDems: The Senate must #ProtectDACA. The time is now. https://t.co/Vykqnr2Sis,False,1600258631273828353,9,0,0,0
RepYvetteClarke,Yvette D. Clarke,1600232117996167170,240812994,en,1600232117996167170,2022-12-06T20:54:02.000Z,"I am shocked (but not surprised) that anyone could vote against citizenship for our brave service members. These courageous individuals risked their lives to defend our country, and they deserve our gratitude and support. Denying them the opportunity of citizenship is a disgrace. https://t.co/REXbWHrGXf",False,1600232117996167170,114,60,60,8
RepYvetteClarke,Yvette D. Clarke,1600179332156211202,240812994,en,1600179332156211202,2022-12-06T17:24:17.000Z,"I believe we can do better, and I believe we MUST do better. The #EagleAct is simply not the reform we've long hoped for, nor is it the change to our immigration systems we've long needed.

And that is precisely why I've opposed it, today. https://t.co/r0Nqj34BOY",False,1600179332156211202,669,813,813,128
RepYvetteClarke,Yvette D. Clarke,1600170808977915916,240812994,en,1600170808977915916,2022-12-06T16:50:25.000Z,"Celebrating this profoundly moral decision to deliver relief to so many Haitian families living in uncertainty today. The situation in their nation remains dire, but this extension provides migrants the opportunity and ability to rebuild their lives in safety. 

So very grateful! https://t.co/38Ovf2Lg5F",False,1600170808977915916,15,5,5,1
RepYvetteClarke,Yvette D. Clarke,1600144323445547009,240812994,en,1600144323445547009,2022-12-06T15:05:10.000Z,"RT @RepJeffries: The House will pass legislation to defend marriage equality this week. 

And send it to President Biden to be signed into…",False,1600144323445547009,2310,0,0,0
RepYvetteClarke,Yvette D. Clarke,1599875085816328192,240812994,en,1599875085816328192,2022-12-05T21:15:19.000Z,RT @SenOssoff: BIG NEWS: Sen. @ossoff's bipartisan bill to secure justice for victims of unsolved lynchings and murders in the Civil Rights…,False,1599875085816328192,9041,0,0,0
RepYvetteClarke,Yvette D. Clarke,1598716022936182784,240812994,en,1598716022936182784,2022-12-02T16:29:37.000Z,"Just uplifting this incredible thread that brought a smile to my face this morning - the achievements, successes, and genius of Black women truly have been pushing our world forward for centuries! https://t.co/i8SLFjhbD8",False,1598716022936182784,66,2,2,3
RepYvetteClarke,Yvette D. Clarke,1598701403450376192,240812994,en,1598701403450376192,2022-12-02T15:31:31.000Z,"RT @Ilhan: Public childcare funding per child:

🇳🇴 $29,726
🇮🇸$24,427
🇫🇮$23,353
🇩🇰$23,140
🇩🇪$18,656
🇸🇪$18,010
O.E.C.D. average $14,436
🇦🇹 $1…",False,1598701403450376192,441,0,0,0
RepYvetteClarke,Yvette D. Clarke,1598424711423205390,240812994,en,1598424711423205390,2022-12-01T21:12:03.000Z,"Are you kidding me?

What possible excuse is there for a government agency to DOXX thousands upon thousands of innocent migrants, particularly at a time when hate-mongers are relentless in their efforts to demonize them?

We will be demanding answers.

https://t.co/DEVdw2kVZ1",False,1598424711423205390,8,3,3,0
RepYvetteClarke,Yvette D. Clarke,1598419898711085061,240812994,en,1598419898711085061,2022-12-01T20:52:55.000Z,"@RitaJosephNYC The pride is all mine.❤️

Thank you, Council Member!",False,1598419522154799109,0,0,0,0
RepYvetteClarke,Yvette D. Clarke,1598414253052293121,240812994,en,1598414253052293121,2022-12-01T20:30:29.000Z,"Never forget every beloved friend lost to AIDS over these many challenging decades. Make no mistake: one day, we WILL find an equitable cure for this terrible illness. And the world will change.

#WorldAIDSDay https://t.co/F0DdXImfgV",False,1598414253052293121,4,0,0,1
RepYvetteClarke,Yvette D. Clarke,1598335910625640448,240812994,en,1598335910625640448,2022-12-01T15:19:11.000Z,RT @TheBlackCaucus: 🚨: We are proud to announce the election of the Congressional Black Caucus Executive Committee of the 118th Congress:…,False,1598335910625640448,164,0,0,0
