handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RobWittman,Rep. Rob Wittman,1606014514926735361,15356407,en,1606014514926735361,2022-12-22T19:51:13.000Z,"Earlier today, I spoke on the House floor in support of this vital legislation. Thank you to my colleagues on both sides of the aisle for their support and recognition of this critical bill to protect and preserve the Northern Neck of Virginia. https://t.co/AfjvAC5aI7",False,1606009829461438466,3,1,1,1
RobWittman,Rep. Rob Wittman,1606009829461438466,15356407,en,1606009829461438466,2022-12-22T19:32:36.000Z,I'm proud of my work with @MarkWarner and @TimKaine on the Northern Neck National Heritage Area Act –  an important bill for protecting the Northern Neck's resources and supporting tourism in the region to boost its economic development. https://t.co/j70c0fKqUf,False,1606009829461438466,3,1,1,2
RobWittman,Rep. Rob Wittman,1605252986371858437,15356407,en,1605252986371858437,2022-12-20T17:25:10.000Z,"SPY-6 is 30x better than the legacy SPY-1 radar.
 
Capability advancements like this one strengthen our naval fleet – improving its lethality and relevance for the modern battlespace.",False,1605252981502447618,0,1,1,0
RobWittman,Rep. Rob Wittman,1605252981502447618,15356407,en,1605252981502447618,2022-12-20T17:25:09.000Z,"With the addition of SPY-6 radar and its baseline 10 AEGIS combat system, USS Jack Lucas (DDG-125) represents a leap ahead for naval surface forces.
 
https://t.co/L5oX3wxQBn",False,1605252981502447618,2,3,3,0
RobWittman,Rep. Rob Wittman,1604625019920859137,15356407,en,1604625019920859137,2022-12-18T23:49:51.000Z,"Wishing a happy Hanukkah to all those celebrating in Virginia and around the world!

May you and your loved ones have a blessed and joyous holiday. https://t.co/HnOborEP7C",False,1604625019920859137,1,6,6,0
RobWittman,Rep. Rob Wittman,1603450333400907792,15356407,en,1603450333400907792,2022-12-15T18:02:04.000Z,"The FY23 NDAA will secure the future of our Navy’s fleet for another year. Congress recognizes that hulls in the water are essential to advancing U.S. interests around the world. 

Read more about our work: https://t.co/fDA9brFz3q",False,1603450333400907792,1,8,8,1
RobWittman,Rep. Rob Wittman,1602713451339681794,15356407,en,1602713451339681794,2022-12-13T17:13:58.000Z,"Please join me in celebrating the birthday of the @USNationalGuard. On this day in 1636, the National Guard was established. Since that day, they have always remained ready to serve our nation in our greatest times of need.

Thank you for 386 years of service! https://t.co/bU9JMVAhuw",False,1602713451339681794,2,1,1,0
RobWittman,Rep. Rob Wittman,1600976000258813954,15356407,en,1600976000258813954,2022-12-08T22:09:57.000Z,"Today's imbalanced prisoner swap with Russia, while a U.S. Marine remains in custody, is another example of this Administration's inept diplomatic maneuvering with our nation's adversaries. 

Now more than ever, the U.S. must portray strength and stability on the world stage.",False,1600976000258813954,3,30,30,1
RobWittman,Rep. Rob Wittman,1600971876146171905,15356407,en,1600971876146171905,2022-12-08T21:53:34.000Z,"Today, I proudly voted in support of the House passage of the FY23 NDAA - a critical piece of legislation for our national security. 

I am proud of the bipartisan effort on this bill, and I look forward to further advocating for it to become law. 
https://t.co/Q3cjC9jkXk",False,1600971876146171905,2,8,8,0
RobWittman,Rep. Rob Wittman,1600911141999644673,15356407,en,1600911141999644673,2022-12-08T17:52:14.000Z,"I'm pleased to support the final passage of the FY23 NDAA. The annual NDAA is essential to advancing the national security of the United States. The NDAA also rescinds the COVID-19 vaccine mandate that has damaged military readiness.
 
Check out my floor remarks below.⬇️ https://t.co/drBWIcywjG",False,1600911141999644673,1,8,8,0
RobWittman,Rep. Rob Wittman,1599473417614684160,15356407,en,1599473417614684160,2022-12-04T18:39:14.000Z,"Glad to join @EricShawnTV on Fox News yesterday to discuss the @usairforce’s new B-21 bomber.

This aircraft has some of the most advanced capabilities in the history of mankind. It is an essential leap into the future for our national defense. 

Check out the interview below.⬇️ https://t.co/uJolShU207",False,1599473417614684160,1,5,5,1
RobWittman,Rep. Rob Wittman,1599128156237008896,15356407,en,1599128156237008896,2022-12-03T19:47:17.000Z,"Be sure to tune in to @ReaganInstitute's #RNDF today at 2:50pm PT where I will join @GenCQBrownJr, @DoDCTO Heidi Shyu, @BoeingDefense's Ted Colbert, &amp; @Google's Karen Dahut to discuss invigorating the innovation ecosystem and competing in the 21st century. https://t.co/5KNl1wKXlp",False,1599128156237008896,1,6,6,1
RobWittman,Rep. Rob Wittman,1598079299369996288,15356407,en,1598079299369996288,2022-11-30T22:19:30.000Z,"We cannot afford another year of apathy. We need: 
- Nuclear triad modernization 
- A 30 year shipbuilding plan that grows the U.S. Navy 
- A plan to accelerate modernization efforts across DOD
https://t.co/07ydTqJQsS",False,1598079295163072512,2,3,3,2
RobWittman,Rep. Rob Wittman,1598079297390247936,15356407,en,1598079297390247936,2022-11-30T22:19:30.000Z,The report also affirmed that China “continued to enhance its readiness to prevent Taiwan independence and execute an invasion.”,False,1598079295163072512,2,3,3,2
RobWittman,Rep. Rob Wittman,1598079295163072512,15356407,en,1598079295163072512,2022-11-30T22:19:29.000Z,"DoD’s Annual China Power Report finds that by 2035, China will:
- Expand its nuclear warhead stockpile from around 400 to 1,500
- Grow its fleet from 340 to 440 ships
- “basically complete the modernization of its national defense”
https://t.co/pksXWkELPz",False,1598079295163072512,1,7,7,2
RobWittman,Rep. Rob Wittman,1598042002557636608,15356407,en,1598042002557636608,2022-11-30T19:51:18.000Z,"Yesterday, I joined @BobbyScott and the Virginia Delegation on the House Floor in leading a moment of silence to honor our friend, Rep. Donald McEachin.
 
Donald was an incredible leader, colleague, and friend. He will be greatly missed. https://t.co/BnYTW3UTj0",False,1598042002557636608,11,2,2,0
RobWittman,Rep. Rob Wittman,1597594827696541697,15356407,en,1597594827696541697,2022-11-29T14:14:23.000Z,"Congressman Donald McEachin was an incredible leader, colleague and friend. I was fortunate to work with him for many years and to witness his integrity, leadership and public service. 
 
Kathryn and I are praying for his family and loved ones as they mourn this incredible loss.",False,1597594827696541697,40,19,19,6
RobWittman,Rep. Rob Wittman,1595802113422069760,15356407,en,1595802113422069760,2022-11-24T15:30:47.000Z,"Today, we gather with family and friends to give thanks and reflect on all that we have to be grateful for. 

I wish you all a happy and blessed Thanksgiving. 

May God Bless you, your loved ones, and our great nation. https://t.co/fjxD0JP1PH",False,1595802113422069760,0,3,3,0
RobWittman,Rep. Rob Wittman,1595102374108237824,15356407,en,1595102374108237824,2022-11-22T17:10:16.000Z,"I encourage Virginians to review the maps to ensure that their home and businesses are accurately represented so that the federal government can effectively connect those unserved or underserved.
https://t.co/2CS4KpoPDT",False,1595102371302211584,0,2,2,1
RobWittman,Rep. Rob Wittman,1595102372602281984,15356407,en,1595102372602281984,2022-11-22T17:10:15.000Z,"Last Congress, I cosponsored the Broadband DATA Act, which required the FCC to create maps w/ increased granularity and created a process for consumers and other stakeholders to challenge the accuracy of the broadband maps.",False,1595102371302211584,0,3,3,0
RobWittman,Rep. Rob Wittman,1595102371302211584,15356407,en,1595102371302211584,2022-11-22T17:10:15.000Z,The FCC released drafts of new broadband coverage maps that show where broadband currently exists in the U.S. and where it does not. Many places in VA still do not have access to these services. These maps will be used to allocate future funding.,False,1595102371302211584,1,6,6,0
RobWittman,Rep. Rob Wittman,1592982773899628551,15356407,en,1592982773899628551,2022-11-16T20:47:44.000Z,"Congratulations to @NASA and the @NASA_Langley team for their contributions in the successful Artemis I launch. This is a historic moment for our nation, and I'm excited to see how this will drive our future space explorations. https://t.co/GCIfYp0Rg5",False,1592982773899628551,3,3,3,0
RobWittman,Rep. Rob Wittman,1591093763287359489,15356407,en,1591093763287359489,2022-11-11T15:41:28.000Z,"Today, we honor the brave men and women of our Armed Forces who answered the call to serve our nation and protect our freedoms. No matter the challenge, our servicemembers put their country first, and for that, we are forever indebted.

Happy Veterans Day! https://t.co/Rsy2ob0PUl",False,1591093763287359489,6,25,25,3
RobWittman,Rep. Rob Wittman,1590751241243865090,15356407,en,1590751241243865090,2022-11-10T17:00:25.000Z,Happy 247th birthday to the U.S. Marine Corps! Thank you to all the brave men and women of the @USMC whose selflessness and bravery have protected our nation’s freedoms without fail. https://t.co/NmQKqYLSmg,False,1590751241243865090,3,6,6,0
RobWittman,Rep. Rob Wittman,1583134286143553541,15356407,en,1583134286143553541,2022-10-20T16:33:21.000Z,"Biden will now release even more oil from our SPR in an attempt to drop gas prices. This is not a legitimate solution to our nation's energy crisis.

We should be unleashing U.S. energy production, not draining a critical resource that's used in the event of national emergencies.",False,1583134286143553541,4,50,50,3
RobWittman,Rep. Rob Wittman,1580602968809693188,15356407,en,1580602968809693188,2022-10-13T16:54:48.000Z,"Happy birthday to the @USNavy!

Thank you to all of our brave sailors who have protected our nation and our freedoms for 247 years. We are forever grateful for your service. https://t.co/TUDs8W5K9p",False,1580602968809693188,1,17,17,0
RobWittman,Rep. Rob Wittman,1580346306731835392,15356407,en,1580346306731835392,2022-10-12T23:54:55.000Z,"China has an economy to rival our own, and it’s building a military to do the same. 

This administration’s continued focus on international challenges that China has co-opted like climate change undermines the urgency we must act with to advance the interests of Americans.",False,1580346304072658946,3,23,23,2
RobWittman,Rep. Rob Wittman,1580346304072658946,15356407,en,1580346304072658946,2022-10-12T23:54:54.000Z,"America deserves better than late work done poorly. 

The National Security Strategy underscores the Biden administration’s myopic inability to prioritize our nation’s true security objectives.",False,1580346304072658946,5,33,33,0
RobWittman,Rep. Rob Wittman,1580306051747835904,15356407,en,1580306051747835904,2022-10-12T21:14:58.000Z,"Today, on #NationalFarmersDay, we recognize and appreciate all that Virginia's farmers have done to keep the world fueled, fed, and clothed. 

Your commitment to our communities is inspiring, and we are grateful for all that you do. https://t.co/M4550SZsJD",False,1580306051747835904,6,10,10,0
RobWittman,Rep. Rob Wittman,1575920912821800962,15356407,en,1575920912821800962,2022-09-30T18:49:59.000Z,"I’m encouraged by the emphasis this legislation placed on modernizing these programs. Still, the work doesn't end here. My piece in @defense_news  sets an agenda for Congress to further streamline these vehicles to accelerate @DeptofDefense 's adoption of advanced technologies.",False,1575920911169261569,0,9,9,0
RobWittman,Rep. Rob Wittman,1575920911169261569,15356407,en,1575920911169261569,2022-09-30T18:49:59.000Z,This is crucial legislation. The SBIR/STTR reauthorization provides urgently needed stability for small businesses that are a key part of the defense innovation ecosystem. https://t.co/RGjUPcwSlR,False,1575920911169261569,1,14,14,0
RobWittman,Rep. Rob Wittman,1575840590893301761,15356407,en,1575840590893301761,2022-09-30T13:30:49.000Z,"Congress must ensure that our warfighters gain the most value possible from a modernized Public-Private Partnership that scales innovative technologies to meet 21st-century challenges.

Read more in my recent piece below. ⬇️https://t.co/aKjO0vYiuf",False,1575840590893301761,4,6,6,1
RobWittman,Rep. Rob Wittman,1574214086128173057,15356407,en,1574214086128173057,2022-09-26T01:47:40.000Z,Wishing a happy and blessed Rosh Hashanah to those who celebrate! https://t.co/F6NyryhcBm,False,1574214086128173057,2,3,3,0
RobWittman,Rep. Rob Wittman,1573709794208268288,15356407,en,1573709794208268288,2022-09-24T16:23:47.000Z,"Hardworking Americans deserve an economy that sets them up for success. This means —

🇺🇸Fighting inflation &amp; lowering the cost of living
🇺🇸Securing American energy independence
🇺🇸Strengthening our supply chain &amp; ending our dependence on China

This is our #CommitmentToAmerica",False,1573709794208268288,12,23,23,2
RobWittman,Rep. Rob Wittman,1570778426495340545,15356407,en,1570778426495340545,2022-09-16T14:15:35.000Z,"Today, we honor our brave servicemembers who were prisoners of war and those who are recorded as missing in action while defending freedom throughout the world.

We will never forget the sacrifices you made for our nation. https://t.co/BoxgZTeMll",False,1570778426495340545,6,10,10,1
RobWittman,Rep. Rob Wittman,1569769035830525953,15356407,en,1569769035830525953,2022-09-13T19:24:37.000Z,"Today’s CPI report is concerning. The prices on everyday goods continue to rise while Americans’ wages decrease, but Biden &amp; House Dems continue w/ their out-of-control spending agenda.

We must get government spending under control &amp; find real solutions to this economic crisis.",False,1569769035830525953,4,20,20,1
RobWittman,Rep. Rob Wittman,1568986791830593537,15356407,en,1568986791830593537,2022-09-11T15:36:16.000Z,"21 years ago, we witnessed one of the most devastating attacks on our nation. Yet, in the face of darkness, our nation rose above all &amp; became stronger.

Let us pause in remembrance of those we’ve lost &amp; pray for our friends, families, &amp; neighbors whose lives changed forever. https://t.co/DfzEjDxJND",False,1568986791830593537,13,9,9,2
RobWittman,Rep. Rob Wittman,1568340108985655306,15356407,en,1568340108985655306,2022-09-09T20:46:34.000Z,I had the opportunity to stop by Susie’s Little Bake Shop in Mechanicsville to learn about their business operations and try some of the delicious baked goods they offer. Thank you for letting me stop by! https://t.co/i4gZIEy33m,False,1568340108985655306,3,1,1,1
RobWittman,Rep. Rob Wittman,1568301310352523266,15356407,en,1568301310352523266,2022-09-09T18:12:24.000Z,Great to see folks at Copy Cat Printing in Mechanicsville yesterday and learn more about what else Members of Congress can do to continue to support our nation's small businesses. Thank you for having me! https://t.co/I4SXcTkz6b,False,1568301310352523266,1,2,2,1
RobWittman,Rep. Rob Wittman,1567929992499044355,15356407,en,1567929992499044355,2022-09-08T17:36:55.000Z,"I’m deeply saddened to hear about the passing of Queen Elizabeth II. She was an exceptional leader and an inspiration to many, and she will be greatly missed.

My thoughts and prayers are with her family and loved ones during this difficult time.",False,1567929992499044355,6,1,1,0
RobWittman,Rep. Rob Wittman,1567927218130636800,15356407,en,1567927218130636800,2022-09-08T17:25:54.000Z,"As an avid outdoorsman, it was great to visit with folks at @VCURiceRivers to learn more about using low-frequency electrofishing to protect our waters and wildlife from invasive species. Thank you for having me! https://t.co/vyC7V2nOCR",False,1567927218130636800,4,1,1,0
RobWittman,Rep. Rob Wittman,1567319726786838529,15356407,en,1567319726786838529,2022-09-07T01:11:56.000Z,RT @WarOnTheRocks: Congressman @RobWittman of the House Armed Services Committee shares some congressional priorities for the next defense…,False,1567319726786838529,3,0,0,0
RobWittman,Rep. Rob Wittman,1565786902250373128,15356407,en,1565786902250373128,2022-09-02T19:41:03.000Z,"It's not the time for divisive rhetoric. We must be focused on getting our nation back on track by reining in runaway spending and bringing down inflation, securing our border, and ensuring our military has the tools they need to deter China and other foreign adversaries.",False,1565786901113610248,2,19,19,1
RobWittman,Rep. Rob Wittman,1565786901113610248,15356407,en,1565786901113610248,2022-09-02T19:41:02.000Z,"President Biden had the opportunity to unify Americans last night as our nation currently faces many unprecedented circumstances.

Instead, he decided to pit American against American.",False,1565786901113610248,6,56,56,5
