handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RodneyDavis,US Rep Rodney Davis,1601605356974923782,993153006,en,1601605356974923782,2022-12-10T15:50:48.000Z,Just awful news. Scott Bennett was a good man and respected by all who knew him. He truly cared about his community and our state. My heart breaks for his wife and children. Shannon and I are praying for them and the entire Bennett family. https://t.co/3R8WCnlSKi,False,1601605356974923782,0,1,1,0
RodneyDavis,US Rep Rodney Davis,1597667469614686210,993153006,en,1597667469614686210,2022-11-29T19:03:02.000Z,"Sad to hear of the passing of my friend and colleague, @RepMcEachin. Cancer is a terrible disease. Donald's fight against it is an inspiration to all who have to go through it. Shannon and I are praying for the entire McEachin family and also his Congressional staff. https://t.co/NaQwkrumE7",False,1597667469614686210,0,7,7,0
RodneyDavis,US Rep Rodney Davis,1597400841740517378,993153006,en,1597400841740517378,2022-11-29T01:23:33.000Z,"Kids, you shouldn’t gamble. I bet my buddy @pkcapitol and now have to wear this goofy hat. Go Braves…next year! https://t.co/mkuiORnsVb",False,1597400841740517378,0,3,3,0
RodneyDavis,US Rep Rodney Davis,1591253761624002560,993153006,en,1591253761624002560,2022-11-12T02:17:15.000Z,"RT @HouseGOP: This Veterans day, we honor all the men and women who answered the call to serve in our armed forces. 

We owe an immeasurabl…",False,1591253761624002560,168,0,0,0
RodneyDavis,US Rep Rodney Davis,1589814019774615552,993153006,en,1589814019774615552,2022-11-08T02:56:14.000Z,I'll be participating in @KMOV's election night political panel tomorrow evening to discuss the 2022 General Election. Tune in if you are interested! https://t.co/2ofSb1QnE7,False,1589814019774615552,1,18,18,0
RodneyDavis,US Rep Rodney Davis,1586044726121156608,993153006,en,1586044726121156608,2022-10-28T17:18:24.000Z,"An attack on any member's family is an attack on all of Congress. Shannon and I are praying for a speedy recovery for Paul and comfort for the Pelosi family.

It's incumbent upon all of us to condemn this attack and do everything we can to end all politically-motivated violence.",False,1586044726121156608,7,24,24,1
RodneyDavis,US Rep Rodney Davis,1583200104273494016,993153006,en,1583200104273494016,2022-10-20T20:54:53.000Z,"You can learn more about our office's FY22 Community Project Funding requests, all of which were successfully awarded, by visiting: https://t.co/5rNlqI3t7S.",False,1583200098699268096,2,0,0,0
RodneyDavis,US Rep Rodney Davis,1583200098699268096,993153006,en,1583200098699268096,2022-10-20T20:54:52.000Z,"Yesterday we visited Blue Mound, Assumption, Nokomis, and Carrollton to highlight Community Project Funding grants our office requested. These grants will bring our tax dollars back home to help these communities improve their water treatment services for local families. https://t.co/UWuh0PKxpK",False,1583200098699268096,3,6,6,0
RodneyDavis,US Rep Rodney Davis,1583177073929383936,993153006,en,1583177073929383936,2022-10-20T19:23:23.000Z,RT @HouseGOP: “The Strategic Petroleum Reserve was created for a time of emergency—this is a political emergency to the Democrats. That is…,False,1583177073929383936,204,0,0,0
RodneyDavis,US Rep Rodney Davis,1580261412412174336,993153006,en,1580261412412174336,2022-10-12T18:17:35.000Z,"Please pray for a speedy recovery for the officers and their families. Particularly in times like these, we should stand with the law enforcement community because they put their own safety on the line to keep us all safe.",False,1580261409304113152,0,0,0,0
RodneyDavis,US Rep Rodney Davis,1580261409304113152,993153006,en,1580261409304113152,2022-10-12T18:17:34.000Z,I spoke with Mayor Moore-Wolfe this morning to get an update on the condition of the two injured Decatur officers. I'm glad to hear the officers are in stable condition. This tragic shooting shows the dangers our brave men and women in law enforcement face every day. https://t.co/sLEBE0NAoD,False,1580261409304113152,2,3,3,0
RodneyDavis,US Rep Rodney Davis,1575895614646521856,993153006,en,1575895614646521856,2022-09-30T17:09:27.000Z,"Thank you to @CongressmanGT, @RepNewhouse, @RepChuck, @RepPeteStauber, @cathymcmorris, @RepDavidValadao, @RepMikeJohnson, @RepRickAllen, @CongPalazzo, and @RepClayHiggins for signing! https://t.co/GjZZZdEGtD",False,1575895614646521856,3,8,8,0
RodneyDavis,US Rep Rodney Davis,1575894915099287555,993153006,en,1575894915099287555,2022-09-30T17:06:41.000Z,Thank you to @RepAnnieKuster and @USRepKeating for being our first bipartisan signers! https://t.co/GjZZZdE8E5,False,1575894915099287555,2,3,3,0
RodneyDavis,US Rep Rodney Davis,1575871699261992962,993153006,en,1575871699261992962,2022-09-30T15:34:26.000Z,"This morning I filed a discharge petition with @RepGarretGraves &amp; @RepJuliaLetlow to force a vote on our Social Security Fairness Act. Police officers, firefighters, &amp; other public servants deserve relief from unfair provisions in the Social Security code. https://t.co/XGeYJukshF",False,1575871699261992962,27,18,18,6
RodneyDavis,US Rep Rodney Davis,1575633364517650432,993153006,en,1575633364517650432,2022-09-29T23:47:22.000Z,"Enjoyed meeting up with @ILSoybean earlier this week. I'm proud to receive their ""Legislator of the Year"" award for our work on behalf of soybean growers. Ag is critically important to the #IL13 economy &amp; rural America. It's an honor to represent farmers &amp; producers in Congress. https://t.co/XCOGq9bigS",False,1575633364517650432,1,8,8,1
RodneyDavis,US Rep Rodney Davis,1574863718877483011,993153006,en,1574863718877483011,2022-09-27T20:49:04.000Z,"I'm proud to support Federally Qualified Health Centers like Chestnut. They are vital to providing health care to residents in our communities. Special thanks to Dave, Puneet, and Lori at Chestnut for hosting.",False,1574863714590855169,0,0,0,0
RodneyDavis,US Rep Rodney Davis,1574863714590855169,993153006,en,1574863714590855169,2022-09-27T20:49:03.000Z,This morning I visited the B-N area to highlight Community Project Funding our office requested for @ChestnutHealth's Family Health Center. The funding Chestnut's Family Health Center is receiving will assist them in construction and renovation of their dental clinic. https://t.co/KE61nIuQR8,False,1574863714590855169,5,7,7,0
RodneyDavis,US Rep Rodney Davis,1574416351791308801,993153006,en,1574416351791308801,2022-09-26T15:11:24.000Z,"RT @HouseAdmnGOP: Today, on  National Law Enforcement Suicide Awareness Day, we recognize the service of officers lost to suicide.  

You a…",False,1574416351791308801,1,0,0,0
RodneyDavis,US Rep Rodney Davis,1572964189764976640,993153006,en,1572964189764976640,2022-09-22T15:01:01.000Z,"RT @juliegraceb: .@RodneyDavis, @jbletlow and @RepGarretGraves are leading the efforts on filing a discharge petition for the Social Securi…",False,1572964189764976640,56,0,0,0
RodneyDavis,US Rep Rodney Davis,1572652561882284032,993153006,en,1572652561882284032,2022-09-21T18:22:43.000Z,"RT @RepJuliaLetlow: This morning, I went to the House floor to express the disappointment and frustration of thousands of my constituents a…",False,1572652561882284032,86,0,0,0
RodneyDavis,US Rep Rodney Davis,1572344372573650945,993153006,en,1572344372573650945,2022-09-20T21:58:05.000Z,I’ll continue to push for a vote on our common-sense bill and remind the public that Dem leadership has it in their power to allow a vote at any time. The millions of public service workers across this country who are being unfairly punished by the Social Security Act deserve it.,False,1572344369566593024,32,7,7,1
RodneyDavis,US Rep Rodney Davis,1572344371139301378,993153006,en,1572344371139301378,2022-09-20T21:58:05.000Z,"The leadership of the Democrat Majority can spend trillions of $ on their pet projects and political agenda, yet they have so far refused to even allow a vote on restoring Social Security benefits for public service workers like police officers and firefighters. That’s shameful.",False,1572344369566593024,33,6,6,1
