handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RonWyden,Ron Wyden,1601344125550612480,250188760,en,1601344125550612480,2022-12-09T22:32:45.000Z,"Heard from the great folks at @AmpereComputing here in Portland about ways Oregon can lead nationally in chip research and development. I will continue to pursue policies that enable the research, design and manufacturing of advanced semiconductors right here at home. https://t.co/oy2wfyqoYC",False,1601344125550612480,11,2,2,0
RonWyden,Ron Wyden,1601325119661838336,250188760,en,1601325119661838336,2022-12-09T21:17:14.000Z,"Proud to stand at the @oregonfoodbank today in Portland with this all-star team of advocates working on a full menu of proven strategies like child nutrition investments, an enhanced child tax credit &amp; more to fight poverty &amp; hunger. https://t.co/HM7zdJguap",False,1601325119661838336,10,4,4,1
RonWyden,Ron Wyden,1601274471952060418,250188760,en,1601274471952060418,2022-12-09T17:55:59.000Z,Happy to see @uoregon’s Ballmer Institute approved for a four-year degree program to train child mental and behavioral health specialists. This is a big step in the important work to get young Oregonians the mental health services they need. https://t.co/cbONF4RB9x,False,1601274471952060418,22,8,8,3
RonWyden,Ron Wyden,1600945678968324097,250188760,en,1600945678968324097,2022-12-08T20:09:28.000Z,"While Americans continue to get mugged at the pharmacy counter, Big Pharma is raking in record profits and failing to pay its fair share. Today, I’m continuing my investigation into whether @Amgen is dodging billions in taxes in Puerto Rico. https://t.co/wyQYCinxDu",False,1600945678968324097,27,15,15,0
RonWyden,Ron Wyden,1600924050834223104,250188760,en,1600924050834223104,2022-12-08T18:43:32.000Z,This is good news. I’m proud to have worked on a bipartisan basis to increase price transparency and level the playing field for ranchers in Oregon and nationwide. https://t.co/TokwFQVEsq,False,1600924050834223104,12,10,10,0
RonWyden,Ron Wyden,1600882349503582208,250188760,en,1600882349503582208,2022-12-08T15:57:49.000Z,"Gaming companies have a responsibility to curb antisemitism and hate on their platforms. Thanks to @ADL for spotlighting this disturbing virtual trend, which has dangerous real life consequences. https://t.co/Va3oxQDGXX",False,1600882349503582208,21,17,17,1
RonWyden,Ron Wyden,1600630737476399104,250188760,en,1600630737476399104,2022-12-07T23:18:00.000Z,"For years, I've been pushing Twitter to encrypt users' DMs. It's unconscionable that users still can't trust the safety of their private messages. I will continue pushing companies like Twitter to encrypt user data. https://t.co/uIFtDvLlBf",False,1600630737476399104,13,13,13,1
RonWyden,Ron Wyden,1600619267200020480,250188760,en,1600619267200020480,2022-12-07T22:32:26.000Z,"Back in May, I pressed Tim Cook to encrypt iCloud and make all of us safer from predators and foreign governments. Encrypting files is especially important in post-Roe America to protect women from prosecution if they seek out abortion care. I’m glad he listened. https://t.co/IFHNYnAdKX",False,1600619267200020480,55,13,13,2
RonWyden,Ron Wyden,1600598061834973184,250188760,en,1600598061834973184,2022-12-07T21:08:10.000Z,The American people deserve to know if Jared Kushner corruptly allowed his personal business ties to influence U.S. policy during his time at the White House. Today @RepMaloney and I are ramping up our investigation to get answers. https://t.co/WcUnJ901g7,False,1600598061834973184,1451,192,192,64
RonWyden,Ron Wyden,1600287641924415488,250188760,en,1600287641924415488,2022-12-07T00:34:40.000Z,"My landmark bill to protect Oregon's waterways is called the River Democracy Act for a reason: Oregonians are the driving force behind this legislation. Today, I'm releasing a fresh draft of my bill to safeguard more than 3200 miles of rivers and streams across Oregon. https://t.co/Trgq1LUExY",False,1600287641924415488,92,52,52,4
