handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RoyBlunt,Senator Roy Blunt,1600965866333802496,21269970,en,1600965866333802496,2022-12-08T21:29:41.000Z,"I appreciate the comments from my good friend from Maryland, @LeaderHoyer. We often didn’t vote the same way but when something had to get done we almost always did vote the same way. I thank my friend Steny for his service to our country. And with that, I yield the Floor. https://t.co/q7AfxpJRHS",False,1600965866333802496,7,12,12,0
RoyBlunt,Senator Roy Blunt,1600616393845653504,21269970,en,1600616393845653504,2022-12-07T22:21:00.000Z,"RT @GreaterSTLinc: “What we do here is more important than who we are.” — Senator Roy Blunt 
 
Congratulations @RoyBlunt on a remarkable ca…",False,1600616393845653504,2,0,0,0
RoyBlunt,Senator Roy Blunt,1600260322211745792,21269970,en,1600260322211745792,2022-12-06T22:46:06.000Z,"Today, I delivered my farewell address on the Senate floor. Thank you to Missouri for allowing me to work for you, it’s been an honor. https://t.co/vg4vzQxrvc",False,1600260322211745792,15,64,64,17
RoyBlunt,Senator Roy Blunt,1597590426919534593,21269970,en,1597590426919534593,2022-11-29T13:56:54.000Z,"Happening soon – I’ll be speaking with @APalmerDC about news of the day, electoral reform, and more. Tune in here ⤵️
https://t.co/e7uxHNI3WE",False,1597590426919534593,4,88,88,2
RoyBlunt,Senator Roy Blunt,1595790451860045824,21269970,en,1595790451860045824,2022-11-24T14:44:26.000Z,Wishing you and your family a happy Thanksgiving! And thank you to our service members here and stationed overseas who are spending the holiday away from home. https://t.co/SuLe5DPdSY,False,1595790451860045824,11,64,64,2
RoyBlunt,Senator Roy Blunt,1595068170775457793,21269970,en,1595068170775457793,2022-11-22T14:54:21.000Z,Democracy is best defined by advocating for what you believe and finding the place where compromise moves the country forward. No one understands that better than Congressman Steny Hoyer.,False,1595068167050919936,1,14,14,0
RoyBlunt,Senator Roy Blunt,1595068168967708672,21269970,en,1595068168967708672,2022-11-22T14:54:21.000Z,"During the almost 10 years we served together as the Republican &amp; Democratic Whips in the House, we often didn’t vote the same way, but when something had to get done we almost always did vote the same way. Steny has always understood that doing the best you can is a good thing.",False,1595068167050919936,2,7,7,1
RoyBlunt,Senator Roy Blunt,1595068167050919936,21269970,en,1595068167050919936,2022-11-22T14:54:20.000Z,"An editorial in today’s Washington Post referred to House Majority Leader Steny Hoyer as a ‘beloved, admired giant on Capitol Hill.’ I couldn’t agree more.",False,1595068167050919936,5,22,22,2
RoyBlunt,Senator Roy Blunt,1593657655402397699,21269970,en,1593657655402397699,2022-11-18T17:29:28.000Z,RT @AmbassadorGreen: Honored to moderate a conversation @TheWilsonCenter with Senator @RoyBlunt on important national security matters conc…,False,1593657655402397699,2,0,0,0
RoyBlunt,Senator Roy Blunt,1591069793972781056,21269970,en,1591069793972781056,2022-11-11T14:06:14.000Z,We owe our freedom and safety to the brave men and women who answered the call to serve. Thank you to our veterans in Missouri and across the country for your courage and your sacrifice. https://t.co/fVnxuuWtj0,False,1591069793972781056,5,43,43,4
RoyBlunt,Senator Roy Blunt,1587467228974309382,21269970,en,1587467228974309382,2022-11-01T15:30:55.000Z,"I will continue working to make the NMTC program permanent, creating more opportunities and improving the quality of life in underserved areas.",False,1587467225039966209,2,9,9,1
RoyBlunt,Senator Roy Blunt,1587467227124666368,21269970,en,1587467227124666368,2022-11-01T15:30:55.000Z,"The NMTC program drives investment in areas that need it most. In MO, the more than 500 projects that have benefited from the NMTC program include everything from after school programs &amp; affordable housing to research hubs &amp; small businesses.",False,1587467225039966209,3,6,6,0
RoyBlunt,Senator Roy Blunt,1587467225039966209,21269970,en,1587467225039966209,2022-11-01T15:30:54.000Z,Great news – Missouri received $290 million in the latest round of New Markets Tax Credit allocations: https://t.co/IDjRyqhdcV,False,1587467225039966209,3,26,26,3
