handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RudyYakym,Rudy Yakym,1604321616451739649,1559946724986306561,en,1604321616451739649,2022-12-18T03:44:14.000Z,I had a wonderful time at the LaPorte County GOP’s annual Christmas Party. It was great to see so many friends tonight. https://t.co/TBxD7BI49c,False,1604321616451739649,0,4,4,0
RudyYakym,Rudy Yakym,1601705267569336320,1559946724986306561,en,1601705267569336320,2022-12-10T22:27:48.000Z,It was great to be able to speak at the St. Joseph County Republican Women’s Christmas Luncheon today.  I am so grateful for their support and friendship. https://t.co/1pRX0iqSbK,False,1601705267569336320,0,1,1,0
RudyYakym,Rudy Yakym,1595901453943570433,1559946724986306561,en,1595901453943570433,2022-11-24T22:05:31.000Z,"We extend our deepest appreciation to members of the U.S. military and first responders, particularly those who are unable to be with their loved ones. Thank you for your service!",False,1595901347014086664,0,0,0,0
RudyYakym,Rudy Yakym,1595901347014086664,1559946724986306561,en,1595901347014086664,2022-11-24T22:05:06.000Z,Happy Thanksgiving from our family to yours! Our family is grateful for this year's blessings and I look forward to representing Hoosiers in Washington. https://t.co/prWxalwUFk,False,1595901347014086664,0,3,3,2
RudyYakym,Rudy Yakym,1591050555698253824,1559946724986306561,en,1591050555698253824,2022-11-11T12:49:47.000Z,We honor and remember all who served to advance the freedoms and liberties we value in the United States.  Thank you for your service today and always! https://t.co/CMIvwcS7PN,False,1591050555698253824,0,16,16,0
RudyYakym,Rudy Yakym,1590171555635470336,1559946724986306561,en,1590171555635470336,2022-11-09T02:36:57.000Z,I am humbled and honored to be the 2nd District’s next representative and look forward to delivering meaningful results for Hoosiers. Thank you! https://t.co/Px7dIfvWwX,False,1590171555635470336,10,22,22,0
RudyYakym,Rudy Yakym,1585491781252272133,1559946724986306561,en,1585491781252272133,2022-10-27T04:41:12.000Z,"ENDORSEMENT ALERT
I am humbled to have the endorsement of @ToddYoungIN as our campaign continues to grow a broad coalition of support from Hoosiers. https://t.co/ekCOCagAg4",False,1585491781252272133,4,30,30,2
RudyYakym,Rudy Yakym,1584952549580627968,1559946724986306561,en,1584952549580627968,2022-10-25T16:58:29.000Z,"I am honored to be endorsed by the NFIB and, if elected, look forward to collaborating with their team to cut red tape, balance the budget, and support pro-business policies in Washington. https://t.co/8JRx85QHVY",False,1584952549580627968,2,10,10,0
RudyYakym,Rudy Yakym,1584583890324566016,1559946724986306561,en,1584583890324566016,2022-10-24T16:33:34.000Z,"Check out our new ad!

https://t.co/XvH0lWC6q6",False,1584583890324566016,1,7,7,0
RudyYakym,Rudy Yakym,1580931420997922816,1559946724986306561,en,1580931420997922816,2022-10-14T14:39:57.000Z,"It was my pleasure to meet with Yinam Cohen, Consul General of Israel to the Midwest. In Congress, I will be a champion for America’s greatest ally. https://t.co/UvdmEOjLTD",False,1580931420997922816,4,2,2,0
RudyYakym,Rudy Yakym,1577376472385339392,1559946724986306561,en,1577376472385339392,2022-10-04T19:13:51.000Z,"Check out our new television ad, titled ""800,000 Gallons."" I'm running to put an end to the policies of Joe Biden and Nancy Pelosi that continue to place politics over people.

https://t.co/bVNHDVniR8",False,1577376472385339392,2,8,8,2
RudyYakym,Rudy Yakym,1574440331155759106,1559946724986306561,en,1574440331155759106,2022-09-26T16:46:41.000Z,"Wishing my Jewish friends peace, prosperity, and good health as they celebrate Rosh Hashanah!",False,1574440331155759106,1,0,0,0
RudyYakym,Rudy Yakym,1572240158308573184,1559946724986306561,en,1572240158308573184,2022-09-20T15:03:59.000Z,"Watch our 1st television ad that will start airing today, called “Jackie.”  Hoosier families are hurting under the Biden-Pelosi agenda, and I’m running to bring Jackie’s fighting spirit back to DC to deliver results. 

https://t.co/KueJXGFGqn",False,1572240158308573184,3,16,16,3
RudyYakym,Rudy Yakym,1571906713778851850,1559946724986306561,en,1571906713778851850,2022-09-19T16:58:59.000Z,"ENDORSEMENT ALERT
Thank you to the Indiana Farm Bureau for your vote of confidence in our campaign. We are honored to have your endorsement and support. As your next Congressman in the 2nd District, I will always fight for our farmers. https://t.co/dN2wb7sOQD",False,1571906713778851850,0,3,3,0
RudyYakym,Rudy Yakym,1568639046552899585,1559946724986306561,en,1568639046552899585,2022-09-10T16:34:27.000Z,SHOUT OUT to our incredible supporters for joining us for an amazing campaign kick off event and the grand opening of our campaign headquarters! Thank you Representative Dale DeVon for your kind words. https://t.co/NJ243VWPaa,False,1568639046552899585,4,2,2,0
RudyYakym,Rudy Yakym,1567564068797431810,1559946724986306561,en,1567564068797431810,2022-09-07T17:22:52.000Z,Thank you to the Miami County GOP for hosting us last night! Republicans across Indiana are energized and ready to WIN in November! https://t.co/8Jc3DVlt3E,False,1567564068797431810,1,1,1,0
RudyYakym,Rudy Yakym,1566800962165030915,1559946724986306561,en,1566800962165030915,2022-09-05T14:50:33.000Z,Today we acknowledge and celebrate the efforts and contributions of America's workers.  Happy Labor Day! https://t.co/GHiVOskrsQ,False,1566800962165030915,2,1,1,0
RudyYakym,Rudy Yakym,1559976735638265857,1559946724986306561,en,1559976735638265857,2022-08-17T18:53:31.000Z,"I'm honored to be endorsed by @AIPAC. In Congress, I will always stand with Israel. https://t.co/er5twIYg1r",False,1559976735638265857,5,6,6,3
RudyYakym,Rudy Yakym,1559965358408273922,1559946724986306561,en,1559965358408273922,2022-08-17T18:08:18.000Z,"I am running for Congress to carry the torch of @jackiewalorski and continue her legacy. As Indiana's next Congressman, I will bring Hoosier values and common sense to Washington. Join the fight at https://t.co/DAFP33gyYM!",False,1559965358408273922,13,10,10,1
