handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SanfordBishop,"Sanford Bishop, Jr.",1601332759494262785,249410485,en,1601332759494262785,2022-12-09T21:47:35.000Z,"I supported the passage of the FY23 NDAA and WRDA. This crucial legislation bolsters our national defense &amp; security, supports our military families and addresses environmental &amp; water management projects overseen by the Army Corps of Engineers. https://t.co/zs16mNEQYG",False,1601332759494262785,1,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1601291407922462720,249410485,en,1601291407922462720,2022-12-09T19:03:16.000Z,"I supported the Respect for Marriage Act, which was approved in the House by a vote of 258-169. The Constitution guarantees equal treatment under the law regardless of race, sex, or national origin and the Respect for Marriage Act affirms this right. https://t.co/1T2vJ5k0Mj",False,1601291407922462720,1,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1600945898787217408,249410485,en,1600945898787217408,2022-12-08T20:10:21.000Z,"I was elated to hear that famed women’s basketball player, Brittney Griner, has been freed from Russian custody and is on her way home.

I appreciate the continued work done by the Biden-Harris Administration to secure the release of all Americans wrongfully detained abroad.",False,1600945898787217408,3,3,3,0
SanfordBishop,"Sanford Bishop, Jr.",1600626205321007105,249410485,en,1600626205321007105,2022-12-07T23:00:00.000Z,"Today is the 81st commemoration of the surprise attack on Pearl Harbor where 2,403 Americans lost their lives. We solemnly remember those lost and how America resiliently responded with its allies to defeat the Axis Powers and win World War II.",False,1600626205321007105,1,1,1,1
SanfordBishop,"Sanford Bishop, Jr.",1598703185266294784,249410485,en,1598703185266294784,2022-12-02T15:38:36.000Z,"This week, I supported 4 bills to improve resources for America's veterans. I'm constantly hearing from vets about their evolving needs as our military has grown. These bills will improve and expand programs so that they better meet our veterans’ needs. https://t.co/o0mwPcZDr9",False,1598703185266294784,2,7,7,0
SanfordBishop,"Sanford Bishop, Jr.",1598456910612951042,249410485,en,1598456910612951042,2022-12-01T23:20:00.000Z,"Today, I joined @SecMartyWalsh &amp; several of my colleagues to welcome @DOLJobCorps students to Capitol Hill, including one of my constituents from Georgia. I'm a strong supporter of Job Corps &amp; will continue to advocate for this important program to ensure that it remains strong. https://t.co/BzcQTvEMRB",False,1598456910612951042,2,3,3,0
SanfordBishop,"Sanford Bishop, Jr.",1598308435665121280,249410485,en,1598308435665121280,2022-12-01T13:30:00.000Z,"Today, I supported legislation to avert a national rail shutdown and address employee sick leave. As we head into winter, the American people must be able to count on our railroads, which are vital arteries that connect people &amp; businesses with the goods &amp; products they need.",False,1598308435665121280,0,3,3,1
SanfordBishop,"Sanford Bishop, Jr.",1597727103679483904,249410485,en,1597727103679483904,2022-11-29T23:00:00.000Z,"#NativeAmericanHeritageMonth is a time to appreciate the long history of our country’s indigenous peoples. GA’s 2nd District is rich with Native American history as it is home to the Lower Muskogee Creek Tribe, the Ocmulgee Mounds National Park &amp; the Kolomoki State Park.",False,1597727103679483904,2,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1595786993518141444,249410485,en,1595786993518141444,2022-11-24T14:30:42.000Z,"Today, I'm thankful for our Service Members abroad. Thank you for your service and sacrifice. Happy Thanksgiving from the Bishops!",False,1595786993518141444,2,4,4,0
SanfordBishop,"Sanford Bishop, Jr.",1595146950839455744,249410485,en,1595146950839455744,2022-11-22T20:07:24.000Z,Have a question about food preparation and safety this Thanksgiving? USDA's Meat and Poultry Hotline is here to help! https://t.co/dkHTJGXkkV,False,1595146950839455744,2,2,2,0
SanfordBishop,"Sanford Bishop, Jr.",1594800062282059777,249410485,en,1594800062282059777,2022-11-21T21:08:59.000Z,The Federal Advisory Committee for Urban Ag &amp; Innovative Production is holding its final virtual meeting of the year for the public on November 29th from 3:00-5:00pm ET. Visit the link below to register and learn more. https://t.co/s9KvvSWqpG,False,1594800062282059777,0,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1593658522448719872,249410485,en,1593658522448719872,2022-11-18T17:32:55.000Z,"Yesterday, the House of Representatives voted to name the Department of Veterans Affairs medical center in Atlanta after the late former Senator Max Cleland. The bill was passed by a vote of 359-62 and now heads to the President for his signature. https://t.co/hhxeUOwvjd",False,1593658522448719872,1,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1593361398758785025,249410485,en,1593361398758785025,2022-11-17T21:52:15.000Z,"Today, the House passed S. 4359, a bill to name the Department of Veterans Affairs regional office in Atlanta after the late U.S. Senator, Johnny Isakson. The bill passed 418-2 and now goes to the President for his signature. https://t.co/W8NgFjc62E",False,1593361398758785025,4,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1593027671864537091,249410485,en,1593027671864537091,2022-11-16T23:46:08.000Z,"My wife, Vivian, and I extend our sincere condolences to his wife, Sheree, his children, his extended family, and all those who mourn his loss",False,1593027669872218112,0,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1593027669872218112,249410485,en,1593027669872218112,2022-11-16T23:46:08.000Z,"I was deeply saddened to learn of the death of Speaker David Ralston. As the presiding officer of the GA House, he demonstrated strong &amp; effective leadership. He was a dedicated public servant &amp; a champion for the people of GA. Our state is a better place because of his service.",False,1593027669872218112,7,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1592669313043156993,249410485,en,1592669313043156993,2022-11-16T00:02:09.000Z,"1 year ago, Congress passed the bipartisan Infrastructure Investment &amp; Jobs Act. It's supporting projects to improve transportation &amp; connect people with high-speed internet. These investments will be crucial to strengthen our supply chain and create good-paying jobs. #IIJA",False,1592669313043156993,3,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1592188287510540290,249410485,en,1592188287510540290,2022-11-14T16:10:43.000Z,"Attention all active duty, retired Service Members, and military family members: TRICARE’s open season for health care program enrollment begins today and will remain open until December 13th. Learn more about TRICARE here: https://t.co/oaZT5juUAI",False,1592188287510540290,3,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1591083328450441216,249410485,en,1591083328450441216,2022-11-11T15:00:01.000Z,"Happy Veterans Day! It is our duty to honor our veterans and provide them with the resources they need and have earned. We are all indebted to these courageous men, women, and their families who have sacrificed so much for our nation. #VeteransDay https://t.co/iEodg4E6wC",False,1591083328450441216,2,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1590751136323174400,249410485,en,1590751136323174400,2022-11-10T17:00:00.000Z,"Happy 247th Birthday to the United States Marine Corps! Marines are trained to defend our country, both on land and at sea. We are forever grateful for their sacrifice and legendary bravery on the battlefield. https://t.co/yS3PhG6PRu",False,1590751136323174400,2,2,2,0
SanfordBishop,"Sanford Bishop, Jr.",1590472451510923268,249410485,en,1590472451510923268,2022-11-09T22:32:36.000Z,Tropical Storm Nicole is rapidly approaching the southeastern US and may reach hurricane strength as it hits Florida. Southwest Georgia is expected to see its effects on Thursday evening. Check out my website to learn how you can prepare for a hurricane. https://t.co/kGUE3eR1zN,False,1590472451510923268,2,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1590064110850351106,249410485,en,1590064110850351106,2022-11-08T19:30:00.000Z,"Today is Election Day! If you haven't already voted, you can vote today. Remember, if you are line by 7pm, you will still be allowed to vote! Visit the GA Secretary of State webpage for Election Day info, including your polling location https://t.co/RzSyoeyYjY #Election2022",False,1590064110850351106,5,1,1,0
SanfordBishop,"Sanford Bishop, Jr.",1587815532417490947,249410485,en,1587815532417490947,2022-11-02T14:34:57.000Z,@AlbanyStateUniv received the Connecting Minority Communities federal grant totaling $2.9million to expand broadband &amp; IT. ASU will use this improved broadband infrastructure to train the next gen. of workers &amp; serve as an informational hub for the region. https://t.co/RvBUDwqUvT,False,1587815532417490947,0,0,0,0
SanfordBishop,"Sanford Bishop, Jr.",1587481082752126976,249410485,en,1587481082752126976,2022-11-01T16:25:58.000Z,"Open Enrollment begins today for the Affordable Care Act’s 2023 Insurance Marketplace. January 15, 2023 is the last day you can enroll in a 2023 health insurance plan. Check out https://t.co/lpvoNXoCXL to learn which option is best for you.",False,1587481082752126976,4,6,6,0
SanfordBishop,"Sanford Bishop, Jr.",1585768306149130247,249410485,en,1585768306149130247,2022-10-27T23:00:00.000Z,I was happy to join @USDARD Under Sec. Xochitl Torres Small at Pippin Orchards in Albany to announce a $250k Value-Added Producer Grant that will help them expand into new markets. I love highlighting how we can help our agribusinesses grow. https://t.co/wtS7TYotyR,False,1585768306149130247,3,6,6,0
SanfordBishop,"Sanford Bishop, Jr.",1585750084158906368,249410485,en,1585750084158906368,2022-10-27T21:47:36.000Z,"(2/2) Broadband access is crucial to so many aspects of our everyday lives, from how we get our news to how we keep in contact w/ loved ones &amp; doctors. I've worked hard in Congress to make sure we are getting resources to build out this crucial infrastructure for every community.",False,1585750082686971904,3,3,3,0
SanfordBishop,"Sanford Bishop, Jr.",1585750082686971904,249410485,en,1585750082686971904,2022-10-27T21:47:36.000Z,(1/2) Today @usdaRD Under Sec. Torres Small &amp; I announced a $36 million ReConnect Program loan to the Public Service Telephone Company based in Crawford Co. that will improve access to high-speed internet for several counties in Middle Georgia. https://t.co/PK3i633vPw,False,1585750082686971904,6,3,3,0
SanfordBishop,"Sanford Bishop, Jr.",1585745086897623041,249410485,en,1585745086897623041,2022-10-27T21:27:45.000Z,"I'm happy to announce that several GA02 schools are receiving $4 million in rebates to purchase clean school buses, thanks to the Bipartisan Infrastructure Law. Electric school buses can save school districts money and protect our kids from air pollution. https://t.co/gpiavT1WDs",False,1585745086897623041,7,3,3,2
SanfordBishop,"Sanford Bishop, Jr.",1585656283100839941,249410485,en,1585656283100839941,2022-10-27T15:34:52.000Z,"(2/2) There are Head Start partners in Middle &amp; SW GA, including @FVSU &amp; Macon-Bibb Opportunity Council, which have recently received grants of $6.5 million and $4 million from @HHSGov. These funds will go toward providing quality childcare services &amp; increased school readiness.",False,1585656281674792961,1,1,1,1
SanfordBishop,"Sanford Bishop, Jr.",1585656281674792961,249410485,en,1585656281674792961,2022-10-27T15:34:52.000Z,(1/2) October is #HeadStartAwarenessMonth! The first few years of life are crucial to shaping a child’s health and ability to learn in school &amp; Head Start programs help our kids get a strong footing in early development to prepare for the future.,False,1585656281674792961,3,2,2,1
