handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenBobCasey,Senator Bob Casey,1601289324821037057,171598736,en,1601289324821037057,2022-12-09T18:55:00.000Z,".@ARCgov funding will grow the Clarion County Connected broadband program to include 85 businesses and 1,620 unserved and underserved households. #PAMapSpotlight https://t.co/WNJSz08fV6 https://t.co/1SgdHUUKwC",False,1601289324821037057,4,0,0,0
SenBobCasey,Senator Bob Casey,1601270664589357056,171598736,en,1601270664589357056,2022-12-09T17:40:51.000Z,I was honored to join several state &amp; local leaders to open the new Sylvia H. Rambo U.S. Courthouse in Philadelphia this morning. Judge Rambo is a trailblazer who’s inspired generations of women lawyers &amp; I can think of no better tribute than naming this building in her honor. https://t.co/2rJTJzMZGQ,False,1601270664589357056,5,1,1,0
SenBobCasey,Senator Bob Casey,1601251073095778304,171598736,en,1601251073095778304,2022-12-09T16:23:00.000Z,"Seniors and people with disabilities deserve access to quality, affordable home care. Family caregivers deserve to get back to work. Home care workers deserve to earn living wages.

We need to pass my #BetterCareBetterJobs Act.",False,1601251073095778304,11,1,1,2
SenBobCasey,Senator Bob Casey,1601231732929286145,171598736,en,1601231732929286145,2022-12-09T15:06:09.000Z,No consumer should have to fear that products they use are unsafe. My Hide No Harm Act would hold corporations accountable for shielding information on faulty products from the public and protect workers who speak out from retaliation.,False,1601231732929286145,6,10,10,0
SenBobCasey,Senator Bob Casey,1600975383339630592,171598736,en,1600975383339630592,2022-12-08T22:07:30.000Z,"RT @SenateDems: Today, Republicans BLOCKED the Pregnant Workers Fairness Act

Democrats will keep fighting

Via @SenBobCasey and Sen. @Patt…",False,1600975383339630592,313,0,0,0
SenBobCasey,Senator Bob Casey,1600968086915788800,171598736,en,1600968086915788800,2022-12-08T21:38:31.000Z,"Between COVID-19 and a bad flu season, now is a good time to get your vaccine and booster. Visit https://t.co/rtkDflMaIG to find your nearest clinic or vaccine site.",False,1600968086915788800,8,4,4,0
SenBobCasey,Senator Bob Casey,1600936140650926080,171598736,en,1600936140650926080,2022-12-08T19:31:34.000Z,"The Biden administration, and the Nation, cannot forget about Marc Fogel. Like Ms. Griner and others, Marc deserves to see his family again.",False,1600936134645026816,10,8,8,0
SenBobCasey,Senator Bob Casey,1600936137966555137,171598736,en,1600936137966555137,2022-12-08T19:31:33.000Z,Marc Fogel is an American teacher who is being detained in Russia under similar circumstances to Ms. Griner. Mr. Fogel suffers from severe medical conditions and his family fears he will not survive his 14-year sentence in a hard labor camp. https://t.co/NFvcQmmznB,False,1600936134645026816,15,3,3,1
SenBobCasey,Senator Bob Casey,1600936136309821440,171598736,en,1600936136309821440,2022-12-08T19:31:33.000Z,"However, while Ms. Griner and Paul Whelan’s cases have garnered national media attention over the past year, they are not the only Americans caught in the crosshairs of Vladimir Putin’s political games.",False,1600936134645026816,5,1,1,0
SenBobCasey,Senator Bob Casey,1600936134645026816,171598736,en,1600936134645026816,2022-12-08T19:31:33.000Z,I am pleased Brittney Griner is returning home to her family after months of wrongful detainment by the Russian government. I applaud the Biden administration for negotiating her release so that Ms. Griner can spend the holiday season with her family.,False,1600936134645026816,12,12,12,0
