handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenDanSullivan,Sen. Dan Sullivan,1600959961533939712,2891210047,en,1600959961533939712,2022-12-08T21:06:13.000Z,"Should America &amp; the world stand by as China crushes Taiwan, that would not simply undermine the security of the Western Pacific, it would undermine America’s role in the world and the values it has infused into it.
 
If America does not lead, our enemies will. #AEIFDP 🧵 https://t.co/uieuVTaBGs",False,1600950234921635841,6,5,5,1
SenDanSullivan,Sen. Dan Sullivan,1600959734814629889,2891210047,en,1600959734814629889,2022-12-08T21:05:19.000Z,"U.S. democracy, bolstered by a strong military, has done more to liberate humankind from oppression &amp; tyranny—literally hundreds of millions of people—than any other force in human history. The #CCP has clear plans to reverse all of this. #AEIFDP 🧵",False,1600950234921635841,3,6,6,1
SenDanSullivan,Sen. Dan Sullivan,1600958723182452736,2891210047,en,1600958723182452736,2022-12-08T21:01:18.000Z,"We have entered a new era authoritarian aggression, like we saw in the 1930s. The free world cannot be neutral in this contest between freedom and authoritarianism, especially in the #IndoPacific region. #AEIFDP 🧵",False,1600950234921635841,3,2,2,0
SenDanSullivan,Sen. Dan Sullivan,1600958575370973187,2891210047,en,1600958575370973187,2022-12-08T21:00:43.000Z,One of the lessons we learned from the brutal Russian invasion of Ukraine is that comprehensive economic sanctions have the best chance of deterring a conflict when they are clearly articulated and ready to go before the conflict begins. #AEIFDP 🧵,False,1600950234921635841,3,2,2,1
SenDanSullivan,Sen. Dan Sullivan,1600957916206755842,2891210047,en,1600957916206755842,2022-12-08T20:58:06.000Z,The third layer of deterrence would employ American power beyond our military to deter a #CCP invasion. My STAND with #Taiwan would put the CCP on notice that no corner of its economy will be left untouched by sanctions—from finance to trade to industry.#AEIFDP🧵 https://t.co/uI3CMQXy3u,False,1600950234921635841,4,1,1,1
SenDanSullivan,Sen. Dan Sullivan,1600957530766712858,2891210047,en,1600957530766712858,2022-12-08T20:56:34.000Z,"No one in America wants a war in the #Taiwan Strait. If one is launched, the U.S. won’t be the aggressor. So, enhancing deterrence should be a top priority of U.S. policy. #AEIFDP 🧵 https://t.co/CJVRVNjVkG",False,1600950234921635841,4,1,1,1
SenDanSullivan,Sen. Dan Sullivan,1600956435390529536,2891210047,en,1600956435390529536,2022-12-08T20:52:13.000Z,"A #CCP takeover of #Taiwan would be a global boost to the model of authoritarian governance Xi offers the world.
 
In a world order built on #CCP power and values, freedom would be unsafe everywhere—including in the United States. #AEIFDP 🧵",False,1600950234921635841,6,2,2,1
SenDanSullivan,Sen. Dan Sullivan,1600956173766762521,2891210047,en,1600956173766762521,2022-12-08T20:51:10.000Z,"A #CCP takeover of #Taiwan could also call into question U.S. commitments to our Pacific allies and cause some countries to build up their own military capabilities, including nuclear deterrence; or choose an accommodating posture toward their aggressive neighbor. #AEIFDP 🧵",False,1600950234921635841,4,1,1,1
SenDanSullivan,Sen. Dan Sullivan,1600956070536806400,2891210047,en,1600956070536806400,2022-12-08T20:50:46.000Z,What is #Taiwan looking at across the Strait? 👇 https://t.co/a3vHmgMaW3,False,1600950234921635841,3,1,1,1
SenDanSullivan,Sen. Dan Sullivan,1600955891444219905,2891210047,en,1600955891444219905,2022-12-08T20:50:03.000Z,"If history teaches us anything, it is that the appetite of an aggressive authoritarian regime increases with each meal.
 
With the first island chain broken, residents in Guam &amp; Mariana Islands—American citizens—will come under direct threat from an emboldened #CCP. #AEIFDP 🧵 https://t.co/1TyVAp7GV8",False,1600950234921635841,3,2,2,1
