handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenJohnBarrasso,Sen. John Barrasso,1601310004665286656,202206694,en,1601310004665286656,2022-12-09T20:17:10.000Z,Senator Lummis is a champion for western issues and devoted to defending the multiple-use of our public lands. She will represent Wyoming and the West well in her new role as chairman of the Senate Western Caucus. https://t.co/7ASBpJ4nRF,False,1601310004665286656,1,1,1,0
SenJohnBarrasso,Sen. John Barrasso,1601294764908822530,202206694,en,1601294764908822530,2022-12-09T19:16:37.000Z,"Christmas is in full swing in downtown Torrington! While stopping in for a sweet treat at The Bread Doctor Bakery, several students from Lincoln Elementary, Torrington Middle and High Schools popped in to share the holiday spirit with handmade ornaments for downtown businesses. https://t.co/HTHP6tJFgd",False,1601294764908822530,2,5,5,0
SenJohnBarrasso,Sen. John Barrasso,1601244716175179784,202206694,zxx,1601244716175179784,2022-12-09T15:57:44.000Z,RT @SenateGOP: https://t.co/lkLFJEZamb,False,1601244716175179784,46,0,0,0
SenJohnBarrasso,Sen. John Barrasso,1601240516003528707,202206694,en,1601240516003528707,2022-12-09T15:41:03.000Z,Biden administration policies are causing anxiety and anguish for American families all across the country. Americans will have to pay nearly $200 more just to keep their homes warm this winter. It doesn’t have to be this way. Republicans have solutions. https://t.co/0SsYgzGpma,False,1601240516003528707,15,106,106,10
SenJohnBarrasso,Sen. John Barrasso,1600912340609662978,202206694,en,1600912340609662978,2022-12-08T17:57:00.000Z,.@JoeBiden is swapping the “Merchant of Death” and leaving behind a U.S. Marine. This deal is right out of a Russian playbook. https://t.co/eEEE92hEfm,False,1600912340609662978,104,202,202,13
SenJohnBarrasso,Sen. John Barrasso,1600880277756280833,202206694,en,1600880277756280833,2022-12-08T15:49:35.000Z,"RT @FreeBeacon: . @SenJohnBarrasso, the top Republican on the Senate energy committee, launched an inquiry on Wednesday into a Biden admini…",False,1600880277756280833,16,0,0,0
SenJohnBarrasso,Sen. John Barrasso,1600592887158345747,202206694,en,1600592887158345747,2022-12-07T20:47:36.000Z,Americans need affordable energy. We have an abundance of energy resources and workers here in America to power our country. We just need the Biden administration to stop standing in the way of unleashing American energy. https://t.co/nqgNACwV2n,False,1600592887158345747,30,74,74,6
SenJohnBarrasso,Sen. John Barrasso,1600590699598123014,202206694,en,1600590699598123014,2022-12-07T20:38:54.000Z,RT @SenJohnThune: 🚨I’m calling on the Biden admin to examine the impact that its ESG policies will have on the price of food &amp; energy befor…,False,1600590699598123014,12,0,0,0
SenJohnBarrasso,Sen. John Barrasso,1600590647467118602,202206694,zxx,1600590647467118602,2022-12-07T20:38:42.000Z,RT @SenJohnThune: https://t.co/8umrMoXhCc,False,1600590647467118602,4,0,0,0
SenJohnBarrasso,Sen. John Barrasso,1600555595031101471,202206694,en,1600555595031101471,2022-12-07T18:19:25.000Z,"Wrote a letter to @ENERGY @SecGranholm demanding answers on their $200 million grant to Microvast, a lithium battery company that has ties to China. https://t.co/DL8t5WtbBp",False,1600555595031101471,10,20,20,1
