handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenRonJohnson,Senator Ron Johnson,1601280809029505024,233737858,en,1601280809029505024,2022-12-09T18:21:09.000Z,"As much as I hate the dysfunction a Continuing Resolution represents, a massive Omnibus would be worse. Let’s pass a CR that will allow a Republican House to pass a more fiscally responsible spending bill early next year. https://t.co/u6xW42nJdY",False,1601280809029505024,41,26,26,2
SenRonJohnson,Senator Ron Johnson,1601259484189708290,233737858,en,1601259484189708290,2022-12-09T16:56:25.000Z,"Happy to see @elonmusk expose the bias Twitter displayed in banning @DrJBhattacharya. 

Other eminently qualified docs fighting for medical freedom like Dr. Robert Malone &amp; Dr. Peter McCollough who were at my vaccine safety roundtable remain banned.

When will they be reinstated?",False,1601259484189708290,389,119,119,23
SenRonJohnson,Senator Ron Johnson,1601252507564797952,233737858,en,1601252507564797952,2022-12-09T16:28:42.000Z,"Other nations have banned the COVID-19 vaccines because they are too dangerous for children.

Why does the mainstream media not talk about this?

Dr. Ranata Moon: ""We are being asked to inject this product into our nation's kids who have essentially a 0% risk of harm."" https://t.co/OVA2XKG3TM",False,1601252507564797952,727,181,181,39
SenRonJohnson,Senator Ron Johnson,1600995026640961536,233737858,en,1600995026640961536,2022-12-08T23:25:34.000Z,"RT @FoxNews: Grassley, Johnson accuse Garland of ignoring Trump special counsel's conflicts, DOJ's double standard https://t.co/CgR8i1bQpI",False,1600995026640961536,133,0,0,0
SenRonJohnson,Senator Ron Johnson,1600924867997540357,233737858,en,1600924867997540357,2022-12-08T18:46:46.000Z,"It is truly alarming that out of the @US_FDA's 20,000 employees, Dr. David Gortler is the ONLY one to speak out.
 
With over 13 billion doses of the Covid vaccine given worldwide, there still isn't a vaccine label displaying its potential side effects.
 
We need transparency now. https://t.co/YrBUVIhQoJ",False,1600924867997540357,2717,507,507,138
SenRonJohnson,Senator Ron Johnson,1600919382871384066,233737858,en,1600919382871384066,2022-12-08T18:24:59.000Z,"RT @FLSurgeonGen: Thank you, @SenRonJohnson, for your dedication. Adverse effects of mRNA COVID-19 vaccines should be addressed with scient…",False,1600919382871384066,3672,0,0,0
SenRonJohnson,Senator Ron Johnson,1600634770035122176,233737858,en,1600634770035122176,2022-12-07T23:34:02.000Z,"🚨🚨🚨

Unbelievable.

Dr. Renata Moon, board certified pediatrician, found an intentionally blank package insert in a box of mRNA vaccine product she planned to administer to a child.

This is what passes as “informed consent” under the leadership of the COVID cartel. https://t.co/JVuY2QU00T",False,1600634770035122176,8937,1076,1076,519
SenRonJohnson,Senator Ron Johnson,1600609679557656576,233737858,en,1600609679557656576,2022-12-07T21:54:20.000Z,"RT @FoxNews: 'THEY KNEW' ABOUT IT: On ""Hannity,"" @SenRonJohnson slams the FBI for telling social media companies that Hunter Biden's laptop…",False,1600609679557656576,339,0,0,0
SenRonJohnson,Senator Ron Johnson,1600573973611298816,233737858,en,1600573973611298816,2022-12-07T19:32:27.000Z,"RT @rumblevideo: UPDATE: @SenRonJohnson has over 20,000 live on his channel right now. Tune in below:

https://t.co/t5WKQYzyIe",False,1600573973611298816,322,0,0,0
SenRonJohnson,Senator Ron Johnson,1600571744565215239,233737858,en,1600571744565215239,2022-12-07T19:23:35.000Z,"RT @rcpvideo: Sen. Ron Johnson Hosts Forum On Covid-19 Vaccine: ""How They Work, Possible Causes Of Injury""  https://t.co/yy0a0jfW4h",False,1600571744565215239,178,0,0,0
SenRonJohnson,Senator Ron Johnson,1600569557747384322,233737858,en,1600569557747384322,2022-12-07T19:14:54.000Z,"RT @HighWireTalk: @SenRonJohnson Hosts Forum on #Covid-19 vaccines. Expert testimony in Public Health, Science &amp; Medicine, Law, Media, &amp; Ad…",False,1600569557747384322,656,0,0,0
SenRonJohnson,Senator Ron Johnson,1600504892728250370,233737858,en,1600504892728250370,2022-12-07T14:57:57.000Z,"WATCH LIVE: Roundtable discussion with global medical experts on what federal health officials have not told the American public. 

COVID-19 Vaccines: What They Are, How They Work and Possible Causes of Injuries starts at Noon ET. https://t.co/pgHKkq2OsI https://t.co/Gm603AtEKF",False,1600504892728250370,456,197,197,62
SenRonJohnson,Senator Ron Johnson,1600289301816029184,233737858,en,1600289301816029184,2022-12-07T00:41:16.000Z,"It wasn’t just Twitter that sabotaged the disclosure of Hunter Biden’s corruption.
 
It was Democrats in Congress. It was FBI leadership. It was members of the intelligence community.
 
There is a much larger story here than just the Twitter files. https://t.co/aJqTqmIzFj",False,1600289301816029184,5251,1904,1904,279
SenRonJohnson,Senator Ron Johnson,1600224521273094145,233737858,en,1600224521273094145,2022-12-06T20:23:51.000Z,"Meeting with global doctors and medical researchers today to discuss the current science behind the COVID-19 vaccines.

Tomorrow, I will host a live roundtable discussion to reveal our findings and expose the info that federal health officials are not telling the American public. https://t.co/2PY3nggsEY",False,1600224521273094145,2559,886,886,184
SenRonJohnson,Senator Ron Johnson,1600199075818717184,233737858,en,1600199075818717184,2022-12-06T18:42:44.000Z,".@SenRickScott, @HawleyMo and I call on @SenGaryPeters to hold a hearing to investigate alarming whistleblower claims that HHS knowingly transferred unaccompanied migrant children to criminals.

Congress must take action to stop the atrocities being committed by the federal gov. https://t.co/DxJAdasHYX",False,1600199075818717184,319,122,122,13
SenRonJohnson,Senator Ron Johnson,1600176046342430743,233737858,en,1600176046342430743,2022-12-06T17:11:13.000Z,"According to a whistleblower, HHS knowingly transferred unaccompanied migrant children to criminals. 

I sent a letter to @SecBecerra demanding info about these claims.

Americans must know the truth about the consequences of Biden's open border policies. https://t.co/JaCjoyLdcJ",False,1600176046342430743,256,113,113,13
SenRonJohnson,Senator Ron Johnson,1599888851740332033,233737858,en,1599888851740332033,2022-12-05T22:10:01.000Z,RT @townhallcom: The Other Corruption the Twitter Files Expose  https://t.co/MoTQ9ZYaXm,False,1599888851740332033,84,0,0,0
SenRonJohnson,Senator Ron Johnson,1599855983786086402,233737858,en,1599855983786086402,2022-12-05T19:59:25.000Z,RT @CR: Today's #CRPodcast: Daniel talks with @SenRonJohnson about his fight for medical freedom and giving voice to those injured by the C…,False,1599855983786086402,40,0,0,0
