handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenTedCruz,Senator Ted Cruz,1600300590780669952,1074480192,en,1600300590780669952,2022-12-07T01:26:07.000Z,"It is of utmost of importance we stand firm with our friend and ally – especially when Biden and his Administration are committed to undermining Israel's sovereignty over its capital. 2/x

🇺🇸🇮🇱",False,1600300588323020800,306,742,742,16
SenTedCruz,Senator Ted Cruz,1600300588323020800,1074480192,en,1600300588323020800,2022-12-07T01:26:07.000Z,"5 years ago today, President Trump formally made it US policy to acknowledge the reality that Jerusalem is the capital of Israel. 1/x",False,1600300588323020800,1779,3449,3449,153
SenTedCruz,Senator Ted Cruz,1600262055797215233,1074480192,en,1600262055797215233,2022-12-06T22:53:00.000Z,"Every state is a border state.
 
#BidenBorderCrisis
 
https://t.co/1o1kBiXfyu",False,1600262055797215233,116,243,243,7
SenTedCruz,Senator Ted Cruz,1600240280065568768,1074480192,en,1600240280065568768,2022-12-06T21:26:28.000Z,"Abysmal.
 
President Biden has done nothing but run and hide from the ongoing crisis at the southern border.
 
#BidenBorderCrisis
 
https://t.co/YPXTmiwZZO",False,1600240280065568768,274,599,599,30
SenTedCruz,Senator Ted Cruz,1600228482021175297,1074480192,en,1600228482021175297,2022-12-06T20:39:35.000Z,"RELEASE: ICYMI: Cruz Praises Army Decision to Use Fort Worth’s Bell Textron for New Assault Helicopter
 
https://t.co/q3cso8Cu2J",False,1600228482021175297,51,98,98,5
SenTedCruz,Senator Ted Cruz,1600218787562737664,1074480192,en,1600218787562737664,2022-12-06T20:01:04.000Z,"The Biden admin is committed to leveling the claims between the Palestinians and Israel to Jerusalem, Israel’s eternal and unified capital. 

If they could move our embassy out of Jerusalem they would, but they’re not prepared to pay the political price. 
https://t.co/8tliZpnx46",False,1600218787562737664,77,120,120,9
SenTedCruz,Senator Ted Cruz,1600205496220520450,1074480192,en,1600205496220520450,2022-12-06T19:08:15.000Z,RT @Kredo0: JUST IN: Blinken Elevates Palestinian Claims to Jerusalem at J Street Conference -- Biden admin trying to erode Israeli soverei…,False,1600205496220520450,143,0,0,0
SenTedCruz,Senator Ted Cruz,1600189291467980800,1074480192,en,1600189291467980800,2022-12-06T18:03:51.000Z,"President Biden just confirmed what I have been saying for the last 2 years.
 
He doesn’t care about the chaos, crime, drugs, murder, or sex trafficking taking place at the southern border.
 
#BidenBorderCrisis https://t.co/ivApRSeZpL",False,1600189291467980800,1715,2385,2385,172
SenTedCruz,Senator Ted Cruz,1600174910495547399,1074480192,en,1600174910495547399,2022-12-06T17:06:43.000Z,"HHS and the Biden Administration need to respond to a simple question my colleagues and I are asking: Why are you sending unaccompanied, illegal alien children to live with sex traffickers?
 
The whistleblower evidence is damning.
 
https://t.co/ui0zu890ED",False,1600174910495547399,985,504,504,49
SenTedCruz,Senator Ted Cruz,1600157927905509376,1074480192,en,1600157927905509376,2022-12-06T15:59:14.000Z,"Sadly, I’m confident Merrick Garland won’t hold Dr. Fauci accountable. https://t.co/PUtreHzAbn",False,1600157927905509376,980,3005,3005,126
SenTedCruz,Senator Ted Cruz,1600141230750371840,1074480192,en,1600141230750371840,2022-12-06T14:52:53.000Z,"It’s my hope that by giving the Review Board more time to examine the case files related to these unsolved crimes, we can shed sunlight on these Civil Rights cold cases, and finally bring justice to the victims and their families.
https://t.co/RIHhKGGjNu",False,1600141230750371840,76,126,126,1
SenTedCruz,Senator Ted Cruz,1599969772141268992,1074480192,en,1599969772141268992,2022-12-06T03:31:34.000Z,"The #TwitterFiles have exposed corruption in the highest levels of government, FBI, and Big Tech.
 
Big Tech brazenly censored the Hunter Biden laptop story. https://t.co/XR4uD3Grtm",False,1599969772141268992,1390,1658,1658,102
