handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenTomCotton,Tom Cotton,1601229953420656641,968650362,en,1601229953420656641,2022-12-09T14:59:04.000Z,Releasing Viktor Bout sets a dangerous precedent going forward. It's a signal from Joe Biden to Vladimir Putin that it's open season on taking Americans prisoners. https://t.co/yboZt7n2bo,False,1601229953420656641,132,163,163,17
SenTomCotton,Tom Cotton,1600911180398301191,968650362,en,1600911180398301191,2022-12-08T17:52:23.000Z,"Americans welcome the release of Brittney Griner, but it shouldn’t have come at the cost of releasing one of the world’s worst arms dealers.  https://t.co/INfFAnpXgx",False,1600911180398301191,83,234,234,15
SenTomCotton,Tom Cotton,1600867339511091201,968650362,en,1600867339511091201,2022-12-08T14:58:11.000Z,TikTok is poison for our youth and gives the CCP access to millions of Americans' sensitive data. It's very disappointing the Biden administration is sending signals that they will tolerate the app's presence in the US. https://t.co/vGZADf5LIU,False,1600867339511091201,95,121,121,10
SenTomCotton,Tom Cotton,1600532342845722624,968650362,en,1600532342845722624,2022-12-07T16:47:01.000Z,Today we honor the brave Americans who lost their lives at Pearl Harbor. We should never forget their service and sacrifice.,False,1600532342845722624,178,144,144,12
SenTomCotton,Tom Cotton,1600234665943572480,968650362,en,1600234665943572480,2022-12-06T21:04:09.000Z,"We must secure our southern border before pursuing immigration reform. There is a historic flood of illegal immigrants coming into the US, and our priority should be to address the security and needs of working-class Americans. https://t.co/1F0j5Mz20B",False,1600234665943572480,353,357,357,39
SenTomCotton,Tom Cotton,1600213109934673920,968650362,en,1600213109934673920,2022-12-06T19:38:30.000Z,Rumors that the Iranian ayatollahs disbanded the morality police are false. President Biden should proudly and loudly support the brave Iranians protesting for freedom against their brutal government. https://t.co/bPvCoN3XIX,False,1600213109934673920,7082,979,979,227
SenTomCotton,Tom Cotton,1600205326065799183,968650362,en,1600205326065799183,2022-12-06T19:07:34.000Z,⁦.⁦@wjmcgurn⁩ is correct: Apple can’t hold the moral high ground in America while it turns a blind eye to the CCP’s human rights abuses.  https://t.co/G7RywPRIfF,False,1600205326065799183,94,58,58,10
SenTomCotton,Tom Cotton,1600145955931574273,968650362,en,1600145955931574273,2022-12-06T15:11:39.000Z,"Democrats are holding our national defense bill hostage, trying to include legislation that has nothing to do with America's national security. We must pass this necessary bill to ensure the strength of our military. https://t.co/83FR4esrqZ",False,1600145955931574273,92,140,140,12
SenTomCotton,Tom Cotton,1599496381886042113,968650362,en,1599496381886042113,2022-12-04T20:10:29.000Z,Iran is building more nuclear plants and enriching more uranium. Why does the Biden administration continue pursuing a nuclear deal that will hurt America when they know the Iranians are acting in bad faith? https://t.co/fC4R0gmE2H,False,1599496381886042113,195,190,190,13
SenTomCotton,Tom Cotton,1598444840978731021,968650362,en,1598444840978731021,2022-12-01T22:32:02.000Z,"Retirement plans should prioritize investments with the highest returns, not ESG scams.  https://t.co/rWw8J9CTtj",False,1598444840978731021,83,80,80,3
SenTomCotton,Tom Cotton,1598351202147864578,968650362,en,1598351202147864578,2022-12-01T16:19:57.000Z,"General Jones is right. No American victim of terrorism should be forgotten. While our debt to the Marine victims of the 1983 Beirut Marine Barracks Bombing can never be fully repaid, my bill with @SenDanSullivan will deliver some measure of justice.  https://t.co/tnQ3qXOGjQ",False,1598351202147864578,39,38,38,0
SenTomCotton,Tom Cotton,1598085326328807427,968650362,en,1598085326328807427,2022-11-30T22:43:27.000Z,Today ⁦@SenDanSullivan⁩ and I introduced legislation to ensure that the brave Americans who were killed in brutal terrorist attacks like 9/11 and the 1983 Beirut Marine Barracks Bombing are repaid the debt of gratitude America owes. https://t.co/ecVS0chFbA,False,1598085326328807427,34,36,36,2
SenTomCotton,Tom Cotton,1597716641605124098,968650362,en,1597716641605124098,2022-11-29T22:18:26.000Z,"I’ve cautioned companies for years that if they censor their conservative employees, they shouldn’t come to Republicans when Democrats come after them. 

My message to these companies: best of luck. https://t.co/rgOvdEuoaa",False,1597716641605124098,444,263,263,55
SenTomCotton,Tom Cotton,1597620315906899968,968650362,en,1597620315906899968,2022-11-29T15:55:40.000Z,President Biden needs to express clear American support for the brave Chinese protesting against their totalitarian regime instead of trying to appease the CCP. https://t.co/3wwUranhoV,False,1597620315906899968,175,222,222,18
SenTomCotton,Tom Cotton,1597589679779745792,968650362,en,1597589679779745792,2022-11-29T13:53:56.000Z,No US agency should approve this mining deal until we can be certain that China will not control it.,False,1597589678093377536,75,37,37,6
SenTomCotton,Tom Cotton,1597589678093377536,968650362,en,1597589678093377536,2022-11-29T13:53:55.000Z,I sent a letter in September to @SecGranholm warning her that a lithium mining company with CCP ties operating in the US would only increase our mineral dependence on China. https://t.co/AHoQvtqtze via @amermilnews,False,1597589678093377536,137,99,99,16
SenTomCotton,Tom Cotton,1595781652025790465,968650362,en,1595781652025790465,2022-11-24T14:09:28.000Z,"Over four centuries ago, our Pilgrim fathers joined the Wampanoag tribe for the first Thanksgiving. Today, we have much to be grateful for in the nation the Pilgrims helped to build. From the Cotton family to yours, we wish you a happy Thanksgiving. https://t.co/Ntq8ybxfGJ",False,1595781652025790465,56,157,157,6
SenTomCotton,Tom Cotton,1595089003547590657,968650362,en,1595089003547590657,2022-11-22T16:17:08.000Z,Democrats' worrying more about DEI training than combat training is weakening our military and causing the recruiting shortage. https://t.co/a3YVSqicKW,False,1595089003547590657,94,131,131,8
SenTomCotton,Tom Cotton,1593618207490953218,968650362,en,1593618207490953218,2022-11-18T14:52:43.000Z,The DC city council's vote to lower sentences for carjackings and robberies reflects the left's soft on crime stance that is making Americans less safe. https://t.co/3pUUTiiVZK,False,1593618207490953218,155,266,266,23
SenTomCotton,Tom Cotton,1593224080081055744,968650362,en,1593224080081055744,2022-11-17T12:46:36.000Z,We must address the immigration policies that allow China to conduct espionage at American universities. Tune in ⬇️ https://t.co/0iIcVtSWh7,False,1593224080081055744,139,137,137,17
SenTomCotton,Tom Cotton,1592653856617697281,968650362,en,1592653856617697281,2022-11-15T23:00:44.000Z,"We must end China’s Permanent Normal Trade Relations status. This status gives privileges to the Chinese Communists that they never earned and continue to abuse. I’m glad that the US-China Commission has endorsed my position on this long-overdue decision. 
https://t.co/CCraxRfYtf",False,1592653856617697281,82,121,121,12
SenTomCotton,Tom Cotton,1592524893316579329,968650362,en,1592524893316579329,2022-11-15T14:28:16.000Z,Our ambassador’s job is to promote America’s interests and strengthen our relationship with Hungary—a NATO ally!—not to “call out” their leaders for opposing his liberal sensibilities. America deserves better from our diplomats.  https://t.co/lp23udvOT0,False,1592524893316579329,94,126,126,23
SenTomCotton,Tom Cotton,1592207371933483008,968650362,en,1592207371933483008,2022-11-14T17:26:33.000Z,"Joe Biden has again failed to address or even acknowledge China’s Cold War against the United States. His naive return to a policy of appeasement will hurt the United States, endanger Taiwan, and further embolden Xi Jinping.",False,1592207371933483008,204,489,489,40
SenTomCotton,Tom Cotton,1592188485754044418,968650362,en,1592188485754044418,2022-11-14T16:11:31.000Z,We need to know why TikTok uses foreign nationals with Chinese state ties to handle American citizens’ data—and why ⁦⁦@SecMayorkas⁩ approved those visas.  https://t.co/YAKP2HgTC2,False,1592188485754044418,99,110,110,11
SenTomCotton,Tom Cotton,1591047249135558657,968650362,en,1591047249135558657,2022-11-11T12:36:39.000Z,"Today a grateful nation pauses to remember the Americans who put the needs of their country above their own. At home and abroad, the sacrifice of our veterans has made America safer and stronger. These exceptional Americans and their families deserve our lasting gratitude.",False,1591047249135558657,180,281,281,18
SenTomCotton,Tom Cotton,1588527478108200962,968650362,en,1588527478108200962,2022-11-04T13:43:58.000Z,The ESG movement is driving up energy prices and harming Americans. I sent a letter to 51 law firms warning them against ESG practices that are scams and potentially illegal. https://t.co/2LPkILRgMW,False,1588527478108200962,125,188,188,13
SenTomCotton,Tom Cotton,1587857370272636931,968650362,en,1587857370272636931,2022-11-02T17:21:12.000Z,I’ll soon introduce a bill that would stop this insane move and put every Democrat in the senate on record about reducing sentences for convicted criminals.,False,1587857368460582914,56,145,145,10
SenTomCotton,Tom Cotton,1587857368460582914,968650362,en,1587857368460582914,2022-11-02T17:21:12.000Z,"DC crime rates are sky-rocketing. We should be putting criminals in jail for longer, not getting rid of mandatory minimums. https://t.co/JUP4plDGyz",False,1587857368460582914,106,305,305,20
