handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenToomey,Senator Pat Toomey,1601334389174317056,221162525,en,1601334389174317056,2022-12-09T21:54:04.000Z,"Unfortunately, the Biden Administration continues to vigorously defend these tariffs, which for years have caused harm to American consumers + workers. It is sad to see President Biden carrying the torch for Trump on protectionist trade policies.",False,1601334386473197568,2,1,1,1
SenToomey,Senator Pat Toomey,1601334386473197568,221162525,en,1601334386473197568,2022-12-09T21:54:03.000Z,"Today a @wto panel acknowledged the obvious: There was never any legitimate national security basis for President Trump's taxes on foreign steel + aluminum, despite his use of a national security authority for those tariffs.",False,1601334386473197568,6,4,4,0
SenToomey,Senator Pat Toomey,1601254521698938883,221162525,en,1601254521698938883,2022-12-09T16:36:42.000Z,"The Fed and regional Fed banks obstruct congressional oversight inquiries all too often.

I’m glad to join with @SenWarren in pursuing reforms that will compel these public institutions to be more transparent and accountable to the American people.
https://t.co/cTo3Djy5WB",False,1601254521698938883,6,6,6,4
SenToomey,Senator Pat Toomey,1601231211640201216,221162525,en,1601231211640201216,2022-12-09T15:04:04.000Z,"Glad @SBF_FTX will appear on 12/13, but @SenSherrodBrown &amp; I also expect you at @SenateBanking/@BankingGOP the next day.
https://t.co/azJla1ejUC",False,1601231211640201216,33,21,21,3
SenToomey,Senator Pat Toomey,1600918021597712384,221162525,en,1600918021597712384,2022-12-08T18:19:34.000Z,"While I am pleased that one unjustly detained American citizen is coming home, it is completely unacceptable that veteran Paul Whelan and PA resident Marc Fogel remain in Russia. The Biden administration must not rest until each wrongly imprisoned American is returned home.",False,1600918021597712384,12,70,70,3
SenToomey,Senator Pat Toomey,1600890309797621761,221162525,en,1600890309797621761,2022-12-08T16:29:27.000Z,"RT @ylanmui: Their letter to SBF minces no words:

“I am prepared, along with Ranking Member Pat Toomey, to issue a subpoena to compel your…",False,1600890309797621761,11,0,0,0
SenToomey,Senator Pat Toomey,1600540078371135488,221162525,en,1600540078371135488,2022-12-07T17:17:45.000Z,"On this day in 1941, Charles Montgomery made the ultimate sacrifice in the line of duty.

Last month, this courageous Pennsylvanian was finally laid to rest in Delaware County.

May we never forget Charles and the other heroes who perished at Pearl Harbor.
https://t.co/Hp6h17VAq2",False,1600540078371135488,3,11,11,1
SenToomey,Senator Pat Toomey,1600246452109733890,221162525,en,1600246452109733890,2022-12-06T21:50:59.000Z,"RT @IrelandAmbUSA: Very insightful discussion with outgoing Senator Pat Toomey @SenToomey today, a man with Cork roots, a friend of Ireland…",False,1600246452109733890,11,0,0,0
SenToomey,Senator Pat Toomey,1598783479344504834,221162525,en,1598783479344504834,2022-12-02T20:57:40.000Z,"My biggest accomplishment in Congress was helping to formulate and pass the 2017 tax reform.

Strong economic growth, record-low unemployment, low inflation, and wage growth—2019 was arguably the best economic year of my lifetime. https://t.co/6ZdfkAGPpb",False,1598783479344504834,13,128,128,15
SenToomey,Senator Pat Toomey,1598741207554867200,221162525,en,1598741207554867200,2022-12-02T18:09:41.000Z,"What happened at FTX is horrendous.

But we shouldn't confuse the bad actions of individuals with an underlying asset. The code isn’t guilty of anything.

The Senate Banking Committee should bring in SBF for a hearing. https://t.co/nuo8a7ZKEM",False,1598741207554867200,183,109,109,17
SenToomey,Senator Pat Toomey,1598677924638560257,221162525,en,1598677924638560257,2022-12-02T13:58:13.000Z,"RT @SquawkCNBC: ""This is about outrageous behavior of an individual but has nothing to do with the underlying asset,"" says @SenToomey on #c…",False,1598677924638560257,205,0,0,0
SenToomey,Senator Pat Toomey,1598418474178871297,221162525,en,1598418474178871297,2022-12-01T20:47:16.000Z,"Jonathan McKernan and Travis Hill are extremely well-qualified to serve on the FDIC Board.
 
I know firsthand that Jonathan's knowledge of banking and housing finance issues will equip him well. Travis' significant experience will deepen the Board’s expertise. https://t.co/CUXYGLlzLL",False,1598418474178871297,7,19,19,2
SenToomey,Senator Pat Toomey,1598377320208863247,221162525,en,1598377320208863247,2022-12-01T18:03:44.000Z,"RT @BanklessHQ: “I have been arguing with Gary Gensler publicly and privately for two years now.”

@SenToomey is (and has been) putting leg…",False,1598377320208863247,79,0,0,0
SenToomey,Senator Pat Toomey,1598364635131953152,221162525,en,1598364635131953152,2022-12-01T17:13:19.000Z,"RT @BanklessHQ: “It’s crazy to blame it on crypto.” 🤯💯

@SenToomey came on today and dropped bombshells on not only Bankless, but crypto an…",False,1598364635131953152,60,0,0,0
SenToomey,Senator Pat Toomey,1598002866534219777,221162525,en,1598002866534219777,2022-11-30T17:15:47.000Z,"Private capital, not taxpayer dollars, should be the foundation of our housing finance system.",False,1598002858150227969,3,8,8,0
SenToomey,Senator Pat Toomey,1598002864441655296,221162525,en,1598002864441655296,2022-11-30T17:15:46.000Z,I’ve long advocated for comprehensive housing finance reform and am disappointed that Congress and the admin have failed to take action.,False,1598002858150227969,2,9,9,0
