handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenTuberville,Coach Tommy Tuberville,1601325913840709632,1345739193721487362,en,1601325913840709632,2022-12-09T21:20:23.000Z,Tune in to @FoxBusiness at 4:30pm ET while Larry Kudlow and I discuss US military leadership’s misplaced priorities. https://t.co/KezFNPzYB3 https://t.co/tuOYs38mda,False,1601325913840709632,5,12,12,0
SenTuberville,Coach Tommy Tuberville,1601321483737116674,1345739193721487362,en,1601321483737116674,2022-12-09T21:02:47.000Z,"RT @aldotcom: DoD is considering providing funding for travel and paid time off for personnel stationed in states, such as Alabama, that ha…",False,1601321483737116674,8,0,0,0
SenTuberville,Coach Tommy Tuberville,1601292184028086272,1345739193721487362,en,1601292184028086272,2022-12-09T19:06:21.000Z,RT @foxnewspolitics: GOP senator to hold defense nominees over DOD’s ‘irresponsible’ abortion policy https://t.co/L8aMBjnF5F,False,1601292184028086272,18,0,0,0
SenTuberville,Coach Tommy Tuberville,1601260663451566087,1345739193721487362,en,1601260663451566087,2022-12-09T17:01:06.000Z,"If @SecDef proceeds with this plan, I hold every DoD civilian and general/flag officer nomination to come before the Senate.",False,1601258903261487110,15,6,6,0
SenTuberville,Coach Tommy Tuberville,1601260084763426817,1345739193721487362,en,1601260084763426817,2022-12-09T16:58:48.000Z,"Americans want a strong military focused on keeping them safe, but @DeptofDefense leadership is distracted by radical liberal priorities.",False,1601258903261487110,19,9,9,0
SenTuberville,Coach Tommy Tuberville,1601259538367365121,1345739193721487362,en,1601259538367365121,2022-12-09T16:56:38.000Z,"@SecDef If Secretary Austin wants to change the law, he should do it through Congress. But he’s going around Congress to enact a taxpayer-funded abortion policy – including late term abortions.",False,1601258903261487110,26,5,5,0
SenTuberville,Coach Tommy Tuberville,1601258903261487110,1345739193721487362,en,1601258903261487110,2022-12-09T16:54:07.000Z,"🧵BREAKING: we uncovered @SecDef’s plan to fund thousands of abortions a year. Not only is this a severe misuse of taxpayer dollars, it’s illegal. I will hold him accountable. https://t.co/eMdfCf2eMr",False,1601258903261487110,298,85,85,22
SenTuberville,Coach Tommy Tuberville,1600964891913117696,1345739193721487362,en,1600964891913117696,2022-12-08T21:25:49.000Z,"The American people don’t want woke liberal policies interfering with our defense goals.
https://t.co/tAyu39z0fu",False,1600964891913117696,285,168,168,8
SenTuberville,Coach Tommy Tuberville,1600928600995336212,1345739193721487362,en,1600928600995336212,2022-12-08T19:01:36.000Z,Waiting until the last minute to pass the NDAA is playing a game of chicken with our national security and with American service members. https://t.co/K4VFj894tw,False,1600928600995336212,9,6,6,0
SenTuberville,Coach Tommy Tuberville,1600892174656315394,1345739193721487362,en,1600892174656315394,2022-12-08T16:36:52.000Z,"I joined my colleagues in protecting our service members from the Biden administration’s COVID-19 vaccine mandate. We shouldn’t be firing our service members for their decisions on the COVID shot.
https://t.co/uTp1U0KaZz",False,1600892174656315394,1,17,17,1
SenTuberville,Coach Tommy Tuberville,1600638586747031554,1345739193721487362,en,1600638586747031554,2022-12-07T23:49:12.000Z,"RT @SenShelby: Happy Birthday, @Austal_USA! I am proud of all that Austal has been able to accomplish in #Mobile and applaud its first-clas…",False,1600638586747031554,7,0,0,0
