handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorBaldwin,Sen. Tammy Baldwin,1601289686374547456,1074518754,en,1601289686374547456,2022-12-09T18:56:26.000Z,"Reminder: You have until January 15th to #GetCovered with quality, low-cost health insurance through the ACA marketplace, so be sure to visit https://t.co/ppjMunaYA8 and sign up now! https://t.co/x3sfIV8bFc",False,1601289686374547456,9,2,2,1
SenatorBaldwin,Sen. Tammy Baldwin,1600977564092157952,1074518754,en,1600977564092157952,2022-12-08T22:16:10.000Z,Read more about our work to restore these pensions here ➡️https://t.co/0Dkj9HtkYQ,False,1600977560661549057,9,4,4,1
SenatorBaldwin,Sen. Tammy Baldwin,1600977560661549057,1074518754,en,1600977560661549057,2022-12-08T22:16:09.000Z,"A pension is a promise, and today we ensured that promise is kept for the nearly 22,000 workers and retirees in Wisconsin who were facing cuts to their pensions. I’m proud to have worked with folks like my friend Ken to restore the retirement benefits they’ve rightfully earned. https://t.co/hApVH6MWda",False,1600977560661549057,25,15,15,4
SenatorBaldwin,Sen. Tammy Baldwin,1600937952799956992,1074518754,en,1600937952799956992,2022-12-08T19:38:46.000Z,"On Latina Equal Pay Day, we bring attention to the fact that Latina workers make 54 cents for every dollar earned by white, non-Hispanic men. It’s past time that Latina workers are given equal pay for equal work.",False,1600937952799956992,13,8,8,1
SenatorBaldwin,Sen. Tammy Baldwin,1600927478481985536,1074518754,en,1600927478481985536,2022-12-08T18:57:09.000Z,"RT @RepStricklandWA: Access to safe &amp; legal reproductive health care, including abortion, should not be limited to those with the resources…",False,1600927478481985536,17,0,0,0
SenatorBaldwin,Sen. Tammy Baldwin,1600919632864456704,1074518754,en,1600919632864456704,2022-12-08T18:25:58.000Z,"Women are being forced to travel out of state to get the health care they need — which is often too costly &amp; out of reach. 

I introduced the Reproductive Health Travel Fund Act to reduce those barriers &amp; help ensure women have the freedom to make their own healthcare decisions. https://t.co/DhrHOrml73",False,1600919632864456704,40,18,18,4
SenatorBaldwin,Sen. Tammy Baldwin,1600892388133588994,1074518754,en,1600892388133588994,2022-12-08T16:37:43.000Z,"Our #RespectforMarriageAct:

✅Passed the Senate with bipartisan support
✅Passed the House with bipartisan support
 
Next stop ➡️ @POTUS’ desk!",False,1600892388133588994,82,42,42,11
SenatorBaldwin,Sen. Tammy Baldwin,1600892022952726530,1074518754,en,1600892022952726530,2022-12-08T16:36:16.000Z,"RT @SpeakerPelosi: Join @SenSchumer, Members of @LGBTEqCaucus, advocates and me at the U.S. Capitol to sign the Respect for Marriage Act, a…",False,1600892022952726530,495,0,0,0
SenatorBaldwin,Sen. Tammy Baldwin,1600857960799907840,1074518754,en,1600857960799907840,2022-12-08T14:20:55.000Z,"This is great news for Brittney, her family, and our country. Thank you, @POTUS. We must continue fighting to bring all Americans who are wrongfully detained back home. https://t.co/oXRhQSTj4k",False,1600857960799907840,24,23,23,3
SenatorBaldwin,Sen. Tammy Baldwin,1600583859212541954,1074518754,en,1600583859212541954,2022-12-07T20:11:44.000Z,"Prior to marriage equality, LGBTQ couples were considered legal strangers when it came to things like hospital visits, adoption, or shared health benefits. Happy that the #RespectforMarriageAct will recognize &amp; protect these rights under federal law!

https://t.co/kkWYMmXTbs",False,1600583859212541954,31,16,16,1
SenatorBaldwin,Sen. Tammy Baldwin,1600549140617756674,1074518754,en,1600549140617756674,2022-12-07T17:53:46.000Z,It’s National Influenza Vaccination Week! Now is the perfect time to get your flu shot to stay healthy for the holiday season. Schedule your flu shot here ➡️https://t.co/wRSEWiXB0H https://t.co/A09zGFVGD2,False,1600549140617756674,21,12,12,0
SenatorBaldwin,Sen. Tammy Baldwin,1600523837665419267,1074518754,en,1600523837665419267,2022-12-07T16:13:13.000Z,"As we mark National Pearl Harbor Remembrance Day, we pay tribute to the brave service members who courageously served our nation and honor those who made the ultimate sacrifice that day while defending our liberty and freedom. https://t.co/EU6crblQJf",False,1600523837665419267,35,8,8,1
SenatorBaldwin,Sen. Tammy Baldwin,1600271436853018625,1074518754,en,1600271436853018625,2022-12-06T23:30:16.000Z,Great to join @harleydavidson &amp; @LiveWireEV to celebrate their electric motorcycles that will support American manufacturing jobs with #MadeinWI products! What do we think? https://t.co/kp4kMRpvTq,False,1600271436853018625,25,18,18,1
SenatorBaldwin,Sen. Tammy Baldwin,1600222435701567489,1074518754,en,1600222435701567489,2022-12-06T20:15:34.000Z,"Women must have the freedom to make their own healthcare decisions without interference from politicians.

It’s time to repeal Wisconsin’s 1849 abortion ban and restore the reproductive rights that Wisconsin women need and deserve.",False,1600222435701567489,132,40,40,4
SenatorBaldwin,Sen. Tammy Baldwin,1600204979133812736,1074518754,en,1600204979133812736,2022-12-06T19:06:12.000Z,"I have long called for making this safe, effective medication available over-the-counter because we know that when you increase access to Narcan, you save lives. Now, we need to make sure it is affordable &amp; accessible so those who need it most can get it. https://t.co/122rFaILxk",False,1600204979133812736,13,9,9,1
SenatorBaldwin,Sen. Tammy Baldwin,1600189889122734082,1074518754,en,1600189889122734082,2022-12-06T18:06:14.000Z,"I had the privilege of attending the Congressional Gold Medal Ceremony to honor the brave police officers who stood their ground on January 6th &amp; remember the officers who lost their lives defending the U.S. Capitol. 

Thank you for your incredible service to our country. https://t.co/qPlD25nHzT",False,1600189889122734082,24,16,16,0
SenatorBaldwin,Sen. Tammy Baldwin,1599867132132569090,1074518754,en,1599867132132569090,2022-12-05T20:43:43.000Z,"Passing the Respect for Marriage Act would have been unimaginable a decade ago. Since then, we’ve seen hearts and minds change for the better and I’m proud that this legislation will make a difference in millions of loving couples’ lives. https://t.co/GgVVCh7TIt",False,1599867132132569090,68,23,23,5
