handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorBraun,Senator Mike Braun,1601012101342195712,1080870981877534720,en,1601012101342195712,2022-12-09T00:33:24.000Z,RT @BasedMikeLee: Control of the House of Representatives has shifted from one party to the other only FIVE TIMES since 1954. In NONE of th…,False,1601012101342195712,1279,0,0,0
SenatorBraun,Senator Mike Braun,1600947236472356864,1080870981877534720,en,1600947236472356864,2022-12-08T20:15:39.000Z,"Too many Border Patrol agents have been killed due to Biden's failed border policies that encourage illegal entry.

Mr. President – it's time to take the border invasion seriously.",False,1600947236472356864,31,53,53,5
SenatorBraun,Senator Mike Braun,1600627186477797377,1080870981877534720,en,1600627186477797377,2022-12-07T23:03:54.000Z,"RT @Protectaxpayers: Thank you @SenatorBraun, @Sen_JoeManchin, @SenAngusKing, @SenatorLankford, @SenatorSinema &amp; @SenatorCollins for your c…",False,1600627186477797377,5,0,0,0
SenatorBraun,Senator Mike Braun,1600609818368155656,1080870981877534720,en,1600609818368155656,2022-12-07T21:54:53.000Z,RT @SaveLocalBiz: MAJOR NEWS: Six bipartisan Senators oppose @NLRB's joint employer rule @SenatorBraun @Sen_JoeManchin @SenatorLankford @Se…,False,1600609818368155656,12,0,0,0
SenatorBraun,Senator Mike Braun,1600582114910552065,1080870981877534720,en,1600582114910552065,2022-12-07T20:04:48.000Z,"RT @JudiciaryGOP: Re-hire all the troops kicked out of our military because of the #COVID19 vaccine mandate. 

Now.",False,1600582114910552065,504,0,0,0
SenatorBraun,Senator Mike Braun,1600574794671570944,1080870981877534720,en,1600574794671570944,2022-12-07T19:35:42.000Z,We need to give the Republican House a chance to weigh in. https://t.co/Yy7jWL9mAc,False,1600574794671570944,10,41,41,1
SenatorBraun,Senator Mike Braun,1600568863028035589,1080870981877534720,en,1600568863028035589,2022-12-07T19:12:08.000Z,Why would we let Nancy Pelosi negotiate a huge spending bill when the GOP House is being sworn in less than a month from now? Conservatives must stand strong! https://t.co/8uMVR71Ipk,False,1600568863028035589,32,80,80,2
SenatorBraun,Senator Mike Braun,1600545777914445824,1080870981877534720,en,1600545777914445824,2022-12-07T17:40:24.000Z,The American servicemen and women discharged due to their COVID vaccine objection should be reinstated with back pay.,False,1600545777914445824,33,98,98,2
SenatorBraun,Senator Mike Braun,1600537952232390656,1080870981877534720,en,1600537952232390656,2022-12-07T17:09:19.000Z,"It's been 81 years since the devastation at Pearl Harbor.

We will always remember this day and the sacrifices made by our servicemen in the name of fighting evil. https://t.co/rrcAlSk0Y5",False,1600537952232390656,10,19,19,1
SenatorBraun,Senator Mike Braun,1600513472885923840,1080870981877534720,en,1600513472885923840,2022-12-07T15:32:02.000Z,"Joe Biden says the invasion at the southern border is not important.

Meanwhile, our bravest men and women are given the impossible task of stopping millions of illegal crossings.

Mr. President – it’s time to take our border seriously.

@BPUnion 

https://t.co/BueSmCjdrx",False,1600513472885923840,74,119,119,10
SenatorBraun,Senator Mike Braun,1600511999926059012,1080870981877534720,en,1600511999926059012,2022-12-07T15:26:11.000Z,"RT @FreedomWorks: ⚠️ ""[#GOP] would be handing the keys over to Nancy Pelosi (who we just fired) to do all the spending according to what th…",False,1600511999926059012,22,0,0,0
SenatorBraun,Senator Mike Braun,1600510829987774465,1080870981877534720,en,1600510829987774465,2022-12-07T15:21:32.000Z,RT @SenRickScott: Whistleblower allegations that the HHS is knowingly transferring children to the custody of human traffickers are disgust…,False,1600510829987774465,66,0,0,0
SenatorBraun,Senator Mike Braun,1600508650191310854,1080870981877534720,en,1600508650191310854,2022-12-07T15:12:52.000Z,"The end of the vaccine mandate for troops will be a big win, and it's happening because conservatives stood strong for what we believe in and didn't back down.",False,1600508650191310854,50,163,163,10
SenatorBraun,Senator Mike Braun,1600267359012282368,1080870981877534720,en,1600267359012282368,2022-12-06T23:14:04.000Z,"Biden pledged to only go after the rich.

What does he do instead? He employs 87,000 new IRS agents to hassle lower &amp; middle class Americans just trying to get by.

Republicans must stop this. https://t.co/5bT40nrNKV",False,1600267359012282368,103,172,172,8
SenatorBraun,Senator Mike Braun,1600249708571598848,1080870981877534720,en,1600249708571598848,2022-12-06T22:03:56.000Z,"Why should low and middle income Americans have to jump through hoops during tax season over hundreds of dollars on Venmo when the federal government can't keep track of trillions?
https://t.co/OdWaRHLKn0.",False,1600249708571598848,25,29,29,3
SenatorBraun,Senator Mike Braun,1599872403022426112,1080870981877534720,en,1599872403022426112,2022-12-05T21:04:39.000Z,"RT @SenRickScott: Hardworking Americans gather around the kitchen table every month to make a budget and balance their checkbooks.
 
@SenTe…",False,1599872403022426112,61,0,0,0
SenatorBraun,Senator Mike Braun,1598440149674754050,1080870981877534720,en,1598440149674754050,2022-12-01T22:13:23.000Z,"RT @Heritage_Action: Thank you @SenMikeLee, @SenatorBraun, @SenTedCruz, &amp; @SenRickScott for calling for a short-term CR to fund the governm…",False,1598440149674754050,81,0,0,0
SenatorBraun,Senator Mike Braun,1598437106417913867,1080870981877534720,en,1598437106417913867,2022-12-01T22:01:18.000Z,RT @IngrahamAngle: Sen Mike Braun: People are sick and tired of Republicans caving to Democrats https://t.co/4Zxr0dcna8,False,1598437106417913867,305,0,0,0
SenatorBraun,Senator Mike Braun,1598434713726615553,1080870981877534720,en,1598434713726615553,2022-12-01T21:51:47.000Z,"RT @RobertBluey: The alternative, a short-term spending bill until early 2023, is the preferred path for @SenMikeLee, @SenTedCruz, @SenRick…",False,1598434713726615553,8,0,0,0
