handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorBurr,Richard Burr,1343746275867578371,21157904,en,1343746275867578371,2020-12-29T02:30:52.000Z,"My statement on the passing of Marc Basnight, who led the North Carolina Senate for nearly two decades: https://t.co/wu8iwEL455",False,1343746275867578371,21,2378,2378,43
SenatorBurr,Richard Burr,1256336308374364162,21157904,en,1256336308374364162,2020-05-01T21:34:52.000Z,"On Tuesday @ 9:30 AM, Senate Intel will hold its nomination hearing for the Director of National Intelligence.
 
While attendance will be limited due to current public health guidelines, the hearing will be livestreamed here: https://t.co/VR7Uboyvcw",False,1256336308374364162,35,2283,2283,73
SenatorBurr,Richard Burr,1253473047497097216,21157904,en,1253473047497097216,2020-04-23T23:57:17.000Z,I want to wish a blessed Ramadan to all who will be observing a month of fasting and prayer. https://t.co/6VJLtaeT3P,False,1253473047497097216,29,557,557,37
SenatorBurr,Richard Burr,1252634808620064770,21157904,en,1252634808620064770,2020-04-21T16:26:25.000Z,"With the 2020 presidential election approaching, it’s more important than ever that we remain vigilant against the threat of interference from hostile foreign actors.",False,1252634803003887619,66,404,404,53
SenatorBurr,Richard Burr,1252634806866894849,21157904,en,1252634806866894849,2020-04-21T16:26:25.000Z,"One of the ICA’s most important conclusions was that Russia’s aggressive interference efforts should be considered ‘the new normal.’
 
That warning has been borne out, as Russia and its imitators increasingly use information warfare to sow societal chaos and discord.",False,1252634803003887619,74,292,292,33
SenatorBurr,Richard Burr,1252634805210144768,21157904,en,1252634805210144768,2020-04-21T16:26:25.000Z,"In reviewing the ICA, the Senate Intelligence Committee looked at two key questions:
 
▪️Did the final product meet the initial task given by the President
▪️Was the analysis supported by the intelligence presented?
 
We found the ICA met both criteria.",False,1252634803003887619,13,115,115,20
SenatorBurr,Richard Burr,1252634803003887619,21157904,en,1252634803003887619,2020-04-21T16:26:24.000Z,"Today, the Senate Intel Committee released the fourth and penultimate volume in our bipartisan Russia investigation, which examines the 2017 Intelligence Community Assessment that identified Russian election interference: https://t.co/qFa0yKEfZU",False,1252634803003887619,118,775,775,118
SenatorBurr,Richard Burr,1252392241944879111,21157904,en,1252392241944879111,2020-04-21T00:22:33.000Z,"If you did not file a 2018 or 2019 tax return but do have dependents, register with the IRS by *Wednesday, 4/22 @ 12PM ET* to make sure you automatically receive an additional $500 per eligible child when you receive your $1,200 Economic Impact Payment. https://t.co/A8cpki1gyH",False,1252392241944879111,19,167,167,12
SenatorBurr,Richard Burr,1252313866731687941,21157904,en,1252313866731687941,2020-04-20T19:11:07.000Z,"Until then, you can #FindYourPark (virtually) from the safety of your own home. 2/2 https://t.co/FyUtG7NLoF",False,1252313865049833477,4,56,56,2
SenatorBurr,Richard Burr,1252313865049833477,21157904,en,1252313865049833477,2020-04-20T19:11:06.000Z,"#NationalParksWeek is a chance for us to celebrate the beauty of our country and the benefits of smart conservation. While some of our national parks are sadly closed today, they’ll all be waiting for us when the time is right to go out and enjoy the great outdoors. 1/2",False,1252313865049833477,5,120,120,12
SenatorBurr,Richard Burr,1249367510878769155,21157904,en,1249367510878769155,2020-04-12T16:03:21.000Z,"“He is not here; he has risen, just as he said. Come and see the place where he lay.”

Matthew 28:6

Wishing everyone a beautiful #EasterSunday, as even in difficult times we celebrate the hope we have through Christ’s resurrection. https://t.co/FPPCJzSpjl",False,1249367510878769155,13,363,363,16
