handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorCardin,Senator Ben Cardin,1601298636410826752,109071031,en,1601298636410826752,2022-12-09T19:32:00.000Z,"There really aren't any words that capture the anguish that has been a result of the 316 homicides recorded in Baltimore so far this year.

Addressing this longstanding problem needs to be a top priority for all stakeholders as we enter 2023. 

https://t.co/rX45BHFexp",False,1601298636410826752,3,3,3,0
SenatorCardin,Senator Ben Cardin,1601201245141680129,109071031,en,1601201245141680129,2022-12-09T13:05:00.000Z,"Grateful for our partnerships with Ukrainian leaders like @GoncharenkoUa and @AndriyYermak as we find ways to best support their fight against Russia's tyranny.

Our resolution to classify Russia's actions as genocide is gaining traction. We won't let up. @SenatorRisch",False,1601201245141680129,37,10,10,0
SenatorCardin,Senator Ben Cardin,1600949779860967425,109071031,en,1600949779860967425,2022-12-08T20:25:46.000Z,RT @AndriyYermak: The 🇺🇸 Senate will consider a resolution recognizing the Russian Federation's actions in 🇺🇦 as genocide. Thanks to @Senat…,False,1600949779860967425,220,0,0,0
SenatorCardin,Senator Ben Cardin,1600902956416524289,109071031,en,1600902956416524289,2022-12-08T17:19:42.000Z,"#BrittneyGriner was unjustly detained and cruelly used as a political bargaining chip by a corrupt Russian government. I am relieved that she is returning, but we must continue efforts to bring home former Marine Paul Whelan, who has been unjustly imprisoned in Russia since 2018. https://t.co/GwPSMGcn24",False,1600902956416524289,8,8,8,1
SenatorCardin,Senator Ben Cardin,1600851684191883264,109071031,en,1600851684191883264,2022-12-08T13:55:58.000Z,"Safe and on her way home. 
Magic words, Mr. President. 
Thank you for making this happen. https://t.co/TCzAUhIYez",False,1600851684191883264,7,7,7,1
SenatorCardin,Senator Ben Cardin,1600626796495785984,109071031,en,1600626796495785984,2022-12-07T23:02:21.000Z,"We’ve made some progress on this tough and longstanding problem through the #BipartisanSaferCommunitiesAct by strengthening background checks for gun buyers under 21 and investing in mental health resources, but we have to keep going.",False,1600626793135984641,1,1,1,0
SenatorCardin,Senator Ben Cardin,1600626793135984641,109071031,en,1600626793135984641,2022-12-07T23:02:20.000Z,"Almost every community in this country has been permanently changed by gun violence. 

Unfortunately we cannot ""thoughts and prayers"" our way out of this situation, but we can honor &amp; remember victims &amp; pass more gun safety legislation to #EndGunViolence.
https://t.co/qxvOvn0siC",False,1600626793135984641,4,6,6,2
SenatorCardin,Senator Ben Cardin,1600563142769012736,109071031,en,1600563142769012736,2022-12-07T18:49:24.000Z,"Hey @SenatorWarnock, I must say that ""51"" looks fantastic on you. Congratulations. #Democracywins 

https://t.co/ZKwCKCe4gd",False,1600563142769012736,24,8,8,0
SenatorCardin,Senator Ben Cardin,1600562947553923072,109071031,en,1600562947553923072,2022-12-07T18:48:38.000Z,RT @SenateForeign: I'm proud SFRC passed my resolution with @SenatorCardin that condemns the active #genocide against Ukrainians. What #Rus…,False,1600562947553923072,47,0,0,0
SenatorCardin,Senator Ben Cardin,1600521670359482370,109071031,en,1600521670359482370,2022-12-07T16:04:37.000Z,"Dec. 7, 1941 changed the course of American history. The Pearl Harbor attack shocked the nation, killing 2,403 people who were selflessly serving our nation to defend our way of life. We must honor them today and every day. #TheGreatestGeneration. https://t.co/0ePINY5syx",False,1600521670359482370,19,6,6,0
