handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorDurbin,Senator Dick Durbin,1601296914708041728,247334603,en,1601296914708041728,2022-12-09T19:25:09.000Z,"When a child experiences trauma, it harms their brain and can change the way they see the world. To help kids cope, thrive, and break the cycle of violence, @RepDannyDavis and I worked to secure $2.9 million for trauma-informed care in schools across Illinois. https://t.co/h4IDDCU3Vs",False,1601296914708041728,33,17,17,1
SenatorDurbin,Senator Dick Durbin,1601246223167459333,247334603,en,1601246223167459333,2022-12-09T16:03:43.000Z,SCOTUS's decision in Cummings v. Premier Rehab Keller is extremely harmful to those who have experienced emotional distress due to discrimination. @PattyMurray &amp; I introduced legislation to address the loophole that allowed this decision. https://t.co/EwcuXMk47z,False,1601246223167459333,22,3,3,1
SenatorDurbin,Senator Dick Durbin,1600952515834433537,247334603,en,1600952515834433537,2022-12-08T20:36:38.000Z,"I’m speaking live on the Senate floor about my friend, @senrobportman, and our shared work around Ukraine &amp; his support for the Respect for Marriage Act. https://t.co/ERELCUGFMS",False,1600952515834433537,20,43,43,4
SenatorDurbin,Senator Dick Durbin,1600952269406539776,247334603,en,1600952269406539776,2022-12-08T20:35:39.000Z,"I am honored to continue to serve @SenateDems as Whip and Chair of @JudiciaryDems. The midterm elections showed that Americans support the vision Senate Democrats, along with @POTUS and @VP Harris, have for the nation. And we will continue our work for the American people. https://t.co/sHMkZlZKdS",False,1600952269406539776,54,44,44,6
SenatorDurbin,Senator Dick Durbin,1600929220418732032,247334603,en,1600929220418732032,2022-12-08T19:04:04.000Z,"Latina workers are crucial to the American economy, yet on average, make 54 cents to every dollar made by white, non-Hispanic men. For the good of families and our economy, I’m committed to changing this reality. #LatinaEqualPayDay",False,1600929220418732032,31,17,17,1
SenatorDurbin,Senator Dick Durbin,1600920450523357185,247334603,en,1600920450523357185,2022-12-08T18:29:13.000Z,"RT @SpeakerPelosi: I began my career fighting for LGBTQ communities — and now, one of the final bills that I will sign as Speaker will ensu…",False,1600920450523357185,2532,0,0,0
SenatorDurbin,Senator Dick Durbin,1600916257406013440,247334603,en,1600916257406013440,2022-12-08T18:12:34.000Z,"This is a great day for marriage equality and a historic day for civil rights in our country.
 
The Respect for Marriage Act will ensure that same-sex and interracial marriages will be protected under federal law. Now, onto @POTUS's desk! https://t.co/Uv3nfsXZtm",False,1600916257406013440,50,10,10,3
SenatorDurbin,Senator Dick Durbin,1600902226578636800,247334603,en,1600902226578636800,2022-12-08T17:16:48.000Z,".@SFRCdems advanced @SenRubioPress &amp; I's bipartisan legislation to reauthorize the READ Act to expand access to basic education for children around the globe. Given the learning loss due to COVID-19 &amp; threats to girls’ education, this couldn't come at a more important time.",False,1600902226578636800,12,2,2,3
SenatorDurbin,Senator Dick Durbin,1600896826810449920,247334603,en,1600896826810449920,2022-12-08T16:55:21.000Z,"I am pleased that @JudiciaryDems has advanced the nomination of Colleen R. Lawless to fill a judicial vacancy in the CDIL in my hometown of Springfield. Judge Sue Myerscough leaves big shoes to fill, but I believe that Judge Lawless is up to the challenge. https://t.co/1HOyIzXupP",False,1600896826810449920,15,9,9,4
SenatorDurbin,Senator Dick Durbin,1600862851559993344,247334603,en,1600862851559993344,2022-12-08T14:40:21.000Z,"During our meeting yesterday, I encouraged members of @TheUSSCgov to take provisions from the First Step Act into account while they consider sentencing guideline amendments that will forever impact the lives of those facing the criminal justice system. https://t.co/277d6BQiW4",False,1600862851559993344,11,4,4,3
SenatorDurbin,Senator Dick Durbin,1600859147708555270,247334603,en,1600859147708555270,2022-12-08T14:25:37.000Z,And we cannot forget about Russian patriots sitting in Putin’s gulags for speaking truth about the war in Ukraine or domestic Russian oppression — brave voices such as Vladimir Kara-Murza and Alexei Navalny,False,1600859146265317376,96,15,15,2
SenatorDurbin,Senator Dick Durbin,1600859146265317376,247334603,en,1600859146265317376,2022-12-08T14:25:37.000Z,"Great news that Brittney Griner was released from a Russian prison!

I want to commend the Biden Admin for its tireless work to bring her home &amp; hope it can do the same for Paul Whelan who is also jailed under equally dubious circumstances by Putin.",False,1600859146265317376,69,62,62,3
SenatorDurbin,Senator Dick Durbin,1600615248465125379,247334603,en,1600615248465125379,2022-12-07T22:16:27.000Z,".@BradyCenter, @march_fourth_, &amp; health care workers gathered in support of the Assault Weapons Ban &amp; other common sense gun safety reforms. Doctors know firsthand of the devastation military-style weapons can cause &amp; Congress should once again ban them from civilian use. https://t.co/OJbTsFrTNo",False,1600615248465125379,43,44,44,3
SenatorDurbin,Senator Dick Durbin,1600606174117826579,247334603,en,1600606174117826579,2022-12-07T21:40:24.000Z,Today we remember the lives lost 81 years ago in the attack on Pearl Harbor. May we honor and remember our brave service members who made the ultimate sacrifice to protect our freedom. #PearlHarborRemembranceDay,False,1600606174117826579,29,11,11,3
SenatorDurbin,Senator Dick Durbin,1600594383279386624,247334603,en,1600594383279386624,2022-12-07T20:53:33.000Z,"Today, I joined @MLB to announce a requirement to have protective netting from foul pole to foul pole at all minor league ballparks. I want to thank fans and players for their advocacy, and MLB and @MiLB for their efforts to ensure fan safety. https://t.co/9gYHULUCMk",False,1600594383279386624,17,16,16,4
