handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorFischer,Senator Deb Fischer,1601252445489074176,1071402577,en,1601252445489074176,2022-12-09T16:28:27.000Z,"This week, our Safe Connections Act was signed into law. Soon, survivors of domestic violence will be able to free their communications from abusers’ control and regain their independence. https://t.co/QW55HYG4qM",False,1601252445489074176,2,2,2,1
SenatorFischer,Senator Deb Fischer,1600909764019429377,1071402577,en,1600909764019429377,2022-12-08T17:46:45.000Z,"I am particularly pleased that this year’s NDAA makes significant investments in strengthening our nuclear deterrent and expanding munitions production, among other key priorities. Let’s get this bill signed into law without delay. https://t.co/5ydjecMMQ5",False,1600909762501267456,1,4,4,0
SenatorFischer,Senator Deb Fischer,1600909762501267456,1071402577,en,1600909762501267456,2022-12-08T17:46:45.000Z,"Yet again, Congress had to step in and counter President Biden’s misguided, inadequate defense proposals. Our efforts are essential to ensuring the United States is fully prepared to withstand the challenges of an increasingly dangerous world.",False,1600909762501267456,1,19,19,0
SenatorFischer,Senator Deb Fischer,1600585337926975490,1071402577,en,1600585337926975490,2022-12-07T20:17:36.000Z,"RT @GrowthEnergy: To keep prices down at the pump all year, @SenatorFischer and @SenAmyKlobuchar introduced the Consumer and Fuel Retailer…",False,1600585337926975490,2,0,0,0
SenatorFischer,Senator Deb Fischer,1600556315515813888,1071402577,en,1600556315515813888,2022-12-07T18:22:17.000Z,"On this fateful day in 1941 – a date which will live in infamy – Pearl Harbor was attacked. 2,403 Americans lost their lives, including 22 Nebraskans. 81 years later, we continue to hold in our hearts the brave service members who made the ultimate sacrifice to defend the nation. https://t.co/9OvyfF064z",False,1600556315515813888,5,12,12,0
SenatorFischer,Senator Deb Fischer,1600172356366135296,1071402577,en,1600172356366135296,2022-12-06T16:56:34.000Z,The American people have a right to know about the severity of the threats we face – including China’s dramatic nuclear buildup. Sharing declassified information will help the public better understand the importance of investing in our national defense. https://t.co/NPIX6t2xzm,False,1600172356366135296,8,23,23,2
SenatorFischer,Senator Deb Fischer,1599858410727432193,1071402577,en,1599858410727432193,2022-12-05T20:09:03.000Z,"Great to attend the unveiling of the new B-21 Raider on Friday.

This next-gen stealth bomber will provide a significant capability upgrade to our aging fleet and send a strong message to our adversaries.

📸 with @SenAngusKing and @usairforce Secretary Frank Kendall https://t.co/dQau1rjKes",False,1599858410727432193,2,16,16,1
SenatorFischer,Senator Deb Fischer,1599064144292229122,1071402577,zxx,1599064144292229122,2022-12-03T15:32:55.000Z,https://t.co/SEIm7ovHw4,False,1599064144292229122,3,11,11,0
SenatorFischer,Senator Deb Fischer,1598765452884312080,1071402577,en,1598765452884312080,2022-12-02T19:46:02.000Z,"Looking forward to joining @RepAdamSmith, @KarlRove, and @BradSmi tomorrow morning at the @ReaganInstitute’s #RNDF. We'll be discussing the American people's views on national security issues.

RSVP now to watch the discussion live at 9:15 am CT tomorrow: https://t.co/LeE8kHvUhA",False,1598765452884312080,2,11,11,1
SenatorFischer,Senator Deb Fischer,1598104907437178880,1071402577,zxx,1598104907437178880,2022-12-01T00:01:15.000Z,https://t.co/GyWrGQSFNT https://t.co/Kf25lqG34R,False,1598104907437178880,7,20,20,3
