handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorHassan,Sen. Maggie Hassan,1601298208172363777,946549322,en,1601298208172363777,2022-12-09T19:30:18.000Z,"Our defense bill comes at a critical time — and will help keep our country safe, secure, and free. 
 
The NDAA includes bipartisan priorities that I fought for, such as:
- continuing to stand up to Putin
- cracking down on drug traffickers
- protecting Granite Staters from PFAS",False,1601298208172363777,7,9,9,0
SenatorHassan,Sen. Maggie Hassan,1601239851319189504,946549322,en,1601239851319189504,2022-12-09T15:38:24.000Z,"Chesty XVI, Marine Corps Mascot. Pleasure to meet you. https://t.co/b10Nu9KAAh",False,1601239851319189504,9,4,4,1
SenatorHassan,Sen. Maggie Hassan,1600967198146965504,946549322,en,1600967198146965504,2022-12-08T21:34:59.000Z,"Every year, the Marine Corps collects toys for children across the country.

It’s their 75th anniversary, and the Veterans’ Affairs committee hosted a donation drive this week to celebrate.

Happy holidays! 🎁 https://t.co/wcTDXX5cNI",False,1600967198146965504,16,3,3,0
SenatorHassan,Sen. Maggie Hassan,1600900913366913024,946549322,en,1600900913366913024,2022-12-08T17:11:35.000Z,"The House passed the Respect for Marriage Act - and it’s ready to be signed into law.

It's past time we send a resounding message to the American people: love is celebrated in our democracy. 🏳️‍🌈",False,1600900913366913024,47,35,35,1
SenatorHassan,Sen. Maggie Hassan,1600869125277958144,946549322,en,1600869125277958144,2022-12-08T15:05:16.000Z,"Granite Staters need internet access to stay connected with loved ones, finish homework, or grow their business.
 
Our new federal funding is on its way to helping more New Hampshire families get online. https://t.co/COYHMCnDV2",False,1600869125277958144,9,6,6,1
SenatorHassan,Sen. Maggie Hassan,1600587197228453895,946549322,en,1600587197228453895,2022-12-07T20:24:59.000Z,"Granite Staters are in DC today advocating for an enhanced Child Tax Credit.

Thank you for sharing your powerful stories. https://t.co/XptGAfYrjE",False,1600587197228453895,15,10,10,2
SenatorHassan,Sen. Maggie Hassan,1600515905720668163,946549322,en,1600515905720668163,2022-12-07T15:41:42.000Z,"December 7, 1941.

We must never forget Pearl Harbor. https://t.co/zQZU1wXWgq",False,1600515905720668163,24,16,16,0
SenatorHassan,Sen. Maggie Hassan,1600498908043542529,946549322,en,1600498908043542529,2022-12-07T14:34:10.000Z,"Bravery and sacrifice. 

Volodymyr Zelensky and the spirit of Ukraine: an excellent selection for Time’s Person of the Year. https://t.co/GhXWg74yrY",False,1600498908043542529,21,27,27,2
SenatorHassan,Sen. Maggie Hassan,1600255930565767168,946549322,en,1600255930565767168,2022-12-06T22:28:39.000Z,"NEWS: My bill to improve detection of children’s hearing loss is headed to the President’s desk to be signed into law.

If hearing problems go undetected early in life, kids can face long-term challenges. 

Every child deserves the opportunity to thrive.",False,1600255930565767168,21,16,16,1
SenatorHassan,Sen. Maggie Hassan,1600245839321911296,946549322,en,1600245839321911296,2022-12-06T21:48:33.000Z,"Fire fighters work day and night to keep our towns and cities safe. They should not have to worry about PFAS exposure.

My bill helping prevent it is ready for the President to sign. https://t.co/RNK2tSKoq3",False,1600245839321911296,16,2,2,1
SenatorHassan,Sen. Maggie Hassan,1600237280815243264,946549322,en,1600237280815243264,2022-12-06T21:14:33.000Z,"NEW: I’ve pushed to make naloxone available over the counter nationwide. The FDA announced today that it’s fast-tracking a manufacturer's application.

This will help save lives.",False,1600237280815243264,19,10,10,0
SenatorHassan,Sen. Maggie Hassan,1600198287847739392,946549322,en,1600198287847739392,2022-12-06T18:39:36.000Z,"In New Hampshire, we put differences aside to get results. It's the Granite State way.

Like we discussed at my Innovate NH forum, the bipartisan CHIPS &amp; Science Act strengthens our economy and workforce.

I'll keep working across the aisle to deliver for Granite Staters. https://t.co/UFudd9yWuO",False,1600198287847739392,4,6,6,1
