handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorHick,Senator John Hickenlooper,1601223866713800705,1318728336923787264,en,1601223866713800705,2022-12-09T14:34:53.000Z,We have wonderful news to share! https://t.co/lYbi7kr2T1,False,1601223866713800705,41,43,43,12
SenatorHick,Senator John Hickenlooper,1601016744562548737,1318728336923787264,en,1601016744562548737,2022-12-09T00:51:52.000Z,"Affordable health care for you and your family. 

We want it, Connect for Health Colorado has it.

Sign up today 👇
https://t.co/LARvNNFlyU",False,1601016744562548737,8,9,9,0
SenatorHick,Senator John Hickenlooper,1600944206091980800,1318728336923787264,en,1600944206091980800,2022-12-08T20:03:37.000Z,"Internet.

Fast.
Reliable.
Affordable.
Everywhere.
Soon.",False,1600944206091980800,7,19,19,2
SenatorHick,Senator John Hickenlooper,1600890133519433733,1318728336923787264,und,1600890133519433733,2022-12-08T16:28:45.000Z,🥳🏳️‍🌈 https://t.co/g6ZLNPYXUj,False,1600890133519433733,16,19,19,0
SenatorHick,Senator John Hickenlooper,1600581716426506257,1318728336923787264,en,1600581716426506257,2022-12-07T20:03:13.000Z,"Connecting *every* school, business, and house is how we ensure no one is left behind. There’s no time to lose. https://t.co/9CcsgqQuRK",False,1600581716426506257,6,9,9,1
SenatorHick,Senator John Hickenlooper,1600524028791373830,1318728336923787264,en,1600524028791373830,2022-12-07T16:13:59.000Z,"Human lives are not political props. Denver will welcome these migrants with open arms and help any way they can. We will be empathetic to people put in a difficult situation.

Instead of playing partisan games, let’s tackle our broken immigration system once and for all. https://t.co/fHUUxV6iEl",False,1600524028791373830,110,176,176,12
SenatorHick,Senator John Hickenlooper,1600512531142959104,1318728336923787264,en,1600512531142959104,2022-12-07T15:28:18.000Z,"Today we remember the lives lost at Pearl Harbor 81 years ago, and honor the men and women who courageously defended our nation in WWII. 🇺🇸",False,1600512531142959104,19,3,3,0
SenatorHick,Senator John Hickenlooper,1600255692333424642,1318728336923787264,en,1600255692333424642,2022-12-06T22:27:43.000Z,This #ColoradoGivesDay be sure to give back to your community by supporting your favorite non-profit or organization – every bit counts!,False,1600255692333424642,7,7,7,0
SenatorHick,Senator John Hickenlooper,1600153553049292800,1318728336923787264,en,1600153553049292800,2022-12-06T15:41:51.000Z,"Cannabis.
Marijuana.
Weed.
Reefer.

Soon we'll be calling it something else:

LEGAL! https://t.co/rcRmRKnC8p",False,1600153553049292800,407,127,127,51
SenatorHick,Senator John Hickenlooper,1599924823534186496,1318728336923787264,en,1599924823534186496,2022-12-06T00:32:57.000Z,"Hey Colorado! We’re connecting every house to high-speed broadband – but we need your help:

1️⃣ Head over to https://t.co/NLU7nXMtvN
2️⃣ Look up your address and see if the data matches your experience
3️⃣ Submit changes to fix any errors

These maps will help determine funding!",False,1599924823534186496,21,12,12,0
SenatorHick,Senator John Hickenlooper,1599867281923678208,1318728336923787264,en,1599867281923678208,2022-12-05T20:44:18.000Z,"Shoutout to Loveland locals John &amp; Joan Creed on their humbelievable idea!
https://t.co/befKwfA2xz",False,1599867281923678208,6,3,3,0
SenatorHick,Senator John Hickenlooper,1599803416850890754,1318728336923787264,und,1599803416850890754,2022-12-05T16:30:32.000Z,💁‍♂️ https://t.co/clIZJyKEcF,False,1599803416850890754,38,49,49,15
SenatorHick,Senator John Hickenlooper,1599538563577655296,1318728336923787264,en,1599538563577655296,2022-12-04T22:58:06.000Z,"While the Respect for Marriage Act shows how far we’ve come, the events at Club Q show how much work still lies ahead. We cannot slide back. https://t.co/mEr1ViG2gU",False,1599538563577655296,48,32,32,1
SenatorHick,Senator John Hickenlooper,1599471860327927808,1318728336923787264,en,1599471860327927808,2022-12-04T18:33:02.000Z,"Federal legalization doesn't have to start from scratch. Our PREPARE Act will make sure it doesn’t.
https://t.co/zS77ANUgSZ",False,1599471860327927808,11,17,17,0
SenatorHick,Senator John Hickenlooper,1599102569678532609,1318728336923787264,en,1599102569678532609,2022-12-03T18:05:37.000Z,"Tribes have waited too long for connectivity. That changes now. The Southern Ute Indian Ute Tribe is set to receive $44 million from our Bipartisan Infrastructure Law to deploy high-speed internet to nearly 2,000 Native American households, community institutions, and businesses.",False,1599102569678532609,175,55,55,11
SenatorHick,Senator John Hickenlooper,1598786708832628737,1318728336923787264,en,1598786708832628737,2022-12-02T21:10:30.000Z,It’s hard not to see Club Q in the context of a rise in hate speech toward the LGBTQ+ community – fueled largely by politicians and public figures. This is not who we are. https://t.co/EeSdM8BCE9,False,1598786708832628737,36,43,43,2
SenatorHick,Senator John Hickenlooper,1598722581858770945,1318728336923787264,en,1598722581858770945,2022-12-02T16:55:41.000Z,RT if you think marijuana should be legal 🤗,False,1598722581858770945,3111,251,251,100
SenatorHick,Senator John Hickenlooper,1598477398621945857,1318728336923787264,en,1598477398621945857,2022-12-02T00:41:24.000Z,"A decade after Colorado pioneered marijuana legalization, Americans overwhelmingly support the same at the federal level.

Our PREPARE Act will create a bipartisan, bicameral framework, based on Colorado’s Amendment 64 Task Force, and will replicate our success nationally.",False,1598477398621945857,98,54,54,7
SenatorHick,Senator John Hickenlooper,1598449724943917056,1318728336923787264,en,1598449724943917056,2022-12-01T22:51:26.000Z,"What a day! @EnergyDems had a hearing on TWO of our bills to:

✅ Help conserve the Colorado River 
✅ Protect the Dolores River

This is a big win for Colorado’s waters and public lands. Onward!",False,1598449724943917056,16,2,2,0
SenatorHick,Senator John Hickenlooper,1598419410686976011,1318728336923787264,en,1598419410686976011,2022-12-01T20:50:59.000Z,Rail workers deserve better. That's why I voted no.,False,1598419410686976011,425,345,345,72
SenatorHick,Senator John Hickenlooper,1598375309220335616,1318728336923787264,en,1598375309220335616,2022-12-01T17:55:44.000Z,Why is Sam Bankman-Fried all over your timeline? Here’s why 👇 https://t.co/N1FtZqeo5T,False,1598375309220335616,13,10,10,1
SenatorHick,Senator John Hickenlooper,1598337534517551104,1318728336923787264,en,1598337534517551104,2022-12-01T15:25:38.000Z,"Hey! I’m chairing a subcommittee hearing on Earth observation programs that’ll advance science, facilitate conservation efforts, and spur economic growth.

Tune in to learn more about surf, turf, and what’s above our Earth! 👇
https://t.co/eHlrwOk92l",False,1598337534517551104,6,5,5,2
SenatorHick,Senator John Hickenlooper,1598105252061855744,1318728336923787264,en,1598105252061855744,2022-12-01T00:02:38.000Z,On the Senate floor remembering the victims of Club Q. Tune in below 👇 https://t.co/DEJkeDeYMQ,False,1598105252061855744,13,8,8,1
SenatorHick,Senator John Hickenlooper,1598062872981958656,1318728336923787264,en,1598062872981958656,2022-11-30T21:14:14.000Z,Railroad companies are holding the American economy hostage over 56 annual hours of sick leave. Here's what's up: https://t.co/Vwf0YvQdkC,False,1598062872981958656,133,43,43,16
SenatorHick,Senator John Hickenlooper,1598033679770882048,1318728336923787264,en,1598033679770882048,2022-11-30T19:18:13.000Z,We’ve got a front row seat to history – and the view is out of this world! 🌏 https://t.co/pU5OFOlnF0,False,1598033679770882048,14,1,1,0
SenatorHick,Senator John Hickenlooper,1597976364837064704,1318728336923787264,en,1597976364837064704,2022-11-30T15:30:28.000Z,"No worker should worry about reprisal from their employer for suddenly getting sick, going to the doctor or attending their mother’s funeral.

Any bill should include the SEVEN days of sick leave rail workers have asked for.",False,1597976364837064704,88,38,38,5
SenatorHick,Senator John Hickenlooper,1597732364071100418,1318728336923787264,zxx,1597732364071100418,2022-11-29T23:20:54.000Z,https://t.co/PmU1PBvGbu,False,1597732364071100418,34,38,38,4
SenatorHick,Senator John Hickenlooper,1597699079064387584,1318728336923787264,en,1597699079064387584,2022-11-29T21:08:38.000Z,"Railroad companies are holding the American economy hostage over 56 annual hours of sick leave.

We can keep our economy humming, our supply chains open, AND treat workers with dignity.",False,1597699079064387584,2326,398,398,112
SenatorHick,Senator John Hickenlooper,1597665560720211968,1318728336923787264,en,1597665560720211968,2022-11-29T18:55:27.000Z,"Look at our Bipartisan Infrastructure Law go! To date, over $1.1 billion has been delivered to Colorado of the  nearly $3 billion already announced. Giddy up! https://t.co/U1vT0hxQai",False,1597665560720211968,12,7,7,1
