handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorLeahy,Sen. Patrick Leahy,1600917507371855872,242836537,en,1600917507371855872,2022-12-08T18:17:32.000Z,"The bill also guarantees recognition of interracial marriage, not previously in Federal law. The marriages of Vermonters should be respected anywhere in the U.S. and this law will make that possible.",False,1600917505060573193,5,3,3,0
SenatorLeahy,Sen. Patrick Leahy,1600917505060573193,242836537,en,1600917505060573193,2022-12-08T18:17:31.000Z,Love is love. It has been more than 13 years since #Vermont legalized same-sex marriage. I am proud to see the marriages of Vermonters are respected anywhere in the U.S. with the passage of the #RespectForMarriageAct.,False,1600917505060573193,19,5,5,0
SenatorLeahy,Sen. Patrick Leahy,1600915358919331841,242836537,en,1600915358919331841,2022-12-08T18:08:59.000Z,"RT @POTUS: Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",False,1600915358919331841,69063,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1600891778554826753,242836537,en,1600891778554826753,2022-12-08T16:35:17.000Z,"RT @JayTilton: @SenatorLeahy ""Democrats agree with our Republican colleagues that #inflation threatens our national security.  However, non…",False,1600891778554826753,3,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1600891679518511106,242836537,en,1600891679518511106,2022-12-08T16:34:54.000Z,"RT @JayTilton: @SenatorLeahy ""For months, Democrats have asked our Republican colleagues to join us at the negotiating table.  For months w…",False,1600891679518511106,1,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1600586454664609793,242836537,en,1600586454664609793,2022-12-07T20:22:02.000Z,Senate Passes The Leahy-Led Unleashing American Innovators Act https://t.co/Iqa9XlP4MW,False,1600586454664609793,15,2,2,0
SenatorLeahy,Sen. Patrick Leahy,1600532161383497738,242836537,en,1600532161383497738,2022-12-07T16:46:18.000Z,My Unleashing American Innovators Act is a win-win. It will open up our IP system to more innovators of all walks of life. And it will strengthen our economy &amp; secure our place as the world’s innovation capital. Let’s get this bill enacted. Let’s #UnleashAmericanInnovators,False,1600532159172853762,9,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1600532159172853762,242836537,en,1600532159172853762,2022-12-07T16:46:17.000Z,I’m so glad the Senate unanimously passed my bipartisan Unleashing American Innovators Act last night. This bill will help us better tap into America’s greatest natural resource: the genius of the American people. The House should take it up and pass it swiftly!,False,1600532159172853762,22,2,2,0
SenatorLeahy,Sen. Patrick Leahy,1600186192430960643,242836537,en,1600186192430960643,2022-12-06T17:51:32.000Z,"I was pleased to welcome Vermont’s Bishop Coyne to Washington today, as the Senate’s guest chaplain, to deliver this morning’s invocation opening the Senate session. https://t.co/VHMlpbxLkv",False,1600186192430960643,6,1,1,0
SenatorLeahy,Sen. Patrick Leahy,1600148202086227969,242836537,en,1600148202086227969,2022-12-06T15:20:35.000Z,"RT @HowardMortman: ""Send some snow upon the ski slopes of Vermont soon.""

-- prayer by Senate guest chaplain Bishop Christopher Coyne -  Di…",False,1600148202086227969,6,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1599858796641210370,242836537,en,1599858796641210370,2022-12-05T20:10:35.000Z,RT @elwasson: APPROPRIATIONS: @POTUS hosted @SenatorLeahy and @SenShelby to discuss omnibus at lunch today at White House,False,1599858796641210370,10,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1599162049569095680,242836537,en,1599162049569095680,2022-12-03T22:01:58.000Z,"RT @AtBennington: This fall, Bennington College and the community gathered for a conversation with U.S. @SenatorLeahy, and to formally name…",False,1599162049569095680,4,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1598763746255568925,242836537,en,1598763746255568925,2022-12-02T19:39:15.000Z,The 25th anniversary of the int’l treaty banning landmines is tomorrow. It is long past time for the U.S. to join with 164 other nations and renounce these inhumane weapons. https://t.co/ft44JzZIYO https://t.co/L5398nKnQk https://t.co/k9ZpqIAFLn,False,1598763746255568925,35,3,3,3
SenatorLeahy,Sen. Patrick Leahy,1598714113290559488,242836537,en,1598714113290559488,2022-12-02T16:22:01.000Z,"RT @RepMcGovern: Today marks the 42nd Anniversary of the martyrdom in El Salvador of Maryknoll Sisters Ita Ford and Maura Clarke, Ursuline…",False,1598714113290559488,66,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1598382503496413184,242836537,en,1598382503496413184,2022-12-01T18:24:20.000Z,"Thank you, @LeaderMcConnell for your kind words today. I am proud of the work we have been able to accomplish together. https://t.co/rQez6zvOPN",False,1598382503496413184,6,9,9,3
SenatorLeahy,Sen. Patrick Leahy,1598348788464230404,242836537,en,1598348788464230404,2022-12-01T16:10:21.000Z,"By making our IP system more accessible to Americans of all walks of life, the bipartisan Unleashing American Innovators Act would boost our economy &amp; strengthen our place as the world's innovation capital. Let's get this bill done. #LetsUnleashAmericanInnovation",False,1598348788464230404,7,2,2,0
SenatorLeahy,Sen. Patrick Leahy,1598348775508041728,242836537,en,1598348775508041728,2022-12-01T16:10:18.000Z,"Today, my bipartisan IP bill w/ @SenThomTillis and @maziehirono, the Unleashing American Innovators Act, unanimously passed out of the Judiciary Committee. This bill would help us better tap into America's greatest natural resource: the ingenuity of the American people.",False,1598348775508041728,8,3,3,0
SenatorLeahy,Sen. Patrick Leahy,1598348750916911104,242836537,en,1598348750916911104,2022-12-01T16:10:12.000Z,"RT @cspan: CLIP: @LeaderMcConnell delivers a tribute to @SenatorLeahy.

Sen. Leahy in his response: ""I will miss so many friends I've made.…",False,1598348750916911104,17,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1598348730117378048,242836537,en,1598348730117378048,2022-12-01T16:10:07.000Z,"RT @uspto: This week, the USPTO joined the @CopyrightOffice to honor @SenatorLeahy’s 48 years in the U.S. Senate and his considerable contr…",False,1598348730117378048,8,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1598293100144705536,242836537,en,1598293100144705536,2022-12-01T12:29:04.000Z,RT @NGAUS1878: @SenatorLeahy reflects on his time in the Senate and his advocacy on behalf of members of the National Guard.   https://t.co…,False,1598293100144705536,4,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1598293065050923009,242836537,en,1598293065050923009,2022-12-01T12:28:56.000Z,RT @LizSchrayer: It’s a true honor to host #USGLCTribute tonight on #WorldAIDSDay as we pay tribute to remarkable champions of U.S. global…,False,1598293065050923009,7,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1597971877825171456,242836537,en,1597971877825171456,2022-11-30T15:12:39.000Z,It makes me very proud that #VT continues to be a leader in green innovation. #BraveLittleState https://t.co/iDqnngtNqV,False,1597971877825171456,5,5,5,1
SenatorLeahy,Sen. Patrick Leahy,1597963528136450050,242836537,en,1597963528136450050,2022-11-30T14:39:28.000Z,"ALL Americans should have the right to marry--the right to love someone and build a life with them--regardless of gender or race. The Senate took one step closer last night to enacting that right. Looking forward to action from the House, then on to POTUS.",False,1597963528136450050,35,20,20,2
SenatorLeahy,Sen. Patrick Leahy,1597737305988804608,242836537,en,1597737305988804608,2022-11-29T23:40:32.000Z,"BREAKING: Leahy REAX As Senate Tonite Passes The RESPECT FOR MARRIAGE Act, Repealing the Defense of Marriage Act (DOMA) – https://t.co/jhAhJ2DtZ2",False,1597737305988804608,10,5,5,1
SenatorLeahy,Sen. Patrick Leahy,1597720194604232704,242836537,en,1597720194604232704,2022-11-29T22:32:33.000Z,"Was so honored to be recognized by @uspto &amp; @CopyrightOffice for my legislative legacy on intellectual property issues. As I said during my remarks, I could not have accomplished anything w/out partners in Congress, the Exec. Branch, and our dedicated staff. https://t.co/IaXQLRiV0p",False,1597720194604232704,9,4,4,1
SenatorLeahy,Sen. Patrick Leahy,1597663674457788418,242836537,en,1597663674457788418,2022-11-29T18:47:57.000Z,RT @POTUS: We believe that we will win. https://t.co/Q03F8so0mK,False,1597663674457788418,4131,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1597641471104282624,242836537,en,1597641471104282624,2022-11-29T17:19:44.000Z,Senate Unanimously Passes The Leahy-Grassley Patents For Humanity Act Of 2022 @GrassleyPress https://t.co/bWIw3uEX1t https://t.co/xWBKyjnCOn,False,1597641471104282624,13,6,6,0
SenatorLeahy,Sen. Patrick Leahy,1597610827825426432,242836537,en,1597610827825426432,2022-11-29T15:17:58.000Z,"I am saddened by the announcement that the northern long-eared bat is now considered endangered by #USWF. In my remaining days in the Senate, as we finalize #Appropriations bills, I will continue the work I’ve led for many years to secure funding for white-nose syndrome research.",False,1597610827825426432,16,2,2,1
SenatorLeahy,Sen. Patrick Leahy,1597324277035909120,242836537,en,1597324277035909120,2022-11-28T20:19:19.000Z,"Honduran President Xiomara Castro pledged to support an independent CICIH under UN auspices.  It is time to honor that pledge, and to put Honduras on a path to real justice and accountability where no one is above the law. https://t.co/SirNVoHKk7",False,1597324277035909120,181,74,74,56
SenatorLeahy,Sen. Patrick Leahy,1597289558848442368,242836537,en,1597289558848442368,2022-11-28T18:01:21.000Z,Congratulations to Montpelier on receiving $13.5M in #usdaRD for an innovative wastewater project that will both reduce carbon emissions and increase revenue.,False,1597289558848442368,8,5,5,0
SenatorLeahy,Sen. Patrick Leahy,1595970382519234561,242836537,en,1595970382519234561,2022-11-25T02:39:25.000Z,This week I slipped out of my office in the Capitol and went out on the balcony so Marcelle and I could watch the Capitol tree going up. Looks a lot more like winter back home in Vermont but it is an historical view with the Washington Monument on the Mall. https://t.co/IuM6UEOSvx,False,1595970382519234561,24,14,14,1
SenatorLeahy,Sen. Patrick Leahy,1595810100002033664,242836537,en,1595810100002033664,2022-11-24T16:02:31.000Z,"RT @leahycenter: “What if, today, we were grateful for everything?” —Charlie Brown #thanksgiving #thankful",False,1595810100002033664,12,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1595786904976429056,242836537,en,1595786904976429056,2022-11-24T14:30:21.000Z,Marcelle and I wish a Happy #Thanksgiving to all!,False,1595786904976429056,8,10,10,2
SenatorLeahy,Sen. Patrick Leahy,1594863315724951555,242836537,en,1594863315724951555,2022-11-22T01:20:20.000Z,RT @leahycenter: I'm currently leading a team in building a custom Windows 10 installation for our Digital Forensics lab. I created documen…,False,1594863315724951555,1,0,0,0
SenatorLeahy,Sen. Patrick Leahy,1594833970214342658,242836537,en,1594833970214342658,2022-11-21T23:23:43.000Z,The Latin American and Caribbean nations deserve praise for electing a president of the IDB from the region and with the experience and temperament to repair the damage inflicted during the past two years and focus on pressing challenges. https://t.co/JMFzZsePKH,False,1594833970214342658,7,7,7,0
SenatorLeahy,Sen. Patrick Leahy,1593810869854650368,242836537,en,1593810869854650368,2022-11-19T03:38:17.000Z,RT @annieshiel: NEW: @SenWarren @SenatorLeahy @SenatorDurbin @RepMalinowski @RepJasonCrow @RepSaraJacobs urge @SecDef to review past cases…,False,1593810869854650368,16,0,0,0
