handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorRisch,Jim Risch,1600607331187920897,1096059529,en,1600607331187920897,2022-12-07T21:45:00.000Z,The Support Local Gems: All Season Long initiative is an important reminder and opportunity for Idahoans to give back to the small businesses that serve our communities every day and ensure they stick around for years to come. #SupportLocalGems https://t.co/iIuW9mmTX4,False,1600607331187920897,3,35,35,1
SenatorRisch,Jim Risch,1600594664691798017,1096059529,zxx,1600594664691798017,2022-12-07T20:54:40.000Z,RT @SenateGOP: https://t.co/4lSW8D9MYz,False,1600594664691798017,38,0,0,0
SenatorRisch,Jim Risch,1600564265202556929,1096059529,zxx,1600564265202556929,2022-12-07T18:53:52.000Z,https://t.co/85WnnpjnVg,False,1600564262589579285,1,19,19,1
SenatorRisch,Jim Risch,1600564262589579285,1096059529,en,1600564262589579285,2022-12-07T18:53:51.000Z,"Today, the @SenateForeign Committee passed my International Nuclear Energy Act.

The @INL is a world leader in both nuclear energy and security. This legislation allows us to double down on the innovation being fostered right here in Idaho and use it to exert influence worldwide.",False,1600564262589579285,3,23,23,2
SenatorRisch,Jim Risch,1600521393288130560,1096059529,en,1600521393288130560,2022-12-07T16:03:31.000Z,"Today, we remember the lives lost in the attack on Pearl Harbor and salute the heroes who so bravely answered the call to defend our country. https://t.co/TLD9oxyXFv",False,1600521393288130560,6,33,33,1
SenatorRisch,Jim Risch,1600197620378394624,1096059529,en,1600197620378394624,2022-12-06T18:36:57.000Z,RT @visitidaho: Idahoans are encouraged to “Support Local Gems: All Season Long”,False,1600197620378394624,3,0,0,0
SenatorRisch,Jim Risch,1600197375733006338,1096059529,en,1600197375733006338,2022-12-06T18:35:59.000Z,Skip the big-box stores for your holiday shopping this year and support the local gems – small businesses – that make your community special. #SupportLocalGems,False,1600197375733006338,4,29,29,2
SenatorRisch,Jim Risch,1600168552337506308,1096059529,en,1600168552337506308,2022-12-06T16:41:27.000Z,"RT @SenateGOP: Republicans believe in energy independence. 

Democrats believe in making foreign dictators richer.",False,1600168552337506308,563,0,0,0
SenatorRisch,Jim Risch,1600167802895159299,1096059529,en,1600167802895159299,2022-12-06T16:38:28.000Z,"It’s time to invest in the full potential of American-made energy.

Let’s increase lease sales, approve drilling permits, and open federal lands.",False,1600167802895159299,67,126,126,5
SenatorRisch,Jim Risch,1599939681826836487,1096059529,en,1599939681826836487,2022-12-06T01:32:00.000Z,"In Idaho, small business is big business and the holiday season is often the most critical time of the year for these local gems. 

Here are a few ways Idahoans can #SupportLocalGems: https://t.co/WaH4mAhEKb",False,1599939681826836487,6,59,59,1
