handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorRomney,Senator Mitt Romney,1601313392350068739,1078693601356509184,en,1601313392350068739,2022-12-09T20:30:38.000Z,"A shrinking Great Salt Lake poses a significant threat to Utah and our neighboring states. If it runs dry, exposed dusts and metals at the lakebed could seriously harm our health and wellbeing. To save the Lake, we need to dramatically reduce our water usage in Utah and the West. https://t.co/yTboZbZney",False,1601313392350068739,10,24,24,1
SenatorRomney,Senator Mitt Romney,1601279117252386816,1078693601356509184,en,1601279117252386816,2022-12-09T18:14:26.000Z,The critical minerals required for batteries &amp; solar panels largely come from China because we’re not mining enough here at home. We cannot afford for the CCP to be the global leader in energy production—we need a strategy for how we will lead the world in the new energy economy. https://t.co/bqkVFnLuL3,False,1601279117252386816,32,33,33,7
SenatorRomney,Senator Mitt Romney,1601248660100374531,1078693601356509184,en,1601248660100374531,2022-12-09T16:13:24.000Z,Nuclear energy is non-emitting and available right now. It can be used alongside other reliable sources to power our economies as we continue to invest in clean energy technology for the future. Believing that we can become totally powered by wind and solar overnight is foolish. https://t.co/9pqUryJsoF,False,1601248660100374531,77,69,69,12
SenatorRomney,Senator Mitt Romney,1601219856589733888,1078693601356509184,en,1601219856589733888,2022-12-09T14:18:57.000Z,"From COVID relief to infrastructure and gun safety, the past few years have proven that bipartisanship can happen in the Senate. If we want to craft bills that actually get things done for the American people—and represent our nation's general interests—we must work together. https://t.co/PsbkrULGtS",False,1601219856589733888,30,49,49,2
SenatorRomney,Senator Mitt Romney,1600970835711660032,1078693601356509184,en,1600970835711660032,2022-12-08T21:49:26.000Z,"The acute shortage of water for growers in the American West threatens productive farmland across our states, including Utah. @USDA must give priority to supporting our state's producers who are implementing important changes in response to the drought. https://t.co/DcKEzrrivX",False,1600970835711660032,5,21,21,0
SenatorRomney,Senator Mitt Romney,1600957158773862400,1078693601356509184,en,1600957158773862400,2022-12-08T20:55:05.000Z,"The Administration is fixated on shutting down American oil and gas. Our demand for these resources won’t change anytime soon. Instead of increasing our dependence on adversaries like China, we must continue developing American energy as we work to develop green technologies. https://t.co/1TZPaYnx8z",False,1600957158773862400,80,404,404,22
SenatorRomney,Senator Mitt Romney,1600935342122872832,1078693601356509184,en,1600935342122872832,2022-12-08T19:28:24.000Z,"Many of our efforts in America to address climate change are politically attractive, and may even make us feel good, but won't lower emissions at a global level. Spending money on window dressing initiatives diverts our focus from real solutions and can be counterproductive. https://t.co/JEtEaMxe9O",False,1600935342122872832,32,47,47,6
SenatorRomney,Senator Mitt Romney,1600910033130516481,1078693601356509184,en,1600910033130516481,2022-12-08T17:47:50.000Z,"China emits more CO2 than the United States, Europe, and Japan combined. We must shift our focus and investments to things that have a global impact if we want to effectively address the climate crisis. Money is too often wasted on initiatives that won't affect global emissions. https://t.co/jAJfLVqa9n",False,1600910033130516481,32,54,54,4
SenatorRomney,Senator Mitt Romney,1600868828724228096,1078693601356509184,en,1600868828724228096,2022-12-08T15:04:06.000Z,"RT @PostLive: .@MittRomney tells @LACaldwellDC, “It's sort of an ad hoc hopeful that somehow we can get there with wind and solar. That doe…",False,1600868828724228096,6,0,0,0
SenatorRomney,Senator Mitt Romney,1600868818171023360,1078693601356509184,en,1600868818171023360,2022-12-08T15:04:03.000Z,"RT @PostLive: .@MittRomney tells @LACaldwellDC, “We need to actually organize a strategy for how we are going to lead in the new energy eco…",False,1600868818171023360,10,0,0,0
