handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorShaheen,Sen. Jeanne Shaheen,1601342173231738880,109287731,en,1601342173231738880,2022-12-09T22:25:00.000Z,"When a disaster hits a rural community, small businesses often face undue red tape as they rebuild. My bill with @SenatorRisch addresses barriers to emergency assistance. I urge @POTUS to swiftly sign it into law. https://t.co/yGpJI2Xwh5",False,1601342173231738880,3,0,0,0
SenatorShaheen,Sen. Jeanne Shaheen,1601324589703102464,109287731,en,1601324589703102464,2022-12-09T21:15:08.000Z,"We see the success of the State Trade Expansion Program every day through the NH biz that it’s helped expand &amp; compete in global markets. Reauthorizing &amp; strengthening this program is a no-brainer &amp; I urge lawmakers to support my effort to do just that.
https://t.co/KU7gtu4oTM",False,1601324589703102464,3,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1601297196506222592,109287731,en,1601297196506222592,2022-12-09T19:26:16.000Z,"Glad to join @NECouncil today to discuss critical policy wins I’ve helped secure that benefit Granite State communities - from lowering energy costs to investing in infrastructure. I'll continue to work with Council members to advocate for NH in Congress.
https://t.co/mgqdhJxhdJ",False,1601297196506222592,7,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1601263400394186752,109287731,en,1601263400394186752,2022-12-09T17:11:59.000Z,"Calling all veterans: Manchester VA Medical Center will host a PACT Act Week of Action event this Tuesday to inform veterans about the health care &amp; benefits available if they have medical issues potentially related to toxic exposure during their service.
https://t.co/k4HphOp4e7",False,1601263400394186752,2,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1601242225765019648,109287731,en,1601242225765019648,2022-12-09T15:47:50.000Z,"Thank you to @KeeneState_’s Professor Waller, who is teaching Ukrainians how to properly document war crimes to ensure Russia is prosecuted for its atrocities. It’s great to see Granite Staters stepping up to help Ukrainians amid Russia’s unprovoked and brutal war. https://t.co/TpBINjk743",False,1601242225765019648,11,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1601215841315323904,109287731,en,1601215841315323904,2022-12-09T14:03:00.000Z,"‼️ Scam Alert: Callers posing as organizations or even distant family members solicit money through gift cards &amp; other means. If an unknown caller asks you to make an urgent payment via gift cards, please report it to the @FTC. https://t.co/CUr320FuzB",False,1601215841315323904,15,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1601011243208347650,109287731,en,1601011243208347650,2022-12-09T00:30:00.000Z,"Thrilled to see the Northern Border Regional Commission announce apps are now open for the 2023 Forest Economy Program grant program. The forest economy helps support many rural communities across the North Country, &amp; I encourage eligible orgs to apply. 
https://t.co/wV5Wbpfptr",False,1601011243208347650,2,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1600990592967725056,109287731,en,1600990592967725056,2022-12-08T23:07:56.000Z,"Great to see @POTUS announce a new Federal Building Performance Standard, aiming to cut energy use &amp; electrify 30% of federal building space by 2030. Achieving these goals will save money &amp; reduce emissions, &amp; we can get there thanks to the bipartisan infrastructure law. https://t.co/gtd1huUK04",False,1600990592967725056,33,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1600970220994465792,109287731,en,1600970220994465792,2022-12-08T21:46:59.000Z,"E-cigs are fueling a public health crisis – particularly among teens. It’s outrageous these companies can use a tax loophole to write off the cost of ads that target youth - I’m introducing a bill to close that loophole &amp; hold companies accountable.
https://t.co/pOcjeZrGGQ",False,1600970220994465792,6,23,23,3
SenatorShaheen,Sen. Jeanne Shaheen,1600927015531839489,109287731,en,1600927015531839489,2022-12-08T18:55:18.000Z,"Thank you for your leadership to get this over the line, @RepChrisPappas! https://t.co/dGfblfzvLN",False,1600927015531839489,9,1,1,1
SenatorShaheen,Sen. Jeanne Shaheen,1600901283896242178,109287731,en,1600901283896242178,2022-12-08T17:13:04.000Z,"Far too many military families wait years, sometimes even decades, for access to info about their lost loved ones. I’m reintroducing the Bring Our Heroes Home Act to help families heal by ensuring records of service members are properly collected &amp; shared.
https://t.co/RXZOxUHj7t",False,1600901283896242178,3,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1600888337274785798,109287731,en,1600888337274785798,2022-12-08T16:21:37.000Z,"🏳️‍🌈 Love wins! The House just passed the Respect for Marriage Act, sending it to the President’s desk to become law of the land. This is a historic victory to protect the rights of millions of same-sex and interracial couples across our country.",False,1600888337274785798,36,29,29,3
SenatorShaheen,Sen. Jeanne Shaheen,1600851153805144064,109287731,en,1600851153805144064,2022-12-08T13:53:52.000Z,I’m relieved for Brittney Griner &amp; her family as she’s now safely on her way home after nine months of unjust detention &amp; imprisonment in Russia. The U.S. must keep fighting for the release of Paul Whelan &amp; other Americans wrongfully detained abroad.,False,1600851153805144064,15,25,25,2
SenatorShaheen,Sen. Jeanne Shaheen,1600633755848146944,109287731,en,1600633755848146944,2022-12-07T23:30:00.000Z,"Thank you to the Blue Star Mothers of NH &amp; volunteers who laid wreaths at the NH State Veterans Cemetery in Boscawen this weekend. This is a beautiful tribute to our fallen heroes this holiday season.  
https://t.co/PdCe566c4o",False,1600633755848146944,6,6,6,0
SenatorShaheen,Sen. Jeanne Shaheen,1600618656659955713,109287731,en,1600618656659955713,2022-12-07T22:30:00.000Z,"Ukraine’s President Volodymyr Zelenskyy is rightly recognized as TIME’s Person of the Year for his fierce defense of his country amid Russia’s brutal invasion. Thanks to his leadership, Ukraine has defied the odds to defend its freedom, and is an inspiration to all of us. https://t.co/Bu0hgyuO88",False,1600618656659955713,14,6,6,0
SenatorShaheen,Sen. Jeanne Shaheen,1600608023235661825,109287731,en,1600608023235661825,2022-12-07T21:47:45.000Z,"All who serve in uniform deserve access to affordable housing. I just introduced the Expanding Home Loans for Guard &amp; Reservists Act to help expand VA home loan eligibility for certain National Guard Members &amp; Reservists.
https://t.co/m53ntZOojg",False,1600608023235661825,5,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1600586479851474965,109287731,en,1600586479851474965,2022-12-07T20:22:08.000Z,Both of these bills respond to significant national security concerns and Senate leadership should bring them to the floor for full consideration as swiftly as possible.,False,1600586465314066432,5,3,3,0
SenatorShaheen,Sen. Jeanne Shaheen,1600586478203318272,109287731,en,1600586478203318272,2022-12-07T20:22:08.000Z,"We face numerous security challenges around the globe and it’s crucial that we work across the aisle to advance policies that preserve U.S. interests, stand by our partners &amp; maintain peace and stability around the globe.",False,1600586465314066432,7,2,2,0
SenatorShaheen,Sen. Jeanne Shaheen,1600586476076830720,109287731,en,1600586476076830720,2022-12-07T20:22:08.000Z,My bill w/ Sen. Graham builds on my previous work to task a U.S. official responsible for overseeing camps &amp; detention facilities by elevating the seniority of the position &amp; expanding their mandate so it comprehensively addresses the systemic problems facing the camps.,False,1600586465314066432,4,2,2,0
SenatorShaheen,Sen. Jeanne Shaheen,1600586473866432512,109287731,en,1600586473866432512,2022-12-07T20:22:07.000Z,"We cannot allow terrorists to turn back the clock &amp; resurrect their campaign of terror that tore through the region, the aftershocks of which are still being felt today, and viciously took the lives of scores of civilians, including Americans like James Foley.",False,1600586465314066432,5,1,1,0
SenatorShaheen,Sen. Jeanne Shaheen,1600586471710527488,109287731,en,1600586471710527488,2022-12-07T20:22:06.000Z,"On camps in Syria: The humanitarian &amp; security crises brewing in ISIS detainee &amp; displaced person camps in Syria demands our attention and action today. If the conditions in these camps go unchecked, we risk a resurgence of ISIS. We can’t let that happen.",False,1600586465314066432,7,1,1,2
SenatorShaheen,Sen. Jeanne Shaheen,1600586469445406735,109287731,en,1600586469445406735,2022-12-07T20:22:06.000Z,"My bill w/ @SenatorRomney directs the admin to provide such a strategy so we can strengthen our partnerships w/ NATO &amp; Black Sea partners to counter Putin’s escalating aggression in Europe, which we know extends beyond Ukraine’s borders.",False,1600586465314066432,9,2,2,1
SenatorShaheen,Sen. Jeanne Shaheen,1600586467402780681,109287731,en,1600586467402780681,2022-12-07T20:22:05.000Z,"On the Black Sea: This region is a crucial geopolitical inflection point in Europe, especially in the context of Putin’s war in Ukraine. The U.S. needs a comprehensive strategy to address the problems of today and to prepare for the challenges of tomorrow.",False,1600586465314066432,14,3,3,1
SenatorShaheen,Sen. Jeanne Shaheen,1600586465314066432,109287731,en,1600586465314066432,2022-12-07T20:22:05.000Z,NEW: The Senate Foreign Relations Committee just advanced 2 of my key priorities: legislation to establish a U.S. strategy toward the Black Sea region &amp; legislation to confront the humanitarian &amp; security crises at camps in Syria. Let me tell you why this matters: 🧵,False,1600586465314066432,34,8,8,4
SenatorShaheen,Sen. Jeanne Shaheen,1600575168346312704,109287731,en,1600575168346312704,2022-12-07T19:37:12.000Z,The women and girls of Iran are profiles in courage. They have put their lives on the line to demand an end to the brutality and systemic oppression of the Iranian government. They are true heroes deserving of this distinction. https://t.co/XCXBYUCdBY,False,1600575168346312704,76,24,24,2
SenatorShaheen,Sen. Jeanne Shaheen,1600540950538887170,109287731,en,1600540950538887170,2022-12-07T17:21:13.000Z,"The FY23 defense bill includes my bipartisan legislation to better prevent the trafficking of fentanyl, which has wrought havoc on communities in NH &amp; across the U.S. Addressing the illicit flow of fentanyl will save lives and make our communities safer.
https://t.co/hE2M3THX2k",False,1600540950538887170,4,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1600522990424395781,109287731,en,1600522990424395781,2022-12-07T16:09:51.000Z,"#COVID19 exposed glaring gaps in our domestic supply chain that left the U.S. flat-footed during the greatest public health crisis of our lifetime. My provision included in the final FY2023 NDAA will help ensure that does not happen again.
https://t.co/VDgSiNwlt8",False,1600522990424395781,3,4,4,0
SenatorShaheen,Sen. Jeanne Shaheen,1600498111608078336,109287731,en,1600498111608078336,2022-12-07T14:31:00.000Z,"81 years ago, 2,403 American patriots tragically died during the attack on #PearlHarbor. Amid this unprecedented act of war, U.S. service members courageously defended our homeland, and many later made the ultimate sacrifice in the Pacific war. Today, we honor these heroes. 🇺🇸 https://t.co/wBbGdHu87G",False,1600498111608078336,7,3,3,0
SenatorShaheen,Sen. Jeanne Shaheen,1600223395891019777,109287731,en,1600223395891019777,2022-12-06T20:19:22.000Z,"With flu and RSV cases quickly rising in NH, it’s important for Granite Staters to get their shots. You can find an appointment at https://t.co/O8Usw8xlIF or visit your healthcare provider. https://t.co/nZOXqBYUPf",False,1600223395891019777,3,5,5,1
