handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorTester,Senator Jon Tester,1601339719081922560,515822213,en,1601339719081922560,2022-12-09T22:15:15.000Z,.@USHVHA Dr. Elnahal and I made our way to Miles City for another two roundtables with veterans and their health care providers. No better way to understand the access issues we face in rural America than talking face-to-face with the folks who live it every day. https://t.co/mINTlGpxXr,False,1601339719081922560,7,2,2,1
SenatorTester,Senator Jon Tester,1601297870455721984,515822213,en,1601297870455721984,2022-12-09T19:28:57.000Z,"As VA Under Secretary for Health, Dr. Elnahal is a major part of implementing our PACT Act and finally getting toxic-exposed veterans the high-quality health care and benefits they earned.

Grateful to have him in the Magic City with me for a town hall meeting with Montana vets. https://t.co/h7cVnxuizk",False,1601297870455721984,15,6,6,0
SenatorTester,Senator Jon Tester,1601274379908059138,515822213,en,1601274379908059138,2022-12-09T17:55:37.000Z,"First of three roundtables today—this one with the health care providers at Benjamin Charles Steele VA's Community Based Outpatient Clinic here in Yellowstone County.

These are the folks our toxic-exposed veterans will come see for care, so we're making sure they are prepared. https://t.co/dn9HLO6tEx",False,1601274379908059138,8,9,9,2
SenatorTester,Senator Jon Tester,1601267646145536000,515822213,en,1601267646145536000,2022-12-09T17:28:51.000Z,"Heard the Montana Organic Association was having a conference nearby, so of course I had to drop in. Sharla and I turned our farm organic in the 80s, and it's great to see how far organic agriculture has come since. https://t.co/2YoTFYRZHK",False,1601267646145536000,23,9,9,0
SenatorTester,Senator Jon Tester,1601249735788351488,515822213,en,1601249735788351488,2022-12-09T16:17:41.000Z,"I'm in Billings today with @USHVHA Dr. Elnahal to get Montana veterans and providers the info they need about the PACT Act.

Thanks to @augustareports from KTVQ and KYYA's Scott Fredricks for helping us reach your listeners to connect them with these critical new resources. https://t.co/7zlGZ8nnfq",False,1601249735788351488,13,4,4,2
SenatorTester,Senator Jon Tester,1600978750174560256,515822213,en,1600978750174560256,2022-12-08T22:20:53.000Z,"Montana produces some of our nation's finest servicemembers, and it's my great honor to nominate our state's best and brightest to carry on that legacy at one of our military service academies.

These students are dedicated to serving our country. I know they'll make us proud. https://t.co/guSJR07BPS",False,1600978750174560256,20,22,22,3
SenatorTester,Senator Jon Tester,1600964601792778241,515822213,en,1600964601792778241,2022-12-08T21:24:40.000Z,It's Government and Politics Day at Leadership Missoula! Had a good time taking questions from these hardworking Montanans who are developing the skills needed to grow their businesses and give back to their communities. https://t.co/vDFiQVlXyA,False,1600964601792778241,11,8,8,0
SenatorTester,Senator Jon Tester,1600933163647537152,515822213,en,1600933163647537152,2022-12-08T19:19:44.000Z,"Always good to hear from @BozemanFire Chief Waldo. Firefighters in Montana and across the West have one of the toughest jobs out there, so I'll continue working to get them everything they need to keep our communities safe. https://t.co/P8Urew2JCH",False,1600933163647537152,8,8,8,0
SenatorTester,Senator Jon Tester,1600912986214105088,515822213,en,1600912986214105088,2022-12-08T17:59:34.000Z,"Each year, my office takes on an Air Force Fellow to assist me in my work on the Defense Appropriations Subcommittee.

This year, Major Lauren Sahagun has served as an incredible asset to my team—doing nothing short of top-notch work. It was an honor to celebrate her today. https://t.co/vMS9vFsym9",False,1600912986214105088,11,1,1,0
SenatorTester,Senator Jon Tester,1600648232664809482,515822213,en,1600648232664809482,2022-12-08T00:27:31.000Z,Good to get back into the classroom this evening with Professor Saldin's Montana government and politics class at @umontana. Watch out for these whip-smart students—they'll be leading our state in no time! https://t.co/7vjpISzi9k,False,1600648232664809482,15,20,20,2
SenatorTester,Senator Jon Tester,1600619269858926605,515822213,en,1600619269858926605,2022-12-07T22:32:26.000Z,"Through no fault of their own, Butte-Silver Bow and Anaconda-Deer Lodge counties were left out of a critical funding source because they are consolidated city-counties.

That's wrong—so I put out a bill today to hold DC accountable and get these Montana counties what they need.",False,1600619269858926605,31,11,11,2
SenatorTester,Senator Jon Tester,1600605790695526441,515822213,en,1600605790695526441,2022-12-07T21:38:52.000Z,RT @strongnationUSA: @SenatorTester met with Montana @FightCrime members last month to discuss public safety and early childhood programs.…,False,1600605790695526441,6,0,0,0
SenatorTester,Senator Jon Tester,1600577180777734144,515822213,en,1600577180777734144,2022-12-07T19:45:11.000Z,VA facilities in Montana and beyond need to work directly with Tribes on the ground to strengthen outreach and connect more Native veterans with the mental health care they need and have earned. The bipartisan bill I introduced with @JerryMoran will make sure that happens. https://t.co/u5fbkbN7Kt,False,1600577180777734144,21,17,17,0
SenatorTester,Senator Jon Tester,1600543446074204160,515822213,en,1600543446074204160,2022-12-07T17:31:08.000Z,"I join all Montanans in remembering the fallen and recognizing the survivors of this horrific day. We'll never forget their sacrifice, nor the sacrifices of the brave heroes who answered the call of duty and defended our freedoms in World War II. #PearlHarborRemembranceDay https://t.co/f192wukhe2",False,1600543446074204160,11,7,7,0
SenatorTester,Senator Jon Tester,1600280081448173568,515822213,en,1600280081448173568,2022-12-07T00:04:37.000Z,"As Chairman of the Senate Veterans' Affairs Committee, I had the great honor of organizing this year's @ToysForTots_USA drive with the Marine Corps Reserve. A big thanks to these brave men and women, their fearless mascot Chesty XVI, and everyone else who helped make this happen. https://t.co/sepatdfqDs",False,1600280081448173568,23,18,18,1
SenatorTester,Senator Jon Tester,1600252602263883776,515822213,en,1600252602263883776,2022-12-06T22:15:26.000Z,"Montana's miners work long, difficult, and dangerous jobs to power our state and fuel our economy. Sending my thanks to every hardworking miner out there, and know that I'll always have your back. #NationalMinersDay https://t.co/Fytz3NPQTA",False,1600252602263883776,25,5,5,0
SenatorTester,Senator Jon Tester,1600213410565672961,515822213,en,1600213410565672961,2022-12-06T19:39:42.000Z,"Good meeting this morning with leaders from @TroutUnlimited, the Fort Belknap Indian Community, and the Confederated Salish and Kootenai Tribes.

Collaboration is the way forward in Montana, and I'll keep working with these folks to protect our state's natural treasures. https://t.co/7sLvsmZMXS",False,1600213410565672961,14,8,8,0
SenatorTester,Senator Jon Tester,1600172705751384073,515822213,en,1600172705751384073,2022-12-06T16:57:57.000Z,RT @bradmwarren: RIGHT NOW: @SenatorTester and @JerryMoran are introducing legislation to strengthen mental health support for Native Ameri…,False,1600172705751384073,21,0,0,0
SenatorTester,Senator Jon Tester,1600166208128503817,515822213,en,1600166208128503817,2022-12-06T16:32:08.000Z,"More than deserved. We owe these law enforcement officers a deep debt of gratitude for their bravery that day, and I hope these Congressional Gold Medals serve as a small token of our continued appreciation. https://t.co/j6V60eRP8X",False,1600166208128503817,36,7,7,0
SenatorTester,Senator Jon Tester,1599907196946391040,515822213,en,1599907196946391040,2022-12-05T23:22:55.000Z,"You bet I do. Look, there's no doubt this nation's divided. But when we set politics aside and work on what brings us together, we get a whole lot done.

We did it on infrastructure, manufacturing, veterans' health care, and more. And we'll do it again.
https://t.co/7bzapOc9Ss",False,1599907196946391040,29,18,18,0
SenatorTester,Senator Jon Tester,1599876659770818560,515822213,en,1599876659770818560,2022-12-05T21:21:34.000Z,"It was great talking shop with Montana ranchers over the weekend for the 21st Annual Cattlemen's Day conference.

We've taken big steps this Congress to boost family ranchers' bottom lines, but there's still plenty of work to do to ensure our producers are getting a fair shake.",False,1599876659770818560,25,5,5,0
SenatorTester,Senator Jon Tester,1599866580652871680,515822213,en,1599866580652871680,2022-12-05T20:41:31.000Z,"Great to see the @NatlParkService designate Lewistown, Montana as an American World War II Heritage City!

Lewistown's B-17 Flying Fortress training base played a critical role in preparing our brave troops, and it's the only airfield of its kind remaining in our country today. https://t.co/qPvYUkUQkM",False,1599866580652871680,18,2,2,1
SenatorTester,Senator Jon Tester,1599498317939236864,515822213,en,1599498317939236864,2022-12-04T20:18:10.000Z,"DREAM Adaptive Recreation goes above and beyond to help those who served heal the wounds of war. Proud to have helped secure this funding that’ll help them continue their mission in Whitefish.
https://t.co/nxYyDMhqHs",False,1599498317939236864,13,12,12,3
SenatorTester,Senator Jon Tester,1599113049952354304,515822213,en,1599113049952354304,2022-12-03T18:47:15.000Z,"This week, I introduced bipartisan legislation to help tackle Native veterans homelessness. These brave folks answered the call of duty to defend our freedoms, and they deserve to have a warm and safe place to sleep at night.
https://t.co/TlXEDlv99K",False,1599113049952354304,42,15,15,0
SenatorTester,Senator Jon Tester,1599053732112584704,515822213,en,1599053732112584704,2022-12-03T14:51:33.000Z,"Rooting hard for the @MSUBobcats and @UMGRIZZLIES in their playoff games today. Give ‘em hell, guys—Montana needs another visit to the FCS Championship this year!",False,1599053732112584704,9,23,23,2
SenatorTester,Senator Jon Tester,1598781245663678468,515822213,en,1598781245663678468,2022-12-02T20:48:47.000Z,"In 2020, we had millionaires taking advantage of pandemic unemployment benefits while frontline folks putting their lives at risk were not eligible.

That's wrong, so I teamed up with @SenJoniErnst on a bill that'll ensure taxpayer dollars aren't wasted on making the rich richer.",False,1598781245663678468,44,29,29,3
SenatorTester,Senator Jon Tester,1598747089516875777,515822213,en,1598747089516875777,2022-12-02T18:33:04.000Z,"Best way to spend a Friday: Meeting with Montana's next generation of leaders.

These star students in the Jobs for Montana's Graduates program are getting the tools they need now to enter the workforce with ease. Excited to see what they do next! https://t.co/4nWMslmdSQ",False,1598747089516875777,14,8,8,2
SenatorTester,Senator Jon Tester,1598467143896817664,515822213,en,1598467143896817664,2022-12-02T00:00:39.000Z,"Had a productive meeting with representatives from the Coalition of Large Tribes today. From stabilizing funding for the Indian Health Service to boosting public safety on Tribal lands, I'll keep working with Tribal leaders to improve lives in Indian Country. https://t.co/zWP2vDbY1C",False,1598467143896817664,20,17,17,0
SenatorTester,Senator Jon Tester,1598447230696017922,515822213,en,1598447230696017922,2022-12-01T22:41:32.000Z,"Enjoyed getting to know Franklin and Leroy, who are representing Montana's Job Corps Centers in Washington this week. Our Job Corps programs give young folks like them the opportunity to learn hard skills, succeed in good-paying jobs, and go on to improve our great state. https://t.co/GMii22GsiL",False,1598447230696017922,19,13,13,1
SenatorTester,Senator Jon Tester,1598440307770941440,515822213,en,1598440307770941440,2022-12-01T22:14:01.000Z,"A rail shutdown would’ve killed our supply chain, hurt workers and small businesses, and sent consumer prices through the roof. Passing legislation to avoid one was the right move to protect American jobs and keep our economy moving.",False,1598440307770941440,64,158,158,25
SenatorTester,Senator Jon Tester,1598416144716668951,515822213,en,1598416144716668951,2022-12-01T20:38:00.000Z,"RT @SVACDems: 🚨While the 988 Veterans Crisis Line number is down, veterans can still access the Veterans Crisis Line by calling 877-267-603…",False,1598416144716668951,10,0,0,0
SenatorTester,Senator Jon Tester,1598375819700641792,515822213,en,1598375819700641792,2022-12-01T17:57:46.000Z,"Native Americans serve in our military at the highest rate in the nation, and it's critical that they have access to the health care and benefits they earned.

In a @SVACDems hearing yesterday, I pushed VA to honor our commitment and deliver stronger support to these brave folks. https://t.co/MoblaFWdAO",False,1598375819700641792,106,14,14,2
SenatorTester,Senator Jon Tester,1598078153846829059,515822213,en,1598078153846829059,2022-11-30T22:14:57.000Z,New #SpotifyWrapped just dropped. https://t.co/pY2yFbMgNt,False,1598078153846829059,16,7,7,3
SenatorTester,Senator Jon Tester,1598066428581933058,515822213,en,1598066428581933058,2022-11-30T21:28:21.000Z,"Our Native communities deserve a stable health care system—yet the Indian Health Service is the only major federal provider without stable funding.

I stand with advocates across Indian Country today in pushing for advance appropriations for the IHS. #AdvanceIndianHealth",False,1598066428581933058,93,16,16,4
SenatorTester,Senator Jon Tester,1598027936141316101,515822213,en,1598027936141316101,2022-11-30T18:55:24.000Z,"Glad I could patch in! Hunters and anglers are some of the best conservationists in the nation, and I can't think of a better spot to discuss public land conservation and recreation than Bozeman, Montana—surrounded by the world-class lands of the Last Best Place. https://t.co/lgDilA8SWn",False,1598027936141316101,11,7,7,0
SenatorTester,Senator Jon Tester,1597995067532529664,515822213,en,1597995067532529664,2022-11-30T16:44:48.000Z,"Had the honor of meeting Montana's Teacher of the Year this morning. As a special ed preschool teacher, Ms. Matthews goes above and beyond to help young Montanans learn, grow, and succeed. Like all of our hardworking teachers, she represents the best of our state. #MontanaProud https://t.co/hFHZ7BrNMK",False,1597995067532529664,39,11,11,1
SenatorTester,Senator Jon Tester,1597740437451976704,515822213,en,1597740437451976704,2022-11-29T23:52:59.000Z,"It’s not the job of government to tell people who they can or can’t love and marry. In Montana, we defend everyone’s individual freedoms, and passing the bipartisan Respect for Marriage Act will ensure that politicians and activist judges stop threatening this long-held right.",False,1597740437451976704,241,172,172,18
SenatorTester,Senator Jon Tester,1597709289040138240,515822213,en,1597709289040138240,2022-11-29T21:49:13.000Z,"Congress has a responsibility to ensure our troops have every tool in their arsenal to protect our country—but we can't do that with yet another short-term funding bill.

Both sides need to work together and get this done. Our military and the American people deserve no less. https://t.co/S5wnmfemID",False,1597709289040138240,66,28,28,6
SenatorTester,Senator Jon Tester,1597689097627176960,515822213,en,1597689097627176960,2022-11-29T20:28:59.000Z,"The Piersons are fifth-generation Montana ranchers who started the Producer Partnership—a nonprofit meat processor in Park County that fuels food banks across our state. They're doing great work, and I was glad to chat with them about how we can best support it. https://t.co/mSmS7DAwpA",False,1597689097627176960,23,8,8,1
