handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SenatorWicker,Senator Roger Wicker,1601345734984740864,264219447,en,1601345734984740864,2022-12-09T22:39:09.000Z,"Immediately after taking office, @POTUS started a war on energy that has made us weaker. 

The @SenateGOP will continue pushing for policies that make us stronger. https://t.co/b6FaEGV309",False,1601345734984740864,2,7,7,0
SenatorWicker,Senator Roger Wicker,1601337635213307905,264219447,en,1601337635213307905,2022-12-09T22:06:58.000Z,"RT @MSyallpolitics: .@SenatorWicker , @SenHydeSmith praise agreement on the Fiscal Year 2023 National Defense Authorization Act.

Agreement…",False,1601337635213307905,1,0,0,0
SenatorWicker,Senator Roger Wicker,1601337575117008896,264219447,en,1601337575117008896,2022-12-09T22:06:43.000Z,"RT @MSyallpolitics: Senator Wicker seeks U.S. Senate hearing following @elonmusk release of #TwitterFiles.

""It is now clear to everyone th…",False,1601337575117008896,3,0,0,0
SenatorWicker,Senator Roger Wicker,1601030117181906945,264219447,en,1601030117181906945,2022-12-09T01:45:00.000Z,I appreciate UK Defense Secretary @BWallaceMP for visiting this week. We stand with our British allies against tyrants who threaten freedom across the globe. https://t.co/erTBDDl6Eq,False,1601030117181906945,2,18,18,0
SenatorWicker,Senator Roger Wicker,1601003701392605185,264219447,en,1601003701392605185,2022-12-09T00:00:02.000Z,"The students at VWSD produced incredible ornaments featuring Mississippi’s rich history.  

Last week, my staff and I decorated two Christmas trees in my Washington office with their creations. 

See more about their designs here: https://t.co/S0TqOBRVm2 https://t.co/4EHQFYDacO",False,1601003701392605185,1,7,7,0
SenatorWicker,Senator Roger Wicker,1600981044269928484,264219447,en,1600981044269928484,2022-12-08T22:30:00.000Z,"This CHIPS and Science Act is a major step forward in protecting the fruits of American ingenuity. It bans participation in so-called “foreign talent recruitment programs” hosted by adversarial nations, which are ripe for espionage. 

#WickerReport   

https://t.co/PwUBBKKiN5",False,1600981044269928484,3,15,15,2
SenatorWicker,Senator Roger Wicker,1600955936096800768,264219447,en,1600955936096800768,2022-12-08T20:50:14.000Z,Their recent article in @ForeignAffairs highlights how red tape is hindering our partners from being able to produce and obtain equipment they need on the battlefield.,False,1600955930564210689,3,2,2,0
SenatorWicker,Senator Roger Wicker,1600955930564210689,264219447,en,1600955930564210689,2022-12-08T20:50:12.000Z,"I was pleased to recognize the work of two @msstate  professors, Dr. Banerjee and Dr. Tkach, at yesterday’s @HelsinkiComm hearing. https://t.co/alXs1DZBBO",False,1600955930564210689,11,5,5,2
SenatorWicker,Senator Roger Wicker,1600946509574393856,264219447,en,1600946509574393856,2022-12-08T20:12:46.000Z,"RT @SenateCommerce: “Congress has a duty to protect the American people’s freedoms online.”

@SenatorWicker is calling on @commercedems to…",False,1600946509574393856,1,0,0,0
SenatorWicker,Senator Roger Wicker,1600939363646713857,264219447,en,1600939363646713857,2022-12-08T19:44:22.000Z,"My statement on this year’s national defense bill⤵️️
https://t.co/Ww5f5j0CY8",False,1600939361968660485,1,1,1,0
SenatorWicker,Senator Roger Wicker,1600939361968660485,264219447,en,1600939361968660485,2022-12-08T19:44:22.000Z,"As China and Russia race forward with their own military buildups, our only response can be to show we are serious about our own defense programs. I will continue fighting to ensure our force is laser-focused on protecting our freedoms.",False,1600939361968660485,2,6,6,1
SenatorWicker,Senator Roger Wicker,1600886672224395267,264219447,en,1600886672224395267,2022-12-08T16:15:00.000Z,"The situation at our broken southern border is a humanitarian crisis that must be investigated. 

https://t.co/FhnnTdl5hP",False,1600886672224395267,3,12,12,2
SenatorWicker,Senator Roger Wicker,1600860248000155648,264219447,en,1600860248000155648,2022-12-08T14:30:00.000Z,"Beijing’s shameless record of theft over years has allowed them to leapfrog forward in many technologies without spending on research. The CHIPS and Science Act includes tough measures that I authored to protect American research. 

#WickerReport  

https://t.co/YWDx5ewWVy",False,1600860248000155648,5,18,18,1
SenatorWicker,Senator Roger Wicker,1600679054671323136,264219447,en,1600679054671323136,2022-12-08T02:30:00.000Z,"The Biden Administration continues to prove they care little for securing our southern border.  

https://t.co/hrMm57XAtf",False,1600679054671323136,4,29,29,1
SenatorWicker,Senator Roger Wicker,1600656408642404353,264219447,en,1600656408642404353,2022-12-08T01:00:01.000Z,I am proud to count @RoyBlunt among my lifelong friends. His absence will leave a vacuum in the halls of Congress. https://t.co/V7QfBomw88,False,1600656408642404353,5,14,14,0
SenatorWicker,Senator Roger Wicker,1600637529983705089,264219447,en,1600637529983705089,2022-12-07T23:45:00.000Z,"On this day 81 years ago, our country forever changed when Japan struck Pearl Harbor. Let us take today to remember the heroes who gave their lives for our country that day and the days since. 

https://t.co/ioqtp1rI58",False,1600637529983705089,21,23,23,1
