handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
SteveScalise,Steve Scalise,1601281452528001024,1209417007,en,1601281452528001024,2022-12-09T18:23:43.000Z,"RT @SelectGOP: 🚨NEW🚨
 
@SteveScalise blasts Democrats’ final report and politicization of the Select Subcommittee. 

Today’s report is furt…",False,1601281452528001024,36,0,0,0
SteveScalise,Steve Scalise,1601220541037191169,1209417007,en,1601220541037191169,2022-12-09T14:21:40.000Z,"🚨 Truth is out: Twitter did blacklist/suppress accounts their leftist employees disagreed with &amp; manipulated trends against conservatives.

Yet another thing the media called Republicans “conspiracy theorists” for saying has turned out to be true.

They can’t get away with this.",False,1601220541037191169,553,500,500,47
SteveScalise,Steve Scalise,1600587830706769958,1209417007,en,1600587830706769958,2022-12-07T20:27:30.000Z,RT if you agree → The Biden Administration must not block troops who were discharged for not getting the COVID vaccine from re-enlisting now that Republicans have gotten the mandate eliminated.,False,1600587830706769958,678,295,295,22
SteveScalise,Steve Scalise,1600262330280861696,1209417007,en,1600262330280861696,2022-12-06T22:54:05.000Z,"🚨 Biden says he refuses to visit the border while he's in Arizona ""because there's more important things going on.”

Outrageous.

RT if you think ending out-of-control illegal immigration and the fentanyl crisis should be top priorities! https://t.co/EynV3PkW9l",False,1600262330280861696,201,97,97,16
SteveScalise,Steve Scalise,1600244300012392448,1209417007,en,1600244300012392448,2022-12-06T21:42:26.000Z,"Never forget: The New York Post and Republicans were right about Hunter Biden's laptop from the start.

But the media called us conspiracy theorists and said it was disinformation.

And Big Tech censored us.

Investigations are coming. https://t.co/cTDUsmgS04",False,1600244300012392448,607,666,666,45
SteveScalise,Steve Scalise,1599922603132452864,1209417007,en,1599922603132452864,2022-12-06T00:24:08.000Z,RT @HouseGOP: “We told the Big Tech companies ‘save your documents.’” -  @SteveScalise highlights House Republicans’ plan to hold Big Tech…,False,1599922603132452864,141,0,0,0
SteveScalise,Steve Scalise,1599915926996283393,1209417007,en,1599915926996283393,2022-12-05T23:57:36.000Z,Let's be clear: This is far from over. Big Tech will be further investigated and exposed by the new Republican House Majority as we work to end their systemic censorship of conservatives. https://t.co/tdiRvuAVjx,False,1599915926996283393,166,225,225,19
SteveScalise,Steve Scalise,1599162504042909696,1209417007,en,1599162504042909696,2022-12-03T22:03:46.000Z,"Now we know: Republicans were right about Twitter—and the media and so-called ""fact-checkers"" colluded to cover for them.

This isn't over. The new Republican House Majority will be focused on further exposing Big Tech and ending their censorship of conservatives.",False,1599162504042909696,3328,3799,3799,365
SteveScalise,Steve Scalise,1598493807472951296,1209417007,en,1598493807472951296,2022-12-02T01:46:36.000Z,"Great planning meeting today with many future Committee Chairs for the new Republican House Majority.

The Agenda:
- Unleash American energy
- Conduct long overdue oversight
- End the out-of-control spending
- Secure the border
- Defend parents' role in their kids' education https://t.co/cY5kRLbl7I",False,1598493807472951296,452,1000,1000,78
SteveScalise,Steve Scalise,1597311226908127233,1209417007,en,1597311226908127233,2022-11-28T19:27:27.000Z,"RT @NatResources: ICYMI: Read @RepBethVanDuyne and @SteveScalise's latest op-ed on Republican's plan to unleash American energy ⬇️
https://…",False,1597311226908127233,20,0,0,0
SteveScalise,Steve Scalise,1595780636165513216,1209417007,en,1595780636165513216,2022-11-24T14:05:26.000Z,"I'm thankful for our nation's brave troops and law enforcement officers who are away from their families today so that we can be safe and free with ours.

Happy Thanksgiving from my family to yours! 🇺🇸🦃",False,1595780636165513216,72,70,70,4
SteveScalise,Steve Scalise,1594390055346282497,1209417007,en,1594390055346282497,2022-11-20T17:59:46.000Z,"RT @RepBethVanDuyne: “Our policies will lower prices at the pump, maximize the production of reliable American energy, and cut the permitti…",False,1594390055346282497,44,0,0,0
SteveScalise,Steve Scalise,1593723248105103360,1209417007,en,1593723248105103360,2022-11-18T21:50:06.000Z,"- Economic and energy policies that help struggling hardworking American families

- Long overdue accountability for the Biden Administration and Joe Biden's shady dealings

Republicans can and will do both. https://t.co/4uMsNh3IMy",False,1593723248105103360,53,138,138,7
SteveScalise,Steve Scalise,1593676867877339138,1209417007,en,1593676867877339138,2022-11-18T18:45:49.000Z,"A few of the serving past @RepublicanStudy Committee chairs with @repkevinhern following his unanimous election as the next RSC Chairman in the Republican House Majority. Congratulations, Kevin! https://t.co/K2lUJvJHZM",False,1593676867877339138,22,35,35,3
SteveScalise,Steve Scalise,1593362362614136832,1209417007,en,1593362362614136832,2022-11-17T21:56:05.000Z,"RT @RepArrington: .@HouseGOP stands ready to:

☑️ Stop the Democrats’ reckless spending that has ignited record inflation

☑️ Hold the Whit…",False,1593362362614136832,125,0,0,0
SteveScalise,Steve Scalise,1593360809861718022,1209417007,en,1593360809861718022,2022-11-17T21:49:54.000Z,"For years the media has covered for the Biden family.

That ends soon.

Real accountability is finally coming.",False,1593360809861718022,1744,7771,7771,558
SteveScalise,Steve Scalise,1593319155305938944,1209417007,en,1593319155305938944,2022-11-17T19:04:23.000Z,"RT @RepChrisStewart: The American people are ready for a new direction, and Republicans are ready to deliver.

We will work every day to cr…",False,1593319155305938944,50,0,0,0
SteveScalise,Steve Scalise,1593318387966529536,1209417007,en,1593318387966529536,2022-11-17T19:01:20.000Z,Real accountability is finally coming for the Big Guy. https://t.co/d1q19AnpLf,False,1593318387966529536,1095,3230,3230,226
SteveScalise,Steve Scalise,1592667554316980224,1209417007,en,1592667554316980224,2022-11-15T23:55:09.000Z,RT @HouseGOP: “It’s going to be an exciting time. We’re ready to go to work for those hardworking families all across the country.” - @Stev…,False,1592667554316980224,121,0,0,0
SteveScalise,Steve Scalise,1592663985484369921,1209417007,en,1592663985484369921,2022-11-15T23:40:59.000Z,"This House Republican Majority will fight every day for hardworking people all across America and work hard to get our country back on track.

Make no mistake: A check on the Biden Administration is finally here. https://t.co/jMSiBw3wfY",False,1592663985484369921,277,532,532,37
