handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
USRepLong,U.S. Rep. Billy Long,1601310142095507456,1444015610,en,1601310142095507456,2022-12-09T20:17:43.000Z,"The Twitter Bird In The Coal Mine. In this week's Long's Short Report, I talk about the recent #TwitterFiles unveiling the process used to suppress the Hunter Biden laptop story. 

https://t.co/KT9w6PdTvu",False,1601310142095507456,0,7,7,0
USRepLong,U.S. Rep. Billy Long,1601273063244730370,1444015610,en,1601273063244730370,2022-12-09T17:50:23.000Z,"RT @RepJasonSmith: When you’re doing your holiday shopping, remember: Democrats’ reckless and wasteful spending is to thank for the skyrock…",False,1601273063244730370,51,0,0,0
USRepLong,U.S. Rep. Billy Long,1601273035197386754,1444015610,en,1601273035197386754,2022-12-09T17:50:16.000Z,RT @SenateGOP: Republicans are ready to restore energy independence.,False,1601273035197386754,513,0,0,0
USRepLong,U.S. Rep. Billy Long,1601273009041350656,1444015610,en,1601273009041350656,2022-12-09T17:50:10.000Z,"RT @HouseCommerce: WATCH: In 2018, @Jack testified to @HouseCommerce that @Twitter doesn’t shadow ban or use political ideology to make con…",False,1601273009041350656,221,0,0,0
USRepLong,U.S. Rep. Billy Long,1601272577703710721,1444015610,en,1601272577703710721,2022-12-09T17:48:27.000Z,"RT @SenJohnKennedy: When 500,000+ fentanyl pills can come through America’s southern border in a single weekend, there’s no excuse for Pres…",False,1601272577703710721,3515,0,0,0
USRepLong,U.S. Rep. Billy Long,1601272426607697921,1444015610,en,1601272426607697921,2022-12-09T17:47:51.000Z,"RT @bariweiss: THREAD: THE TWITTER FILES PART TWO. 

TWITTER’S SECRET BLACKLISTS.",False,1601272426607697921,85783,0,0,0
USRepLong,U.S. Rep. Billy Long,1600872602100109312,1444015610,en,1600872602100109312,2022-12-08T15:19:05.000Z,"RT @RepStefanik: Our heroic border patrol agents are bearing the brunt of the historic #BidenBorderCrisis.
 
Instead of visiting them this…",False,1600872602100109312,164,0,0,0
USRepLong,U.S. Rep. Billy Long,1600872555141025792,1444015610,en,1600872555141025792,2022-12-08T15:18:54.000Z,"RT @HouseGOP: In less than one month, House Republicans will fight in the new majority to:

✅Rein in reckless spending to fight inflation…",False,1600872555141025792,168,0,0,0
USRepLong,U.S. Rep. Billy Long,1600872424265826304,1444015610,en,1600872424265826304,2022-12-08T15:18:23.000Z,RT @HouseGOP: “Who at the FBI was responsible for suppressing this story and going and briefing these Big Tech platforms?” - @Jim_Jordan ou…,False,1600872424265826304,1110,0,0,0
USRepLong,U.S. Rep. Billy Long,1600521619696488449,1444015610,en,1600521619696488449,2022-12-07T16:04:25.000Z,RT @GOPLeader: Millions of illegal crossings and hundreds of Americans dying daily from fentanyl pouring over the border are not important…,False,1600521619696488449,1048,0,0,0
USRepLong,U.S. Rep. Billy Long,1600521592941035520,1444015610,en,1600521592941035520,2022-12-07T16:04:18.000Z,RT @MarshaBlackburn: I was honored to lead the way in removing the COVID shot mandate for servicemembers in this year’s NDAA because I’ve h…,False,1600521592941035520,1470,0,0,0
USRepLong,U.S. Rep. Billy Long,1600521210047127553,1444015610,en,1600521210047127553,2022-12-07T16:02:47.000Z,"On this “date that will live in infamy,” we remember those who lost their lives during the attack on Pearl Harbor. https://t.co/HWKz1ibpjW",False,1600521210047127553,0,3,3,0
USRepLong,U.S. Rep. Billy Long,1600520245504000003,1444015610,en,1600520245504000003,2022-12-07T15:58:57.000Z,"RT @SenateGOP: 20 million households have fallen behind on their energy bills. 

We cannot afford the most far-left energy agenda in histor…",False,1600520245504000003,219,0,0,0
USRepLong,U.S. Rep. Billy Long,1600520193469456387,1444015610,en,1600520193469456387,2022-12-07T15:58:45.000Z,RT @GOPLeader: Accountability is coming. https://t.co/2ph9ZMkRn1,False,1600520193469456387,2151,0,0,0
