handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
USRepMikeDoyle,Mike Doyle,1600916585497010176,39249305,en,1600916585497010176,2022-12-08T18:13:52.000Z,"Today I voted with my fellow @HouseDemocrats to pass the #RespectForMarriageAct, which protects the right to same-sex &amp; interracial marriages under federal law. It's a vote I wish we wouldn't still be fighting over in 2022, but it's a vote I was proud to make. 🏳️‍🌈 https://t.co/NEQVtQ4RV4",False,1600916585497010176,4,15,15,0
USRepMikeDoyle,Mike Doyle,1595794770919854080,39249305,en,1595794770919854080,2022-11-24T15:01:36.000Z,Happy Thanksgiving! https://t.co/iUhecrjSp6,False,1595794770919854080,0,9,9,0
USRepMikeDoyle,Mike Doyle,1594776384152670208,39249305,en,1594776384152670208,2022-11-21T19:34:54.000Z,The shooting that took place in Colorado Springs over the weekend was a horrific tragedy. The mix of senseless gun violence &amp; a rise in anti-LGBTQ acts should concern everybody. My prayers go out to those affected by this shooting &amp; I stand w/my LGBTQ friends!🙏🏳️‍🌈,False,1594776384152670208,0,4,4,0
USRepMikeDoyle,Mike Doyle,1591071296997437440,39249305,en,1591071296997437440,2022-11-11T14:12:12.000Z,On this #VeteransDay we remember and pay our respects to the men and women who have served our country in the military. https://t.co/u3CHQM7aP7,False,1591071296997437440,2,4,4,0
USRepMikeDoyle,Mike Doyle,1590542640105549825,39249305,en,1590542640105549825,2022-11-10T03:11:30.000Z,"Congratulations to Summer Lee, Chris Deluzio, John Fetterman, Josh Shapiro, and Austin Davis on the opportunity to serve the people of Pennsylvania. It’s a tremendous honor and privilege!",False,1590542640105549825,7,5,5,0
USRepMikeDoyle,Mike Doyle,1590014191783796736,39249305,en,1590014191783796736,2022-11-08T16:11:39.000Z,It’s #Election2022  &amp; every American citizen 18 and older has the right to vote. Have you voted yet? Make your voice heard! For all the information you need to make your plan to vote this election day visit: https://t.co/CLGq4ndVWK,False,1590014191783796736,1,1,1,0
USRepMikeDoyle,Mike Doyle,1587855150898565120,39249305,en,1587855150898565120,2022-11-02T17:12:23.000Z,"Due to the #InflationReductionAct it could be more affordable than you think to #GetCovered. Americans could save an average of $800 per year and $2,400 per family! Sign up by December 15 to #GetCovered at the start of 2023! In PA, go to https://t.co/RtYge4scRH https://t.co/2aeRqEekDN",False,1587855150898565120,1,4,4,1
USRepMikeDoyle,Mike Doyle,1586055975295143936,39249305,en,1586055975295143936,2022-10-28T18:03:06.000Z,"There's still much work to do, but Democrats have been making progress in lowering costs &amp; putting #PeopleOverPolitics. From prescription drugs, to gas prices, to child care, we will continue to work to provide relief for working Americans.",False,1586055975295143936,7,5,5,0
USRepMikeDoyle,Mike Doyle,1585632207413997570,39249305,en,1585632207413997570,2022-10-27T13:59:12.000Z,"On the fourth anniversary of the deadly attack on the @treeoflifepgh synagogue, we look back in sadness - and look forward with hope. We remember the lives lost, honor the first responders, and rededicate ourselves to ending antisemitism. #StrongerThanHate https://t.co/ZhBFGP5m9v",False,1585632207413997570,10,0,0,0
USRepMikeDoyle,Mike Doyle,1585366837776502785,39249305,en,1585366837776502785,2022-10-26T20:24:43.000Z,"I’m 100% behind @POTUS plan to crack down on junk fees imposed by banks, credit card companies, and other businesses. It’s great to see President #Biden standing up for regular Americans! #PeopleOverPoliticsAsUsual https://t.co/cYMvWcDttr",False,1585366837776502785,1,5,5,0
USRepMikeDoyle,Mike Doyle,1583411197352681472,39249305,en,1583411197352681472,2022-10-21T10:53:42.000Z,I’m outraged that the #Erdogan government of #Turkey has recently detained hundreds of members of the Gülen movement and cracked down on free speech.  Giving food and other assistance to struggling families doesn’t justify imprisonment.,False,1583411197352681472,913,72,72,29
USRepMikeDoyle,Mike Doyle,1583128129450651649,39249305,en,1583128129450651649,2022-10-20T16:08:53.000Z,"If you don’t remember what our nation’s waterways were like before enactment of the #CleanWaterAct 50 years ago, here’s an informative article:
https://t.co/Xqwrf6tYIJ",False,1583128129450651649,1,0,0,0
USRepMikeDoyle,Mike Doyle,1582858429131259905,39249305,en,1582858429131259905,2022-10-19T22:17:12.000Z,"Keeping communities safe means giving law enforcement the resources they need while increasing accountability. House Democrats passed 4 bills to make our communities safer:
✅  Invest to Protect Act
✅  Mental Health Justice Act
✅  Break the Cycle of Violence Act
✅  VICTIM Act https://t.co/pFrC5G85wj",False,1582858429131259905,1,1,1,0
USRepMikeDoyle,Mike Doyle,1582447958829985792,39249305,zxx,1582447958829985792,2022-10-18T19:06:08.000Z,https://t.co/zv8qI3AQR3,False,1582447912302219264,0,1,1,0
USRepMikeDoyle,Mike Doyle,1582447912302219264,39249305,en,1582447912302219264,2022-10-18T19:05:57.000Z,"GOP plans to cut #SocialSecurity and #Medicare? It’s not just empty talk  – THEY’RE FOR REAL:
https://t.co/tIlHtgqZSB",False,1582447912302219264,2,3,3,1
USRepMikeDoyle,Mike Doyle,1582425936859136000,39249305,en,1582425936859136000,2022-10-18T17:38:38.000Z,"Thanks to @POTUS, many Americans are eligible for some much-needed relief via #studentloanforgiveness. Visit the link below to see if you could be too &amp; apply now!
https://t.co/VwalfIJf6Z",False,1582425936859136000,1,1,1,0
USRepMikeDoyle,Mike Doyle,1580990986054152192,39249305,en,1580990986054152192,2022-10-14T18:36:39.000Z,"Pennsylvania will receive $353 million to repair our bridges in 2023 thanks to the Bipartisan Infrastructure Law, which will:
🌉Restore, rebuild, and repair bridges
🤝Connect communities
👷Create Jobs
Let’s get to work rebuilding our infrastructure for the modern era. https://t.co/A42CYBp2aJ",False,1580990986054152192,7,2,2,2
USRepMikeDoyle,Mike Doyle,1580607658402676737,39249305,en,1580607658402676737,2022-10-13T17:13:26.000Z,Pleased to join @ACE_Fitzgerald and other local officials in breaking ground for new development at #CarrieFurnace site. I’ve been working for years to redevelop the site - including securing $10 Million for improving access with a “flyover” ramp over the railroad tracks. https://t.co/cLdkUYxENI,False,1580607658402676737,1,0,0,0
