handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
WarrenDavidson,Warren Davidson,1601609840953942018,742735530287304704,en,1601609840953942018,2022-12-10T16:08:37.000Z,"Wait, did he quit in 2020? https://t.co/ZjSA9vsOWy",False,1601609840953942018,0,1,1,0
WarrenDavidson,Warren Davidson,1601606413306195969,742735530287304704,en,1601606413306195969,2022-12-10T15:54:59.000Z,"@JesseKellyDC Collusion between big government and big business resembles fascism. Of course, their goals are far left, but they adapted different means with their commit to a long march through the institutions.",False,1601397694962233344,0,1,1,0
WarrenDavidson,Warren Davidson,1601564954708316160,742735530287304704,en,1601564954708316160,2022-12-10T13:10:15.000Z,"#DeedsNotWords Don’t just say Drain the Swamp, Drain the Swamp. https://t.co/YKsAkA9b4P",False,1601564954708316160,11,10,10,0
WarrenDavidson,Warren Davidson,1601439796328419329,742735530287304704,en,1601439796328419329,2022-12-10T04:52:55.000Z,@APompliano Again. https://t.co/BTrFQN8B4E,False,1601373562308132864,23,26,26,2
WarrenDavidson,Warren Davidson,1601437070538702848,742735530287304704,en,1601437070538702848,2022-12-10T04:42:05.000Z,"RT @TomFitton: Breaking: @ElonMusk @Twitter Files show Twitter activist employees, without basis, suppressed and censored the President of…",False,1601437070538702848,21765,0,0,0
WarrenDavidson,Warren Davidson,1601192440039444483,742735530287304704,en,1601192440039444483,2022-12-09T12:30:01.000Z,"ESG forwards progressive politics—not social responsibility or sound corporate governance. 

Truevalue Labs gave FTX a higher ESG rating than Exon...

ESG metrics are terrible for investors, and I'm glad our witness at the FSC Subcommittee on Capital markets agreed. https://t.co/LVSAOwKKSy",False,1601192440039444483,12,12,12,3
WarrenDavidson,Warren Davidson,1601178082127544321,742735530287304704,en,1601178082127544321,2022-12-09T11:32:57.000Z,"Thank you @julie_kelly2 for your commitment to due process, justice, and solid journalism. @HouseGOP must match your work and demand accountability - for those who have actually committed crimes and for those charged with the duty to administer justice. https://t.co/Yp4haavkuL",False,1601178082127544321,102,18,18,1
WarrenDavidson,Warren Davidson,1601057737286172672,742735530287304704,en,1601057737286172672,2022-12-09T03:34:45.000Z,RT @WarrenDavidson: @Tkellz3000 @HouseGOP The Capital Markets Subcommittee of the House Financial Services Committee oversees the SEC. The…,False,1601057737286172672,6,0,0,0
WarrenDavidson,Warren Davidson,1601057476882755585,742735530287304704,en,1601057476882755585,2022-12-09T03:33:43.000Z,@Tkellz3000 @HouseGOP The Capital Markets Subcommittee of the House Financial Services Committee oversees the SEC. The SEC’s free pass is about to expire.,False,1600973328809746433,6,9,9,1
WarrenDavidson,Warren Davidson,1600973328809746433,742735530287304704,en,1600973328809746433,2022-12-08T21:59:20.000Z,What new committee should @HouseGOP launch next Congress?,False,1600973328809746433,3,35,35,0
WarrenDavidson,Warren Davidson,1600969610500898817,742735530287304704,en,1600969610500898817,2022-12-08T21:44:34.000Z,Don’t lie. https://t.co/sOrWd0zsEa,False,1600969610500898817,3,11,11,0
WarrenDavidson,Warren Davidson,1600934586531254272,742735530287304704,en,1600934586531254272,2022-12-08T19:25:24.000Z,"I applaud the creation of this new committee and the selection of @RepGallagher to lead it. The good people of China may not be able to hold Xi accountable, but America and our allies must demand accountability for the CCP’s ongoing abuse of existing agreements. https://t.co/QjjoNJm4SN",False,1600934586531254272,7,5,5,1
WarrenDavidson,Warren Davidson,1600899578458513409,742735530287304704,en,1600899578458513409,2022-12-08T17:06:17.000Z,"Unfortunately, my amendment to the NDAA requiring a 10% reduction of 2, 3,and 4 star slots in the event of an audit failure was not adopted. Any publicly traded company would be de-listed with board and executive team likely fired…
#Accountability https://t.co/6PxpMwqq3M",False,1600899578458513409,4,5,5,0
WarrenDavidson,Warren Davidson,1600700208521674752,742735530287304704,en,1600700208521674752,2022-12-08T03:54:03.000Z,"To #StayFocused, the Department of Defense must #GetFocused. Austin and Milley must go. https://t.co/YwSyqLNXZz",False,1600700208521674752,6,14,14,1
WarrenDavidson,Warren Davidson,1600622265577754625,742735530287304704,en,1600622265577754625,2022-12-07T22:44:20.000Z,"One of my biggest lessons learned from West Point / Army days: Fight the battle you are in, not the one you wish you were in. https://t.co/oVXBEyY7FT",False,1600622265577754625,7,13,13,1
