handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
cathymcmorris,CathyMcMorrisRodgers,1601290590188085255,17976923,en,1601290590188085255,2022-12-09T19:00:01.000Z,"Yesterday, I introduced bipartisan legislation to help promote innovation and American leadership in the commercial satellite communications industry.

It’s the first big effort to modernize the laws governing @FCC’s satellite licensing rules in decades.
https://t.co/0YrHIKayeX",False,1601290590188085255,4,12,12,0
cathymcmorris,CathyMcMorrisRodgers,1601274794577920000,17976923,en,1601274794577920000,2022-12-09T17:57:15.000Z,"The American Data Privacy and Protection Act puts people back in control of their online data and includes the strongest privacy protections to date for children online.

@FrankPallone and I remain committed to passing #ADPPA this Congress. Watch: https://t.co/xPA8ujAwtM",False,1601274794577920000,4,5,5,0
cathymcmorris,CathyMcMorrisRodgers,1601260692836794369,17976923,en,1601260692836794369,2022-12-09T17:01:13.000Z,"RT @BrendanCarrFCC: I applaud the significant, bipartisan leadership here by Chairman @FrankPallone &amp; Republican Leader @cathymcmorris 

Th…",False,1601260692836794369,7,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1601260622708375553,17976923,en,1601260622708375553,2022-12-09T17:00:57.000Z,"RT @HouseCommerce: WATCH: In 2018, @Jack testified to @HouseCommerce that @Twitter doesn’t shadow ban or use political ideology to make con…",False,1601260622708375553,228,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1601246998703013888,17976923,en,1601246998703013888,2022-12-09T16:06:48.000Z,"RT @HouseCommerce: Even the Christmas spirit is being hit hard by President Biden’s energy and inflation crisis.

Want to light up your tre…",False,1601246998703013888,1,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1601050102260375552,17976923,en,1601050102260375552,2022-12-09T03:04:25.000Z,RT @HouseCommerce: Big Tech came before Congress and claimed they weren’t shadow banning people on their platforms. We now know that was a…,False,1601050102260375552,5,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1600959652925054976,17976923,en,1600959652925054976,2022-12-08T21:05:00.000Z,"“In past years, Ms. Enriquez has contributed to online Christmas wish-list sites and toy drives for children in need. This year, she worries she might have to apply as a recipient rather than a donor.”

#Bidenflation is hurting families across the country.
https://t.co/sZA7FsuHTd",False,1600959652925054976,2,23,23,0
cathymcmorris,CathyMcMorrisRodgers,1600923162387959808,17976923,en,1600923162387959808,2022-12-08T18:40:00.000Z,"Before President Biden came to office, the U.S. was more energy secure than ever before.

Now, families are paying more for gas, electricity, home heating bills – and just about everything else.",False,1600923162387959808,6,26,26,1
cathymcmorris,CathyMcMorrisRodgers,1600878139629924353,17976923,en,1600878139629924353,2022-12-08T15:41:06.000Z,RT @Ali_Lev: New- TikTok CEO Shou Zi Chew is under pressure to meet with top Republicans in Congress before year’s end to respond to growin…,False,1600878139629924353,14,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1600867804235833347,17976923,en,1600867804235833347,2022-12-08T15:00:01.000Z,"This reality on the other side of the Atlantic — blackouts, scarcity, and crippling dependence on foreign regimes — could be America’s future under the Democrats’ scheme to “transition” away from our most reliable energy sources. 
https://t.co/jCzov4Ts3L",False,1600867804235833347,10,31,31,2
cathymcmorris,CathyMcMorrisRodgers,1600607331351306241,17976923,en,1600607331351306241,2022-12-07T21:45:00.000Z,"🚨 NEWS: According to a new @EIAgov report, U.S. electricity prices will increase in ALL regions this winter.  

Americans across the entire country will pay MORE this winter to keep the lights on. #BidenEnergyCrisis",False,1600607331351306241,3,24,24,1
cathymcmorris,CathyMcMorrisRodgers,1600535105063112705,17976923,en,1600535105063112705,2022-12-07T16:58:00.000Z,The future is bright for @WSUPullman and the next generation of Cougs. Thanks for making the trip from Pullman! https://t.co/d0sP4hC5In,False,1600535105063112705,0,8,8,0
cathymcmorris,CathyMcMorrisRodgers,1600508319885676544,17976923,en,1600508319885676544,2022-12-07T15:11:34.000Z,"81 years ago – on this “date which will live in infamy” – the Japanese attacked Pearl Harbor, forever changing the course of history. Today, we salute the heroes who took a stand that fateful day and remember those who lost their lives. Their courage will never be forgotten.🇺🇸 https://t.co/yZw6VmX361",False,1600508319885676544,6,14,14,4
cathymcmorris,CathyMcMorrisRodgers,1600289375543181312,17976923,en,1600289375543181312,2022-12-07T00:41:33.000Z,RT @HouseCommerce: We applaud actions by @elonmusk and Twitter to shed light on Twitter’s decision to censor the @nypost story on Hunter Bi…,False,1600289375543181312,3,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1600225619911942144,17976923,en,1600225619911942144,2022-12-06T20:28:13.000Z,"RT @EnergyCommerce: NEW: bipartisan E&amp;C leaders @FrankPallone, @cathymcmorris, @RepDianaDeGette, @MorganGriffith, @janschakowsky &amp; @RepGusB…",False,1600225619911942144,4,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1600225196828676096,17976923,en,1600225196828676096,2022-12-06T20:26:32.000Z,"RT @HouseCommerce: Hey @Ticketmaster, can we ask you a Question...?

The Glitch on your website has left many @TaylorSwift13 fans feeling l…",False,1600225196828676096,9,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1598734388245794831,17976923,en,1598734388245794831,2022-12-02T17:42:35.000Z,"RT @RepGuthrie: .@cathymcmorris, @RepMGriffith, &amp; I sent a message to NIH: Do not destroy your records.

NIH’s lack of transparency &amp; failu…",False,1598734388245794831,7,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1598723688710508548,17976923,en,1598723688710508548,2022-12-02T17:00:04.000Z,RT @HouseCommerce: Jackie Walorski devoted her life to caring for individuals in need – particularly children. It is fitting that we furthe…,False,1598723688710508548,5,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1598652662089515008,17976923,en,1598652662089515008,2022-12-02T12:17:50.000Z,"RT @SteveScalise: Great planning meeting today with many future Committee Chairs for the new Republican House Majority.

The Agenda:
- Unle…",False,1598652662089515008,452,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1598376640551305216,17976923,en,1598376640551305216,2022-12-01T18:01:02.000Z,"RT @HouseCommerce: 🚨 @NIH has failed to turn over requested information to @HouseCommerce since March 2021.  

Read the letter we just sent…",False,1598376640551305216,2,0,0,0
cathymcmorris,CathyMcMorrisRodgers,1598338632066154498,17976923,en,1598338632066154498,2022-12-01T15:30:00.000Z,"It appears that details TikTok provided in a committee staff briefing are untrue or misleading, including that TikTok does not track users’ internet data or have access to users’ specific location data.  

@RepJamesComer and I are demanding answers:  
https://t.co/i0QI3HmdRy",False,1598338632066154498,10,17,17,1
cathymcmorris,CathyMcMorrisRodgers,1598325692038615042,17976923,en,1598325692038615042,2022-12-01T14:38:35.000Z,RT @HouseCommerce: Leader @cathymcmorris to @FoxNews: “The nation’s biggest technology companies are in for a rude awakening when the GOP-l…,False,1598325692038615042,16,0,0,0
