handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
lisamurkowski,Sen. Lisa Murkowski,1601312300237221888,18061669,en,1601312300237221888,2022-12-09T20:26:17.000Z,"This year’s bill includes significant provisions that invest in military readiness, prioritize Alaska’s unique role in national security, and provide much-deserved support to our servicemembers and their well-being.",False,1601312298429165569,6,5,5,0
lisamurkowski,Sen. Lisa Murkowski,1601312298429165569,18061669,en,1601312298429165569,2022-12-09T20:26:17.000Z,"Now that the annual defense authorization bill has passed the House, I look forward to a swift passage of the NDAA here in the Senate.",False,1601312298429165569,5,5,5,0
lisamurkowski,Sen. Lisa Murkowski,1600971399991988224,18061669,en,1600971399991988224,2022-12-08T21:51:41.000Z,"I joined a bipartisan group of Senators in urging @DFCgov to finance nuclear energy projects to help reduce emissions, deliver global clean energy &amp; help protect our core national security interests. Read our full letter here: https://t.co/plbqAatDDZ",False,1600971399991988224,20,28,28,5
lisamurkowski,Sen. Lisa Murkowski,1600924136179499008,18061669,en,1600924136179499008,2022-12-08T18:43:52.000Z,Congratulations to the City of Gustavus &amp; Alaska Power &amp; Telephone as they transition @Glacier_Baynp this week from relying on diesel to almost entirely relying on hydroelectric power. It was an honor to help get this project across the finish line.    https://t.co/UYpJsJhjyq,False,1600924136179499008,6,10,10,0
lisamurkowski,Sen. Lisa Murkowski,1600861046302183424,18061669,en,1600861046302183424,2022-12-08T14:33:10.000Z,"This week we gathered at the White House for the 2022 Holiday Ball. Of the many holiday traditions, seeing the White House at Christmas – the beautiful decorations and creativity – is a really special experience. It was great to be there with my niece. https://t.co/pNuaYuaiHR",False,1600861046302183424,33,39,39,7
lisamurkowski,Sen. Lisa Murkowski,1600694237997457409,18061669,en,1600694237997457409,2022-12-08T03:30:20.000Z,RT @AKAFLCIO: Can we get a shout-out for all our brothers and sisters working hard to clear the streets of this outrageous amount of snow!?…,False,1600694237997457409,76,0,0,0
lisamurkowski,Sen. Lisa Murkowski,1600618631137820673,18061669,en,1600618631137820673,2022-12-07T22:29:54.000Z,"More good news for Alaska from the Infrastructure Investment &amp; Jobs Act! The communities of Kotlik, Point Hope, &amp; Chilkat Indian Village, as well as the @Alaska_Wildlife &amp; the @AKConservation have been awarded funding to improve climate resilience &amp; invest in coastal habitats. https://t.co/eFjZMufAnF",False,1600618631137820673,14,20,20,2
lisamurkowski,Sen. Lisa Murkowski,1600576003683794964,18061669,en,1600576003683794964,2022-12-07T19:40:31.000Z,Hope Alaskans are staying safe! https://t.co/7NZuC7cCE6,False,1600576003683794964,5,7,7,0
lisamurkowski,Sen. Lisa Murkowski,1600571892385316865,18061669,en,1600571892385316865,2022-12-07T19:24:10.000Z,"Today, on the 81st Anniversary of the attack on Pearl Harbor, we remember the brave military members who fought – and the many who gave their lives – in defense of our freedoms. #PearlHarborRemembranceDay https://t.co/NUeCeGL2yW",False,1600571892385316865,10,8,8,1
lisamurkowski,Sen. Lisa Murkowski,1600262942116564993,18061669,en,1600262942116564993,2022-12-06T22:56:31.000Z,"Multiple projects throughout the Kenai Peninsula benefit from the Bipartisan Infrastructure Law which I helped write &amp; secure into law. This includes upgrades in Tyonek, Kenai River bluff stabilization, improvements at Lowell Point &amp; USCG housing in Seward.https://t.co/OkqRmmU8Mi",False,1600262942116564993,7,24,24,0
