handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
michaelgwaltz,Rep. Mike Waltz,1606027500773056523,833673914,en,1606027500773056523,2022-12-22T20:42:49.000Z,"RT @itsSpencerBrown: EXCLUSIVE: @michaelgwaltz + @RepDanCrenshaw are asking Biden to parole Abdul Wasi Safi, an Afghan ally seeking asylum…",False,1606027500773056523,8,0,0,0
michaelgwaltz,Rep. Mike Waltz,1605776166559916032,833673914,en,1605776166559916032,2022-12-22T04:04:06.000Z,"RT @BasedMikeLee: 1. After getting literally everything they want in this 4,155-page monstrosity, the Democrats won’t give us an up-or-down…",False,1605776166559916032,4126,0,0,0
michaelgwaltz,Rep. Mike Waltz,1605555869017468929,833673914,en,1605555869017468929,2022-12-21T13:28:43.000Z,"This “omnibus” spending bill is both reckless and a disservice to our constituents. It will increase our debt and add to inflation right before the GOP retakes the majority in the House. 

Republicans should reject this waste of taxpayer dollars.",False,1605555869017468929,26,16,16,3
michaelgwaltz,Rep. Mike Waltz,1605551091617144832,833673914,en,1605551091617144832,2022-12-21T13:09:44.000Z,President Biden &amp; his administration are responsible for this. https://t.co/mmHP0HyG90,False,1605551091617144832,12,20,20,1
michaelgwaltz,Rep. Mike Waltz,1605537827394969600,833673914,en,1605537827394969600,2022-12-21T12:17:02.000Z,"“The Army might be down to as few as 450,000 soldiers by the end of fiscal 2023 — well below their 2022 authorized strength of 485,000.” https://t.co/fdM0I7eEkY",False,1605537827394969600,13,11,11,3
michaelgwaltz,Rep. Mike Waltz,1605316782499147778,833673914,en,1605316782499147778,2022-12-20T21:38:40.000Z,"RT @seanspicer: Tonight on #SpicerandCo: Afghan ally detained crossing the border, even more revealed in the Twitter files, whats in the sp…",False,1605316782499147778,11,0,0,0
michaelgwaltz,Rep. Mike Waltz,1605316652018503680,833673914,en,1605316652018503680,2022-12-20T21:38:09.000Z,Coming up at 5 pm ET on @NEWSMAX with @seanspicer. Be sure to tune in!,False,1605316652018503680,4,3,3,1
michaelgwaltz,Rep. Mike Waltz,1605315199346548738,833673914,en,1605315199346548738,2022-12-20T21:32:23.000Z,"Clear your calendars, Biden Administration. Accountability is coming. https://t.co/TxRzy8g3Oy",False,1605315199346548738,7,9,9,0
michaelgwaltz,Rep. Mike Waltz,1605311884466556928,833673914,en,1605311884466556928,2022-12-20T21:19:13.000Z,Biden needs to make clear that ALL OPTIONS are on the table to stop Iran from getting a nuke. https://t.co/FkqecCwd84,False,1605311884466556928,11,3,3,1
michaelgwaltz,Rep. Mike Waltz,1604929872832389121,833673914,en,1604929872832389121,2022-12-19T20:01:14.000Z,"It would be CATASTROPHIC to ever lose Diego Garcia or allow China to build a base nearby, especially after the Biden admin abandoned Bagram AND as China spends billions on its military buildup. https://t.co/0kMIKKmNbq",False,1604929872832389121,9,3,3,1
michaelgwaltz,Rep. Mike Waltz,1604919355845869578,833673914,en,1604919355845869578,2022-12-19T19:19:27.000Z,We need ironclad assurances from the Brits that these negotiations won’t harm our military positioning in the Indian Ocean or allow the Chinese military to fill a potential vacuum. https://t.co/h4jla8voW5,False,1604919355845869578,5,2,2,2
michaelgwaltz,Rep. Mike Waltz,1604918892169756691,833673914,en,1604918892169756691,2022-12-19T19:17:36.000Z,RT @robcrilly: Rep. Mike Waltz demands assurances from Pentagon and State on future of Diego Garcia base. Says it would be 'catastrophic' i…,False,1604918892169756691,6,0,0,0
michaelgwaltz,Rep. Mike Waltz,1604837242899681280,833673914,en,1604837242899681280,2022-12-19T13:53:09.000Z,Coming up at 9:15 am ET on @FoxBusiness @Varneyco. Be sure to tune in!,False,1604837242899681280,1,3,3,0
michaelgwaltz,Rep. Mike Waltz,1604642639986524161,833673914,en,1604642639986524161,2022-12-19T00:59:52.000Z,"This is so wrong. @SecDef is abandoning this service member’s family by cutting off his pay over a tragic accident. 

Fix this! https://t.co/8gqOysNLWk",False,1604642639986524161,22,10,10,1
michaelgwaltz,Rep. Mike Waltz,1604617647143919617,833673914,en,1604617647143919617,2022-12-18T23:20:34.000Z,Wishing everyone celebrating around the world tonight a very Happy Hanukkah! 🕎 https://t.co/jEY7lRRhUh,False,1604617647143919617,4,2,2,0
michaelgwaltz,Rep. Mike Waltz,1604520704589942785,833673914,en,1604520704589942785,2022-12-18T16:55:21.000Z,Coming up on @FoxNews with @GriffJenkins at 12:15. Tune in!,False,1604520704589942785,2,2,2,1
michaelgwaltz,Rep. Mike Waltz,1604121532627836931,833673914,en,1604121532627836931,2022-12-17T14:29:11.000Z,"ICYMI: women repressed, children radicalized, another generation of terrorists recruited to attack America. 

Not ONE Biden Admin official resigned or fired.  https://t.co/e2WO9c26Yo",False,1604121532627836931,39,48,48,8
michaelgwaltz,Rep. Mike Waltz,1603816108062015512,833673914,en,1603816108062015512,2022-12-16T18:15:32.000Z,So the dozens of illegal migrants crossing the border with him are released on asylum claims but the one guy who actually sacrificed for America is in jail? Insanity on so many levels. https://t.co/1ZCIPeDSRK,False,1603816108062015512,21,11,11,2
michaelgwaltz,Rep. Mike Waltz,1603758071498428416,833673914,en,1603758071498428416,2022-12-16T14:24:55.000Z,This is a truly awful incident. We should be supporting this Navy veteran’s family and not leave them destitute over an accident. https://t.co/wStZ8PQ1uN,False,1603758071498428416,32,8,8,0
michaelgwaltz,Rep. Mike Waltz,1603413872496500737,833673914,en,1603413872496500737,2022-12-15T15:37:11.000Z,Is there anything this admin doesn’t think the government should regulate? https://t.co/jVxYEGLyqg,False,1603413872496500737,10,14,14,1
michaelgwaltz,Rep. Mike Waltz,1603220217655590914,833673914,en,1603220217655590914,2022-12-15T02:47:40.000Z,"Now that the Senate unanimously passed a ban TikTok from government devices, will lawmakers like @ossoff stop using their personal account? 

They know why!",False,1603220217655590914,13,21,21,0
michaelgwaltz,Rep. Mike Waltz,1603063300798955520,833673914,en,1603063300798955520,2022-12-14T16:24:09.000Z,"RT @Fla_Pol: .@MichaelGWaltz campaigns on Hill for @VernBuchanan's Ways and Means run

Reporting by @JacobOgles

https://t.co/jUk6AajwsK

#…",False,1603063300798955520,3,0,0,0
michaelgwaltz,Rep. Mike Waltz,1603063249125380096,833673914,en,1603063249125380096,2022-12-14T16:23:56.000Z,"Great news: Volusia, Flagler, and St. Johns counties have all been designated for Individual Assistance and Public Assistance in the aftermath of a Hurricanes Ian &amp; Nicole. Lake County has also been designated for Individual Assistance.

Apply at https://t.co/RYes50jvbO.",False,1603063249125380096,4,2,2,0
michaelgwaltz,Rep. Mike Waltz,1602788118083633152,833673914,en,1602788118083633152,2022-12-13T22:10:40.000Z,"RT @Fla_Pol: .@michaelgwaltz urges federal funding for shoreline projects

https://t.co/zcB1e9sPEl

#FlaPol",False,1602788118083633152,5,0,0,0
michaelgwaltz,Rep. Mike Waltz,1602761757700792323,833673914,en,1602761757700792323,2022-12-13T20:25:55.000Z,"Storm surge from back-to-back hurricanes has ravaged our beaches, dunes, &amp; coastal armoring in Volusia, Flagler, and St. Johns counties. To rebuild and protect our coastal communities, we need federal Army Corps of Engineers project funding.

Learn more 👇 https://t.co/P5iKlwRqqK",False,1602761757700792323,7,6,6,0
michaelgwaltz,Rep. Mike Waltz,1602760882399973376,833673914,en,1602760882399973376,2022-12-13T20:22:26.000Z,"Happy birthday to the @USNationalGuard!

Thank you to our brave Guardsmen and women for their service &amp; hard work protecting our country. 🇺🇸 https://t.co/sK3N11UuF4",False,1602760882399973376,4,5,5,0
michaelgwaltz,Rep. Mike Waltz,1602307875048951808,833673914,en,1602307875048951808,2022-12-12T14:22:21.000Z,After brutally repressing historic protests for basic freedoms the Cuban dictatorship is awarded with outreach from Dems in Congress? https://t.co/6fVYUL2UcC,False,1602307875048951808,12,7,7,0
michaelgwaltz,Rep. Mike Waltz,1602296568853704704,833673914,en,1602296568853704704,2022-12-12T13:37:25.000Z,Coming up at 9:10 am ET on @FoxBusiness with @Varneyco. Be sure to tune in!,False,1602296568853704704,7,5,5,0
michaelgwaltz,Rep. Mike Waltz,1601991642608713740,833673914,en,1601991642608713740,2022-12-11T17:25:45.000Z,"RT @JoshuaKlein_: EXCLUSIVE: Rep. @michaelgwaltz  — Joe Biden’s ‘Lopsided’ Brittney Griner Swap a ‘Major Propaganda Victory’ for Putin
http…",False,1601991642608713740,6,0,0,0
michaelgwaltz,Rep. Mike Waltz,1601744080785899520,833673914,en,1601744080785899520,2022-12-11T01:02:02.000Z,The kick was sooo good. Army storms the field! https://t.co/UKkUOIPFMI,False,1601744080785899520,16,8,8,0
michaelgwaltz,Rep. Mike Waltz,1601717193036959745,833673914,en,1601717193036959745,2022-12-10T23:15:11.000Z,Great day at Army-Navy! America is the winner today! 🇺🇸 https://t.co/xScXbdpQ7U,False,1601717193036959745,21,13,13,1
michaelgwaltz,Rep. Mike Waltz,1601641649389850624,833673914,en,1601641649389850624,2022-12-10T18:15:00.000Z,This should be condemned across the world. Jimmy is a champion for human rights and his only “crime” is being a critic of the CCP. https://t.co/5bKxnujojd,False,1601641649389850624,21,5,5,1
michaelgwaltz,Rep. Mike Waltz,1601585042635264000,833673914,en,1601585042635264000,2022-12-10T14:30:04.000Z,Ready for Game Day! Go Baby Armie! Beat Navy! 🇺🇸 https://t.co/eaTvQyzEm2,False,1601585042635264000,18,21,21,3
michaelgwaltz,Rep. Mike Waltz,1601245788331335680,833673914,en,1601245788331335680,2022-12-09T16:02:00.000Z,"The ""Merchant of Death"" made billions of dollars for Putin and his oligarchs. Now that Russia's scraping the bottom of the barrel for arms, Bout will go back to helping arm Putin's war machine. https://t.co/1N3lnUExd2",False,1601245788331335680,14,11,11,2
michaelgwaltz,Rep. Mike Waltz,1601239175079919616,833673914,en,1601239175079919616,2022-12-09T15:35:43.000Z,Praying for his family during this difficult time. https://t.co/N3fCSNBmby,False,1601239175079919616,2,2,2,0
michaelgwaltz,Rep. Mike Waltz,1601230948820930560,833673914,en,1601230948820930560,2022-12-09T15:03:02.000Z,"Our adversaries are emboldened by weakness and deterred by strength.

We must raise the cost of taking an American from imposing sanctions to diplomatic isolation and even military action. Right now, all they see is an upside as long as Biden's in the White House. https://t.co/1tsaDvSlTF",False,1601230948820930560,8,10,10,0
michaelgwaltz,Rep. Mike Waltz,1601223631002292225,833673914,en,1601223631002292225,2022-12-09T14:33:57.000Z,It was time for the COVID vaccine mandate to go. It didn't stop the spread and our military is mostly young and healthy. Discharging thousands of highly trained service members would be devastating to military readiness. https://t.co/ka76fOZ1xa,False,1601223631002292225,13,16,16,0
michaelgwaltz,Rep. Mike Waltz,1601212436417482754,833673914,en,1601212436417482754,2022-12-09T13:49:28.000Z,"I don't buy Biden saying they didn't have a choice to bring U.S. Marine Whelan home.

When do we start dictating the terms to Putin, the Iranian Regime, terrorists, &amp; our adversaries around the world? https://t.co/iAVn1oLfyD",False,1601212436417482754,41,70,70,2
michaelgwaltz,Rep. Mike Waltz,1601205304037117957,833673914,en,1601205304037117957,2022-12-09T13:21:08.000Z,"In the short term, I am always pleased to see an American hostage brought home and I am happy for the Griner family.

But in the long term, appeasing terrorists &amp; dictators never works in the interest of the US. https://t.co/wgw5mq6NBT",False,1601205304037117957,11,21,21,1
michaelgwaltz,Rep. Mike Waltz,1601035509471379456,833673914,en,1601035509471379456,2022-12-09T02:06:25.000Z,Coming up on @seanhannity at 9:20 PM on Fox News. Tune in!,False,1601035509471379456,1,1,1,0
michaelgwaltz,Rep. Mike Waltz,1601028499393114112,833673914,en,1601028499393114112,2022-12-09T01:38:34.000Z,RT @TheLeadCNN: GOP Rep. @michaelgwaltz says not securing Paul Whelan’s release was a “strategic loss” https://t.co/UeLw6hHdUo,False,1601028499393114112,17,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600994463081385984,833673914,en,1600994463081385984,2022-12-08T23:23:19.000Z,"RT @LucasFoxNews: Congressman Mike Waltz: “Appeasing terrorists, appeasing dictatorships never works in the interest of the United States.…",False,1600994463081385984,41,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600936752361115648,833673914,en,1600936752361115648,2022-12-08T19:34:00.000Z,Big China policy wins in this year’s defense bill👇 https://t.co/MDOTRQNT7l,False,1600936752361115648,9,5,5,2
michaelgwaltz,Rep. Mike Waltz,1600932398254129152,833673914,en,1600932398254129152,2022-12-08T19:16:42.000Z,Mike is exceptionally qualified and will do a great job next Congress. https://t.co/oDf3xyKY2r,False,1600932398254129152,13,2,2,0
michaelgwaltz,Rep. Mike Waltz,1600877682073677824,833673914,en,1600877682073677824,2022-12-08T15:39:16.000Z,Coming up at 11 am ET on @FoxNews with @HARRISFAULKNER. Be sure to tune in!,False,1600877682073677824,9,11,11,1
michaelgwaltz,Rep. Mike Waltz,1600867637398949888,833673914,en,1600867637398949888,2022-12-08T14:59:22.000Z,Please educate me on why it makes sense that we swapped a Russian arms dealer - responsible for so much death - for Brittany over Paul? Paul broke no Russian laws and has been imprisoned for much longer. https://t.co/nnoEQmKrzr,False,1600867637398949888,16,31,31,2
michaelgwaltz,Rep. Mike Waltz,1600865896473694208,833673914,en,1600865896473694208,2022-12-08T14:52:27.000Z,This is absolutely shameful. The Whelan family has waited years for Paul’s return and the Biden Administration is giving priority to a celebrity over a veteran. https://t.co/AkQddfS83D,False,1600865896473694208,27,23,23,2
michaelgwaltz,Rep. Mike Waltz,1600846393694105600,833673914,en,1600846393694105600,2022-12-08T13:34:57.000Z,"Where is U.S. Marine Paul Whelan, who has been unjustly held by Russia for far longer? Celebrities over veterans? https://t.co/v53aZbPqqm",False,1600846393694105600,286,237,237,40
michaelgwaltz,Rep. Mike Waltz,1600621229022801922,833673914,en,1600621229022801922,2022-12-07T22:40:13.000Z,"Great to join @DCTwining and @DanCrenshawTX to talk about the future of military readiness, bringing supply chains home, and the importance of soft power at the @idualliance forum today.

And a special shout out to former Canadian PM @stephenharper &amp; @iriworldwide. https://t.co/tWxq7YEP3G",False,1600621229022801922,11,5,5,2
michaelgwaltz,Rep. Mike Waltz,1600609294919303169,833673914,en,1600609294919303169,2022-12-07T21:52:48.000Z,Colonel/Congressman Brad Wenstrup’s retirement after 25 years of service in the Reserves. Go Army! 🇺🇸 https://t.co/0mVyWlJcTj,False,1600609294919303169,4,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600554348316180486,833673914,en,1600554348316180486,2022-12-07T18:14:28.000Z,We need a new Monroe Doctrine for energy &amp; minerals in our hemisphere. https://t.co/4dHJVRrxjq,False,1600554348316180486,16,3,3,1
michaelgwaltz,Rep. Mike Waltz,1600517794612842496,833673914,en,1600517794612842496,2022-12-07T15:49:13.000Z,"We need to call out our friends when they’re not sharing the burden. 

Germany laughed when we warned them about their dependence on Russian gas. Now they’re sticking their head in the sand. https://t.co/ZnMpcEFBaB",False,1600517794612842496,34,14,14,3
michaelgwaltz,Rep. Mike Waltz,1600504918221152259,833673914,en,1600504918221152259,2022-12-07T14:58:03.000Z,Big win for our military readiness! https://t.co/RqJYms91k8,False,1600504918221152259,10,4,4,0
michaelgwaltz,Rep. Mike Waltz,1600493103013584898,833673914,en,1600493103013584898,2022-12-07T14:11:06.000Z,Coming up at 9:40 am ET on @FoxNews @AmericaNewsroom. Be sure to tune in!,False,1600493103013584898,2,3,3,0
michaelgwaltz,Rep. Mike Waltz,1600483659362058241,833673914,en,1600483659362058241,2022-12-07T13:33:34.000Z,"This year, I had the opportunity to swim the wrecks of the U.S.S. Utah and Arizona with SEALs based in Pearl Harbor. What an honor.

On the 81st anniversary of the attack on Pearl Harbor, we remember those who lost their lives that day and the many that followed. #NeverForget 🇺🇸 https://t.co/HuAHVu7duO",False,1600483659362058241,23,5,5,1
michaelgwaltz,Rep. Mike Waltz,1600306621070348288,833673914,en,1600306621070348288,2022-12-07T01:50:05.000Z,"RT @HouseGOP: “Not only are we giving up strategic mining sites to Chinese interests, but we’re now paying them to fund our own economic de…",False,1600306621070348288,63,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600271491983036416,833673914,en,1600271491983036416,2022-12-06T23:30:29.000Z,Congrats and best wishes to @KeiserFootball! Great to see a Florida school playing for a national championship! #DefendTheBeach https://t.co/VEOYOzqFVs,False,1600271491983036416,12,2,2,1
michaelgwaltz,Rep. Mike Waltz,1600178846371700747,833673914,en,1600178846371700747,2022-12-06T17:22:21.000Z,"RT @dcexaminer: The US faces a minerals crisis against China, writes Rep. @MichaelGWaltz. https://t.co/bloath0Xz3",False,1600178846371700747,13,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600162816752771072,833673914,en,1600162816752771072,2022-12-06T16:18:39.000Z,RT @lennycurry: A true patriot recognizing our local heroes today at the @JAXChamber Military Appreciation Lunch. Proud to introduce  @mich…,False,1600162816752771072,8,0,0,0
michaelgwaltz,Rep. Mike Waltz,1600161939342049280,833673914,en,1600161939342049280,2022-12-06T16:15:10.000Z,"Great to join @lennycurry &amp; @JAXChamber to honor the many brave veterans &amp; service members in Northeast Florida during this Month of Valor Recognition in Jacksonville, the most military-friendly city in the country. Forever grateful for their service &amp; sacrifices! 🇺🇸 https://t.co/hyz0q5EvZb",False,1600161939342049280,6,4,4,0
michaelgwaltz,Rep. Mike Waltz,1600120525690261504,833673914,en,1600120525690261504,2022-12-06T13:30:36.000Z,"When the Biden Admin abandoned Afghanistan, they didn’t just leave behind Americans &amp; the strategic Bagram Air Base near the Chinese border. They also left TRILLIONS worth of rare earth minerals essential for our modern economy for China to take.👇
https://t.co/dFIZ8xekhF",False,1600120525690261504,23,21,21,9
michaelgwaltz,Rep. Mike Waltz,1599929495732879361,833673914,en,1599929495732879361,2022-12-06T00:51:31.000Z,"In the military it’s important to follow orders.

But when you see something isn’t working, leaders should reassess their decisions. General Berger is absolutely right this mandate is hurting recruitment. https://t.co/ZgDpFdw4T8",False,1599929495732879361,8,10,10,0
