handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
repdinatitus,Dina Titus,1606024276850536448,122174004,en,1606024276850536448,2022-12-22T20:30:00.000Z,"The #CHIPSAndScience Act’s game-changing investments include bolstering the U.S. semiconductor industry, reinvigorating our research and development, and recruiting a diverse, inclusive STEM workforce. https://t.co/ybfUjJ4Grn",False,1606024276850536448,2,0,0,0
repdinatitus,Dina Titus,1605994880328601601,122174004,en,1605994880328601601,2022-12-22T18:33:12.000Z,"Trade Adjustment Assistance helps workers impacted by global competition. I'm urging Congressional leadership to reauthorize TAA, increase funding, and expand eligibility so the U.S. can maintain its manufacturing power.",False,1605994880328601601,1,2,2,0
repdinatitus,Dina Titus,1605747042206130176,122174004,en,1605747042206130176,2022-12-22T02:08:22.000Z,"It was a pleasure joining Commissioner @MichaelNaft and Rabbi Harlig to light the menorah on the fourth night of #Hanukkah at @ClarkCountyNV. 

Chag Sameach to all those celebrating the Festival of Lights. https://t.co/kygx7pNjKo https://t.co/vX4TTrncH2",False,1605747042206130176,3,11,11,1
repdinatitus,Dina Titus,1605715110558777344,122174004,en,1605715110558777344,2022-12-22T00:01:29.000Z,"Councilman Knudsen has been an advocate for LGBTQ+ rights, child care, and underserved communities since he was first elected to serve @CityOfLasVegas. This appointment is well deserved. Congratulations, Mayor Pro Tem. https://t.co/YRCiXtxXZQ",False,1605715110558777344,1,5,5,0
repdinatitus,Dina Titus,1605714740075864066,122174004,en,1605714740075864066,2022-12-22T00:00:01.000Z,"📢GRANT ALERT! @EPA has awarded @NevDCNR $1,244,185 to assist Nevada with maintaining a public record of their brownfield sites. This funding was made possible through the #BipartisanInfrastructureLaw which I voted for.",False,1605714740075864066,1,1,1,0
repdinatitus,Dina Titus,1605684539313070083,122174004,en,1605684539313070083,2022-12-21T22:00:01.000Z,"Since 2015 the rail workforce has decreased by nearly one third, yet; railroads are moving the same amount of traffic including hazardous materials. I wrote a letter to @USDOTFRA urging them to enforce a minimum two-person crew rule to enhance public safety.",False,1605684539313070083,25,7,7,2
repdinatitus,Dina Titus,1605654342392025098,122174004,en,1605654342392025098,2022-12-21T20:00:01.000Z,"Today is the first day of winter, also called the winter solstice. It is the shortest day of the year because the Northern Hemisphere is pointing away from the sun. What’s your favorite winter activity?❄️☃️ https://t.co/iMm45iCQ1g",False,1605654342392025098,0,7,7,0
repdinatitus,Dina Titus,1605624138646814734,122174004,en,1605624138646814734,2022-12-21T18:00:00.000Z,"FY 2023 funding package contains critical healthcare provisions that I’m proud to have supported, including extended flexibilities for telehealth, payment stability for physicians, and expanded mental health care for youth.",False,1605624138646814734,2,3,3,1
repdinatitus,Dina Titus,1605393699529060352,122174004,en,1605393699529060352,2022-12-21T02:44:19.000Z,#TeamTitus wants to wish you happy holidays. We will continue to fight for resources for all Southern Nevadans. https://t.co/JC7s3xAdmB,False,1605393699529060352,4,11,11,0
repdinatitus,Dina Titus,1605352350641553409,122174004,en,1605352350641553409,2022-12-21T00:00:01.000Z,A woman's access to higher education opens the door to opportunity and a prosperous future. I'm infuriated by this shameful revocation of fundamental freedoms for Afghani women. https://t.co/uRRV477bIb,False,1605352350641553409,2,6,6,0
