handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
repfinstad,Congressman Brad Finstad,1601321753850281984,1563316176717246464,en,1601321753850281984,2022-12-09T21:03:51.000Z,"Proud to support this year's NDAA, which:   
🇺🇸 Increases defense spending by $45B
🇺🇸 Repeals the COVID-19 vaccine mandate for servicemembers
🇺🇸 Raises pay for our men and women in uniform

Read my full statement here ⬇️ 
https://t.co/lEJVI6dsZF",False,1601321753850281984,1,0,0,0
repfinstad,Congressman Brad Finstad,1600886616536809473,1563316176717246464,en,1600886616536809473,2022-12-08T16:14:47.000Z,"Big congrats to my friend &amp; colleague @CongressmanGT! G.T. has a proven record of fighting for rural communities &amp; working across the aisle to find solutions. 

Under his leadership, the House Ag Committee will deliver a Farm Bill that is good policy for both farmers &amp; taxpayers. https://t.co/OCDMf47fqF",False,1600886616536809473,5,2,2,0
repfinstad,Congressman Brad Finstad,1600506653031505921,1563316176717246464,en,1600506653031505921,2022-12-07T15:04:56.000Z,"Today we remember and honor the more than 2,400 Americans who tragically lost their lives in the attack on Pearl Harbor 81 years ago. We will never forget the sacrifices our service men and women make to protect our freedom. #PearlHarborRemembranceDay https://t.co/LPQEhbyBiS",False,1600506653031505921,2,1,1,0
repfinstad,Congressman Brad Finstad,1600244000258068480,1563316176717246464,en,1600244000258068480,2022-12-06T21:41:15.000Z,"Proud to cosponsor the Farmers Deserve Notification Act, led by @RepJimBaird. Herbicides &amp; pesticides are vital to growers. This bill makes sure that farmers won’t have to worry about @EPA making spur-of-the-moment changes that may impact their harvest.
https://t.co/I3ZRAUoFAu",False,1600244000258068480,4,3,3,1
repfinstad,Congressman Brad Finstad,1600175371629887488,1563316176717246464,en,1600175371629887488,2022-12-06T17:08:33.000Z,Enjoyed meeting with @_AACC board members while they were in D.C. last week to talk about laboratory developed tests. Thanks for stopping by! https://t.co/rdyviIEqy5,False,1600175371629887488,2,1,1,1
repfinstad,Congressman Brad Finstad,1598756489409224704,1563316176717246464,en,1598756489409224704,2022-12-02T19:10:25.000Z,"During her time in Congress, @RepWalorski fought relentlessly for the health of mothers and children. Today, Congress made sure her legacy will be remembered, and that the MACHV program will continue to serve the families that need it most.",False,1598756486519267328,1,0,0,0
repfinstad,Congressman Brad Finstad,1598756486519267328,1563316176717246464,en,1598756486519267328,2022-12-02T19:10:24.000Z,"Today, I was proud to vote in support of H.R. 8876, The Jackie Walorski Maternal and Child Home Visiting (MACHV) Reauthorization Act. 
 
https://t.co/Uiepqxb2FW",False,1598756486519267328,2,2,2,1
repfinstad,Congressman Brad Finstad,1598410859726139392,1563316176717246464,en,1598410859726139392,2022-12-01T20:17:00.000Z,"While these volumes significantly discount the projected growth of advanced biofuels, like biodiesel and renewable diesel, it is encouraging to see annual increases in volumes for conventional biofuels like ethanol – which is essential to southern Minnesota’s economy.",False,1598410858039836672,2,0,0,0
repfinstad,Congressman Brad Finstad,1598410858039836672,1563316176717246464,en,1598410858039836672,2022-12-01T20:17:00.000Z,"This week, the @realEPAgov released a first glance at their proposed Renewable Fuel Standard (RFS) volumes for 2023-2025. 
https://t.co/fFu7DQ9paO",False,1598410858039836672,2,1,1,0
repfinstad,Congressman Brad Finstad,1598002756274749440,1563316176717246464,en,1598002756274749440,2022-11-30T17:15:21.000Z,"The strength of our military starts with the support &amp; encouragement they receive on the home front. Thank you to all of our brave servicemembers, their spouses, &amp; families for the sacrifices they make on behalf of our nation. #MilitaryFamilyMonth https://t.co/aLajbak4Og",False,1598002756274749440,4,3,3,0
