Word,Count
biden,71400
today,70940
more,68580
work,53997
thank,52027
year,46845
american,46818
need,41374
great,41157
make,40830
president,38185
bill,37704
family,36472
day,35421
border,34900
join,33672
support,33336
americans,33196
help,33010
time,31570
people,29686
house,29139
act,29038
get,27906
community,27411
democrats,26805
new,25609
continue,25506
now,24088
state,23903
here,23625
america,23274
life,19828
country,19402
nation,19385
take,19259
business,18123
week,17966
see,17733
energy,17584
honor,17091
congress,16588
proud,14376
job,13311
crisis,13099
service,12795
just,12714
discuss,12253
administration,12159
national,11885
policy,11545
inflation,11517
go,11276
senate,9742
good,9668
high,9276
law,9102
protect,8454
right,8341
vote,8206
last,7944
tax,7759
health,7242
joe,6960
want,6814
bipartisan,6714
office,6423
price,6408
say,6181
county,6114
provide,6017
keep,5998
small,5948
so,5905
visit,5745
china,5682
read,5676
member,5643
call,5551
texas,5396
federal,5390
veteran,5313
pass,5159
stop,4992
economy,4853
security,4739
florida,4440
student,4435
school,4409
government,4249
serve,4194
live,4151
de,4092
first,3990
care,3876
trump,3847
know,3720
north,3687
ensure,3678
tune,3650
happy,3646
fight,3645
military,3583
gas,3516
meet,3405
south,3385
watch,3341
come,3302
ohio,3164
illegal,3154
vaccine,3112
iowa,3028
legislation,2997
west,2987
la,2986
program,2868
idaho,2853
infrastructure,2828
learn,2811
spending,2715
farmer,2663
y,2642
southern,2632
arkansas,2569
important,2564
morning,2506
many,2506
child,2465
utah,2456
ukraine,2444
woman,2430
el,2420
louisiana,2320
alaska,2272
mississippi,2270
tennessee,2224
well,2205
world,2190
speak,2185
dakota,2184
carolina,2163
alabama,2159
virginia,2157
back,2153
wisconsin,2116
look,2101
us,2080
freedom,2068
effort,2064
republicans,1996
washington,1975
missouri,1965
mandate,1952
oklahoma,1950
indiana,1918
talk,1878
big,1867
issue,1783
wyoming,1775
covid,1773
colleague,1684
para,1676
central,1676
include,1635
funding,1630
que,1615
district,1597
news,1548
kansas,1546
afghanistan,1514
utpol,1496
illinois,1475
stand,1472
admin,1417
other,1409
opportunity,1397
michigan,1396
los,1380
rural,1370
russia,1351
hoosier,1339
nebraska,1337
committee,1335
montana,1330
way,1325
georgia,1323
safe,1282
kentucky,1274
icymi,1269
local,1216
forward,1211
producer,1188
coronavirus,1167
defense,1157
full,1156
california,1138
wv,1100
pelosi,1098
cost,1079
hurricane,1064
worker,1036
arizona,1023
york,1023
hold,1020
ccp,1019
only,1014
al,1011
por,1009
water,998
election,980
nc,968
roy,966
budget,961
iowans,952
plan,946
economic,936
putin,933
cuba,917
trade,890
pennsylvania,872
secure,838
maine,833
hearing,824
senator,822
lr,821
receive,812
introduce,807
del,792
newsletter,769
pa,768
let,764
tech,759
pay,759
war,753
alien,739
left,728
alaskans,728
congressman,719
las,713
kansans,711
grateful,710
communist,705
gaetz,705
statement,705
minnesota,701
hear,700
give,696
griffith,688
floor,683
iran,677
party,664
folk,659
use,658
chinese,654
bidenbordercrisis,648
project,638
enjoy,635
fund,632
below,631
increase,629
congressional,629
listen,627
report,620
space,618
letter,617
regime,614
lead,610
gallagher,610
abortion,605
flood,603
meeting,588
sure,587
education,585
fbi,583
puertorico,580
weekly,569
parish,563
puerto,563
appreciate,558
taxreform,557
collins,554
con,552
together,552
critical,544
ag,537
tn,534
northdakota,520
dems,518
ms,517
parent,515
police,511
wi,507
colorado,505
do,502
food,502
northeast,497
pandemic,492
farm,492
drug,490
rico,478
officer,476
mask,475
socialist,475
republican,471
staff,470
agenda,468
hunter,466
sayfie,466
va,463
ca,459
update,458
team,458
az,450
tour,450
democrat,449
pres,446
reform,436
nebraskans,436
matt,435
mepolitic,429
force,428
share,423
taxpayer,423
chairman,421
still,419
east,419
fort,417
end,417
town,412
home,411
valley,411
tonight,410
mt,406
wickerreport,405
yesterday,401
mobile,400
click,400
court,398
fauci,391
congratulation,391
god,390
bring,389
hall,386
friend,385
fail,385
sd,378
island,375
mi,373
su,370
smallbiz,368
crime,367
forest,366
arkansans,363
sc,360
disaster,358
human,357
w,354
cruz,351
glad,350
pm,349
veterans,344
posey,344
award,343
record,343
create,340
am,337
case,337
utahns,337
ian,335
politic,330
gun,327
lake,326
very,323
tomorrow,316
impact,316
mental,309
e,309
episode,306
southwest,306
impeachment,305
hr,305
nicole,302
cuban,299
biofuel,299
ne,298
montanans,295
access,294
lowcountry,292
man,291
texans,290
release,288
braun,287
long,287
show,282
oil,278
even,278
peoria,276
celebrate,276
wy,276
united,276
broadband,275
sign,274
obamacare,273
alzheimer,272
recognize,269
un,267
venezuela,265
interview,264
worth,261
ct,261
fentanyl,260
nd,258
cattle,258
bucks,257
mo,256
storm,254
states,252
supply,251
money,251
migrant,250
hochul,249
wa,247
shelby,247
hope,247
ny,246
maduro,246
amendment,244
dc,243
arctic,242
area,241
una,241
investment,241
deal,241
beach,239
tennesseans,238
hoy,237
sen,237
political,236
trafficking,233
louisianians,233
fl,231
constituent,231
attack,231
debt,230
rep,230
kenosha,229
agriculture,227
video,226
et,224
lie,221
hero,220
terrorist,220
city,219
miami,218
rancher,218
host,218
ch,217
fire,217
sarasota,216
spend,216
hv,216
wichita,213
recovery,212
priority,211
maryland,210
cte,210
accountability,210
brooks,209
native,209
arpx,209
carolinians,208
top,208
taliban,208
endalz,208
discharge,207
westmichigan,206
think,206
opioid,205
charleston,204
mexico,204
never,203
lord,202
yr,201
schiff,200
always,199
senior,199
bad,198
hoosi,198
oversight,195
announce,195
advance,195
army,195
topic,194
dayton,194
radical,194
fox,194
information,194
fortworth,192
sit,191
grant,191
paul,190
cny,190
address,190
class,189
sw,189
ppl,188
hour,188
corps,188
comer,186
simpson,186
far,185
fargo,185
antitrust,184
rule,182
abt,182
judge,182
positive,181
test,181
samoa,181
en,181
put,179
twill,179
talofa,179
mike,179
boozman,177
met,175
lummis,175
power,175
toxic,174
confirm,174
resident,174
nevada,173
irs,173
lancaster,173
sobre,172
dam,171
smith,171
soscuba,171
pueblo,170
chip,170
ncpol,169
link,169
evansville,168
statenisland,168
also,167
research,167
wheresron,167
facebook,167
hawley,166
obama,166
lowcountryfirst,165
late,165
resource,165
graham,164
mayor,163
victim,162
enforcement,162
ky,162
sctweet,161
wvpol,161
alaskan,160
appropriations,160
outline,159
kalamazoo,159
climate,158
ga,158
threat,157
ask,157
virginians,157
manatee,157
usmca,156
rand,156
navy,156
protection,156
louis,156
cincinnati,155
little,155
agency,154
nursing,154
millone,153
nominee,152
soundmoney,151
river,151
faith,151
co,151
mississippians,151
medium,151
control,150
collin,150
defend,150
column,149
tuberville,149
bidenflation,147
white,146
congrat,145
fondo,145
rock,145
blaine,144
month,144
eastern,143
mineral,143
lucie,143
oklahomans,143
sixth,142
jackson,142
crypto,141
author,141
cosponsor,141
nicaragua,141
google,140
believe,140
assistance,139
hoosiers,139
ally,139
attend,139
nuclear,139
violence,138
thought,138
orange,137
taxis,137
riverside,137
mn,137
ever,136
cuomo,136
ohioans,135
ppp,135
johnson,135
bridge,134
federale,134
operationwarpspeed,134
katko,134
death,134
wagner,133
il,133
mining,133
epa,132
agent,132
land,132
patrol,131
allow,131
arnews,131
huntsville,131
chattanooga,130
rogers,130
innovation,130
commitment,130
isla,130
tx,128
wish,128
grow,128
lexington,127
judiciary,127
immigrant,126
idahoans,126
intelligence,126
doj,126
erie,126
rouge,125
baton,125
capitol,125
digital,124
sex,124
prensa,124
company,124
lee,123
pacific,123
ted,123
oppose,123
brooklyn,123
leave,123
privacy,123
biz,123
western,123
afghan,123
patient,122
suicide,122
